sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status,okx_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,spot_min,gap_h,cls,newtok
LOOKS-USDT-SWAP,LOOKS,2022-02-17 09:56:41.396,,,,2022-11-10 00:00:49.973,2022-11-10 00:07:28.211,LOOKSUSDT-2022-11.csv.gz,2022-02-14,-3.0,,,,,,2022-02-13 16:00:00.000,-89.9,6374.2,,,,2022-02-13 16:00:00.000,-89.9,okx_only,False
UMEE-USDT-SWAP,UMEE,2022-02-24 07:01:15.079,,,,,,,2022-02-21,-3.0,,,,,,2022-02-20 16:00:00.000,-87.0,,,,,2022-02-20 16:00:00.000,-87.0,okx_only,True
RSS3-USDT-SWAP,RSS3,2022-02-24 07:01:09.996,,,,2022-11-10 00:02:13.456,2022-11-10 00:10:38.417,RSS3USDT-2022-11.csv.gz,2022-02-21,-3.0,,,2022-02-14 10:00:00,RSS3,tradable,2022-02-20 16:00:00.000,-87.0,6209.2,-237.0,,,2022-02-14 10:00:00.000,-237.0,okx_only,True
DOME-USDT-SWAP,DOME,2022-03-08 06:57:34.249,,,,2022-11-10 00:01:31.977,2022-11-10 00:08:52.309,DOMEUSDT-2022-11.csv.gz,2022-03-05,-3.0,,,2022-03-05 11:00:00,Humain Web3,tradable,2022-03-04 16:00:00.000,-87.0,5921.2,-68.0,,,2022-03-04 16:00:00.000,-87.0,okx_only,True
ASTR-USDT-SWAP,ASTR,2022-04-14 07:00:09.148,,,,,,,2022-04-11,-3.0,,2022-02-28,2022-01-17 13:00:00,Astar Token,tradable,2022-04-10 16:00:00.000,-87.0,,-2082.0,-1087.0,,2022-01-17 13:00:00.000,-2082.0,okx_first,False
NYM-USDT-SWAP,NYM,2022-04-21 07:00:01.375,,,,2023-07-07 07:06:37.051,2023-07-07 10:00:05.719,NYMUSDT-2023-07.csv.gz,2022-04-18,-3.0,,,2022-04-15 09:00:00,NYM,tradable,2022-04-17 16:00:00.000,-87.0,10611.0,-142.0,,,2022-04-15 09:00:00.000,-142.0,okx_only,True
FITFI-USDT-SWAP,FITFI,2022-05-11 07:02:38.802,,,,2022-11-10 00:00:24.084,2022-11-10 00:12:54.444,FITFIUSDT-2022-11.csv.gz,2022-05-08,-3.0,,,,,,2022-05-07 16:00:00.000,-87.0,4385.2,,,,2022-05-07 16:00:00.000,-87.0,okx_only,True
CEL-USDT-SWAP,CEL,2022-06-17 06:59:57.386,,,,2022-11-10 00:01:16.336,2022-11-10 00:28:46.046,CELUSDT-2022-11.csv.gz,2022-06-14,-3.0,,,2021-04-09 11:00:00,Celsius Network,tradable,2022-06-13 16:00:00.000,-87.0,3497.5,-10412.0,,,2021-04-09 11:00:00.000,-10412.0,okx_only,False
SWEAT-USDT-SWAP,SWEAT,2022-09-15 06:57:48.420,,,,2022-11-10 00:00:01.821,2022-11-10 00:01:38.381,SWEATUSDT-2022-11.csv.gz,2022-09-13,-2.0,2022-09-13 08:00:01.402,,,,,2022-09-13 08:00:01.402,-47.0,1337.1,,,,2022-09-13 08:00:01.402,-47.0,okx_only,True
ETHW-USDT-SWAP,ETHW,2022-09-16 06:57:45.985,2022-09-16 06:55:31.635,,normal,2022-11-10 00:00:05.002,2022-11-10 00:02:04.910,ETHWUSDT-2022-11.csv.gz,2022-09-16,0.0,2022-09-15 16:30:11.491,,2022-08-09 04:00:00,EthereumPoW,tradable,2022-09-15 16:30:11.491,-14.5,1313.1,-915.0,,,2022-08-09 04:00:00.000,-915.0,okx_first,True
USTC-USDT-SWAP,USTC,2022-11-03 06:59:36.350,,,,2022-11-10 00:00:00.604,2022-11-10 00:03:05.856,USTCUSDT-2022-11.csv.gz,2022-10-31,-3.0,,2022-05-30,2022-05-27 04:00:00,TerraUSD Classic,tradable,2022-10-30 16:00:00.000,-87.0,161.1,-3843.0,-3775.0,,2022-05-27 04:00:00.000,-3843.0,okx_first,False
WEMIX-USDT-SWAP,WEMIX,2022-11-08 06:57:15.617,,,,2022-11-10 00:00:09.635,2022-11-10 00:00:27.983,WEMIXUSDT-2022-11.csv.gz,2022-11-05,-3.0,,,2021-09-03 12:00:00,WEMIX,tradable,2022-11-04 16:00:00.000,-87.0,41.1,-10339.0,,,2021-09-03 12:00:00.000,-10339.0,okx_only,False
TON-USDT-SWAP,TON,2022-12-28 06:57:57.309,,,,2022-12-21 07:17:42.521,2022-12-21 10:00:21.090,TONUSDT-2022-12.csv.gz,2022-12-25,-3.0,,2024-08-08,,,,2022-12-24 16:00:00.000,-87.0,-165.0,,14129.0,,2022-12-21 10:00:21.090,-165.0,okx_first,False
GMX-USDT-SWAP,GMX,2023-02-02 07:07:43.480,2023-02-02 07:05:42.847,,normal,2022-11-10 00:00:00.436,2022-11-10 00:02:50.035,GMXUSDT-2022-11.csv.gz,2023-01-30,-3.0,,2022-10-05,2022-10-05 14:00:00,GMX,tradable,2023-01-29 16:00:00.000,-87.1,-2023.1,-2873.1,-2887.1,,2022-10-05 00:00:00.000,-2887.1,okx_first,False
CORE-USDT-SWAP,CORE,2023-02-08 13:55:46.356,2023-02-08 13:55:14.708,,normal,2023-02-08 06:10:12.638,2023-02-08 12:01:10.298,COREUSDT-2023-02.csv.gz,2023-02-08,0.0,2023-02-08 12:00:01.680,,2023-02-08 12:00:00,Core,tradable,2023-02-08 12:00:01.680,-1.9,-1.9,-1.9,,,2023-02-08 12:00:00.000,-1.9,okx_only,True
BLUR-USDT-SWAP,BLUR,2023-02-15 02:55:56.870,2023-02-15 02:55:00.181,,normal,2023-02-14 02:33:17.862,2023-02-14 18:30:05.278,BLURUSDT-2023-02.csv.gz,2023-02-15,0.0,2023-02-14 18:30:01.377,2023-11-24,2023-02-14 18:30:00,Blur,tradable,2023-02-14 18:30:01.377,-8.4,-8.4,-8.4,6765.1,,2023-02-14 18:30:00.000,-8.4,okx_first,True
FLOKI-USDT-SWAP,FLOKI,2023-02-20 06:56:27.597,2023-02-20 06:55:00.607,,normal,2022-11-10 00:12:31.533,2022-11-10 00:23:18.937,FLOKIUSDT-2022-11.csv.gz,2023-02-17,-3.0,,2023-05-05,2021-09-16 08:30:00,Floki Inu,tradable,2023-02-16 16:00:00.000,-86.9,-2454.6,-12526.4,1769.1,,2021-09-16 08:30:00.000,-12526.4,okx_first,False
GFT-USDT-SWAP,GFT,2023-02-23 06:58:05.950,,,,,,,2023-02-20,-3.0,,2023-02-08,,,,2023-02-19 16:00:00.000,-87.0,,,-367.0,,2023-02-08 00:00:00.000,-367.0,okx_only,True
GLMR-USDT-SWAP,GLMR,2023-04-17 06:15:33.916,,,,2022-11-10 00:00:03.932,2022-11-10 00:01:01.719,GLMRUSDT-2022-11.csv.gz,2023-04-14,-3.0,,2022-01-11,2022-01-11 12:30:00,Moonbeam Network,tradable,2023-04-13 16:00:00.000,-86.3,-3798.2,-11057.8,-11070.3,,2022-01-11 00:00:00.000,-11070.3,okx_first,False
PEPE-USDT-SWAP,PEPE,2023-05-03 03:55:54.119,2023-05-03 03:55:01.049,,normal,2023-05-06 03:49:32.744,2023-05-06 08:00:09.045,PEPEUSDT-2023-05.csv.gz,2023-05-01,-2.0,2023-05-01 09:00:00.027,2023-05-05,2023-04-19 07:00:00,Pepe,tradable,2023-05-01 09:00:00.027,-42.9,76.1,-332.9,44.1,,2023-04-19 07:00:00.000,-332.9,okx_first,True
AIDOGE-USDT-SWAP,AIDOGE,2023-05-03 03:55:36.495,,,,,,,2023-04-30,-3.0,,,2023-04-18 14:00:00,ArbDoge AI,tradable,2023-04-29 16:00:00.000,-83.9,,-349.9,,,2023-04-18 14:00:00.000,-349.9,okx_only,True
CETUS-USDT-SWAP,CETUS,2023-05-10 11:01:36.723,,,,,,,2023-05-10,0.0,2023-05-10 10:30:00.142,2024-11-06,2023-05-10 10:00:00,Cetus Protocol,tradable,2023-05-10 10:30:00.142,-0.5,,-1.0,13093.0,,2023-05-10 10:00:00.000,-1.0,okx_first,True
ORDI-USDT-SWAP,ORDI,2023-05-21 09:55:31.200,2023-05-21 09:55:00.862,,normal,2023-08-17 05:32:56.443,2023-08-17 08:00:05.676,ORDIUSDT-2023-08.csv.gz,2023-05-20,-1.0,2023-05-20 12:00:00.237,2023-11-07,2023-05-08 02:00:00,Ordinals,tradable,2023-05-20 12:00:00.237,-21.9,2110.1,-319.9,4070.1,,2023-05-08 02:00:00.000,-319.9,okx_first,True
WSM-USDT-SWAP,WSM,2023-10-06 03:56:18.423,,,,,,,2023-10-03,-3.0,,,,,,2023-10-02 16:00:00.000,-83.9,,,,,2023-10-02 16:00:00.000,-83.9,okx_only,True
VRA-USDT-SWAP,VRA,2023-10-06 07:57:05.280,,,,2023-03-13 07:14:01.812,2023-03-13 10:00:13.066,VRAUSDT-2023-03.csv.gz,2023-10-03,-3.0,,,,,,2023-10-02 16:00:00.000,-88.0,-4965.9,,,,2023-03-13 10:00:13.066,-4965.9,okx_only,False
