sym,t0_exact,cls,newtok,gate_name,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,gap_h,verdict
LOOKS-USDT-SWAP,2022-02-17 09:56:41.396,okx_only,False,,-89.9,6374.2,,,,-89.9,spot existed at/before perp start
UMEE-USDT-SWAP,2022-02-24 07:01:15.079,okx_only,True,,-87.0,,,,,-87.0,spot existed at/before perp start
RSS3-USDT-SWAP,2022-02-24 07:01:09.996,okx_only,True,RSS3,-87.0,6209.2,-237.0,,,-237.0,spot existed at/before perp start
DOME-USDT-SWAP,2022-03-08 06:57:34.249,okx_only,True,Humain Web3,-87.0,5921.2,-68.0,,,-87.0,spot existed at/before perp start
ASTR-USDT-SWAP,2022-04-14 07:00:09.148,okx_first,False,Astar Token,-87.0,,-2082.0,-1087.0,,-2082.0,spot existed at/before perp start
NYM-USDT-SWAP,2022-04-21 07:00:01.375,okx_only,True,NYM,-87.0,10611.0,-142.0,,,-142.0,spot existed at/before perp start
FITFI-USDT-SWAP,2022-05-11 07:02:38.802,okx_only,True,,-87.0,4385.2,,,,-87.0,spot existed at/before perp start
CEL-USDT-SWAP,2022-06-17 06:59:57.386,okx_only,False,Celsius Network,-87.0,3497.5,-10412.0,,,-10412.0,spot existed at/before perp start
SWEAT-USDT-SWAP,2022-09-15 06:57:48.420,okx_only,True,,-47.0,1337.1,,,,-47.0,spot existed at/before perp start
ETHW-USDT-SWAP,2022-09-16 06:57:45.985,okx_first,True,EthereumPoW,-14.5,1313.1,-915.0,,,-915.0,spot existed at/before perp start
USTC-USDT-SWAP,2022-11-03 06:59:36.350,okx_first,False,TerraUSD Classic,-87.0,161.1,-3843.0,-3775.0,,-3843.0,spot existed at/before perp start
WEMIX-USDT-SWAP,2022-11-08 06:57:15.617,okx_only,False,WEMIX,-87.0,41.1,-10339.0,,,-10339.0,spot existed at/before perp start
TON-USDT-SWAP,2022-12-28 06:57:57.309,okx_first,False,,-87.0,-165.0,,14129.0,,-165.0,spot existed at/before perp start
GMX-USDT-SWAP,2023-02-02 07:07:43.480,okx_first,False,GMX,-87.1,-2023.1,-2873.1,-2887.1,,-2887.1,spot existed at/before perp start
CORE-USDT-SWAP,2023-02-08 13:55:46.356,okx_only,True,Core,-1.9,-1.9,-1.9,,,-1.9,spot existed at/before perp start
BLUR-USDT-SWAP,2023-02-15 02:55:56.870,okx_first,True,Blur,-8.4,-8.4,-8.4,6765.1,,-8.4,spot existed at/before perp start
FLOKI-USDT-SWAP,2023-02-20 06:56:27.597,okx_first,False,Floki Inu,-86.9,-2454.6,-12526.4,1769.1,,-12526.4,spot existed at/before perp start
GFT-USDT-SWAP,2023-02-23 06:58:05.950,okx_only,True,,-87.0,,,-367.0,,-367.0,spot existed at/before perp start
GLMR-USDT-SWAP,2023-04-17 06:15:33.916,okx_first,False,Moonbeam Network,-86.3,-3798.2,-11057.8,-11070.3,,-11070.3,spot existed at/before perp start
PEPE-USDT-SWAP,2023-05-03 03:55:54.119,okx_first,True,Pepe,-42.9,76.1,-332.9,44.1,,-332.9,spot existed at/before perp start
AIDOGE-USDT-SWAP,2023-05-03 03:55:36.495,okx_only,True,ArbDoge AI,-83.9,,-349.9,,,-349.9,spot existed at/before perp start
CETUS-USDT-SWAP,2023-05-10 11:01:36.723,okx_first,True,Cetus Protocol,-0.5,,-1.0,13093.0,,-1.0,spot existed at/before perp start
ORDI-USDT-SWAP,2023-05-21 09:55:31.200,okx_first,True,Ordinals,-21.9,2110.1,-319.9,4070.1,,-319.9,spot existed at/before perp start
WSM-USDT-SWAP,2023-10-06 03:56:18.423,okx_only,True,,-83.9,,,,,-83.9,spot existed at/before perp start
VRA-USDT-SWAP,2023-10-06 07:57:05.280,okx_only,False,,-88.0,-4965.9,,,,-4965.9,spot existed at/before perp start
RACA-USDT-SWAP,2023-10-24 08:07:31.709,okx_only,False,Radio Caca,-88.1,-8359.9,-18910.1,,,-18910.1,spot existed at/before perp start
PYTH-USDT-SWAP,2023-11-20 14:55:46.705,okx_first,True,Pyth Network,-0.4,-0.9,-0.9,1761.1,,-0.9,spot existed at/before perp start
AUCTION-USDT-SWAP,2023-12-01 07:55:45.766,okx_first,False,BounceAuction,-87.9,,-24669.9,-24223.9,,-24669.9,spot existed at/before perp start
RON-USDT-SWAP,2023-12-11 10:00:05.034,okx_only,False,Ronin Network,-90.0,,-16376.0,,,-16376.0,spot existed at/before perp start
CTC-USDT-SWAP,2023-12-14 07:56:05.233,okx_only,False,Creditcoin,-87.9,-9573.8,-16443.9,,,-16443.9,spot existed at/before perp start
TURBO-USDT-SWAP,2023-12-14 09:56:01.537,okx_first,False,Turbo,-89.9,,-5357.9,6638.1,,-5357.9,spot existed at/before perp start
METIS-USDT-SWAP,2023-12-28 09:58:09.377,okx_first,False,Metis Token,-90.0,,-23013.0,1766.0,,-23013.0,spot existed at/before perp start
DMAIL-USDT-SWAP,2024-01-30 10:59:46.206,okx_only,True,,-1.0,-1.0,,,,-1.0,spot existed at/before perp start
FLR-USDT-SWAP,2024-02-06 08:29:43.108,okx_only,False,Flare Network,-88.5,-9412.4,-9412.5,,,-9412.5,spot existed at/before perp start
GPT-USDT-SWAP,2024-02-28 12:55:35.471,okx_only,True,,-0.9,-8521.9,,,,-8521.9,spot existed at/before perp start
VELO-USDT-SWAP,2024-03-12 08:26:16.707,okx_only,False,Velo,-88.4,-6888.4,-25798.4,,,-25798.4,spot existed at/before perp start
BONE-USDT-SWAP,2024-03-15 08:27:07.999,okx_only,False,Bone ShibaSwap,-88.5,,-9244.5,,,-9244.5,spot existed at/before perp start
GF-USDT-SWAP,2024-03-15 10:28:21.420,okx_only,False,GoldFinger,-90.5,,17305.5,,,-90.5,spot existed at/before perp start
