sym,i,tranche,entry_t,entry_px,notional,late,E_before,exit_t,ret,reason,cls,src,stop_px,t0,t0_exact,entry_ts,exit_ts,t0_ts,exit_px_implied
MEMEFI-USDT-SWAP,60,1,26175,0.005292,0.0961301979707716,0,1.4580733077676518,26201,-0.8664965986394557,stop,okx_first,trades,0.009877499999999999,1732287600000,1732287645522,2024-11-25 15:00:00,2024-11-26 17:00:00,2024-11-22 15:00:00,0.009877499999999999
GRASS-USDT-SWAP,57,1,25574,0.9865,0.0877094601055384,0,1.470610899721378,25605,-0.5895590471363408,stop,okx_first,rest,1.5681000000000003,1730124000000,1730125818199,2024-10-31 14:00:00,2024-11-01 21:00:00,2024-10-28 14:00:00,1.5681000000000003
FITFI-USDT-SWAP,6,0,3895,0.0929,0.0281172478464579,0,1.1246308676378396,3902,-0.5,stop,okx_only,trades,0.13935,1652252400000,1652252558802,2022-05-12 07:00:00,2022-05-12 14:00:00,2022-05-11 07:00:00,0.13935
PYTH-USDT-SWAP,26,0,17294,0.3232,0.0681485253113664,0,1.2620773612625684,17340,-0.5,stop,okx_first,rest,0.4848,1700488800000,1700492146705,2023-11-21 14:00:00,2023-11-23 12:00:00,2023-11-20 14:00:00,0.4848
ZEUS-USDT-SWAP,40,0,20576,0.685,0.1150790784927839,0,1.2835443816292282,20620,-0.5,stop,okx_only,trades,1.0275,1712304000000,1712305766443,2024-04-06 08:00:00,2024-04-08 04:00:00,2024-04-05 08:00:00,1.0275
GPT-USDT-SWAP,34,0,19692,0.49367,0.043602101247718,0,1.2743598138562058,19722,-0.5,stop,okx_only,trades,0.740505,1709121600000,1709124935471,2024-02-29 12:00:00,2024-03-01 18:00:00,2024-02-28 12:00:00,0.740505
PEPE-USDT-SWAP,19,0,12459,1.0911e-06,0.0557426027540962,0,1.1960402563116557,12466,-0.5,stop,okx_first,rest,1.63665e-06,1683082800000,1683086154119,2023-05-04 03:00:00,2023-05-04 10:00:00,2023-05-03 03:00:00,1.63665e-06
AIDOGE-USDT-SWAP,20,0,12459,5.54e-10,0.0711170615294769,0,1.1961573157774392,12495,-0.5,stop,okx_only,trades,8.310000000000001e-10,1683082800000,1683086136495,2023-05-04 03:00:00,2023-05-05 15:00:00,2023-05-03 03:00:00,8.310000000000001e-10
GRIFFAIN-USDT-SWAP,66,0,26959,0.2295,0.1205992218387578,0,1.207520018316357,27038,-0.5,stop,okx_first,trades,0.34425,1735282800000,1735282876836,2024-12-28 07:00:00,2024-12-31 14:00:00,2024-12-27 07:00:00,0.34425
MEMEFI-USDT-SWAP,60,0,26127,0.006585,0.0602970615047201,0,1.4274063732731084,26201,-0.5,stop,okx_first,trades,0.009877499999999999,1732287600000,1732287645522,2024-11-23 15:00:00,2024-11-26 17:00:00,2024-11-22 15:00:00,0.009877499999999999
MORPHO-USDT-SWAP,61,0,26194,0.9866,0.0599054462693226,0,1.2574600899727375,26223,-0.5,stop,okx_first,rest,1.4799,1732528800000,1732528881218,2024-11-26 10:00:00,2024-11-27 15:00:00,2024-11-25 10:00:00,1.4799
ZEREBRO-USDT-SWAP,67,0,26959,0.3135,0.1187917509511323,0,1.2072705556393597,27012,-0.5,stop,okx_first,trades,0.47025,1735282800000,1735283719933,2024-12-28 07:00:00,2024-12-30 12:00:00,2024-12-27 07:00:00,0.47025
AIDOGE-USDT-SWAP,20,1,12507,6.47e-10,0.0555044120645985,0,1.1325346192163852,12603,0.41112828438949,end,okx_only,trades,8.310000000000001e-10,1683082800000,1683086136495,2023-05-06 03:00:00,2023-05-10 03:00:00,2023-05-03 03:00:00,3.81e-10
DUCK-USDT-SWAP,69,0,27443,0.009927,0.0532540653078949,0,1.0535893834303076,27587,0.4256069305933313,end,okx_only,trades,0.014890500000000001,1737025200000,1737025219661,2025-01-17 11:00:00,2025-01-23 11:00:00,2025-01-16 11:00:00,0.005702
NC-USDT-SWAP,70,0,27467,0.20843,0.0558256499747304,0,1.0636967616117563,27611,0.4416830590605959,end,okx_only,trades,0.312645,1737111600000,1737111657041,2025-01-18 11:00:00,2025-01-24 11:00:00,2025-01-17 11:00:00,0.11637
BUZZ-USDT-SWAP,72,0,27707,0.08023,0.0580604052828752,0,1.103658912276593,27851,0.4763804063317961,end,okx_only,trades,0.120345,1737975600000,1737976523615,2025-01-28 11:00:00,2025-02-03 11:00:00,2025-01-27 11:00:00,0.04200999999999999
MSN-USDT-SWAP,46,0,21150,2.89,0.0633663863361934,0,1.2877367601842782,21294,0.4802768166089965,end,okx_only,trades,4.335,1714370400000,1714371955869,2024-04-30 06:00:00,2024-05-06 06:00:00,2024-04-29 06:00:00,1.502
CP-USDT-SWAP,93,1,41751,0.03229,0.0876332039743347,0,1.3508485049671417,41847,0.5026323939300092,end,okx_only,rest,0.059895000000000004,1788361200000,1788363605239,2026-09-05 15:00:00,2026-09-09 15:00:00,2026-09-02 15:00:00,0.01606
DOS-USDT-SWAP,92,0,41148,0.5003,0.0728511836245861,0,1.2952439012763826,41292,0.5246851888866679,end,okx_first,rest,0.75045,1786363200000,1786363200783,2026-08-11 12:00:00,2026-08-17 12:00:00,2026-08-10 12:00:00,0.2378
CP-USDT-SWAP,93,0,41703,0.03993,0.0644893126056619,0,1.3410790912316537,41847,0.5977961432506886,end,okx_only,rest,0.059895000000000004,1788361200000,1788363605239,2026-09-03 15:00:00,2026-09-09 15:00:00,2026-09-02 15:00:00,0.01606
