sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net,src
RSS3-USDT-SWAP,729,0,2071,0.31018,0.04104428484588609,0.9999138070018236,2215,0.07331227029466769,end,0.19712365953005015,okx
UMEE-USDT-SWAP,728,0,2071,0.10574,0.04999569035009118,0.9998088160520885,2215,-0.07159069415547559,end,0.051338775357350826,okx
RSS3-USDT-SWAP,729,1,2119,0.33214,0.048954348555845364,0.9964392338213363,2215,0.13458180285421817,end,0.25512126892883574,okx
UMEE-USDT-SWAP,728,1,2119,0.10779,0.04982196169106681,0.9963346077017851,2215,-0.051210687447815095,end,0.06768975884122788,okx
DOME-USDT-SWAP,730,0,2358,0.047214,0.051325962462117514,1.0264114647211797,2502,0.1591265302664464,end,0.08863202680314705,okx
DOME-USDT-SWAP,730,1,2406,0.0466,0.051186682374346225,1.0236261554539383,2502,0.14804721030042922,end,0.14321812647591076,okx
APEUSDT,10,0,2583,13.9594,0.03949190605634687,1.0383163010704453,2727,0.03939281057925137,end,0.10400322157820521,binance
APEUSDT,10,1,2631,11.029,0.05817551686872158,1.0469411684662908,2727,-0.2158400580288331,end,-0.16358843268058573,binance
NYM-USDT-SWAP,732,0,3415,1.5853,0.051649483895217396,1.032881213988168,3559,0.2827225130890052,end,0.2580335862076991,okx
NYM-USDT-SWAP,732,1,3463,1.3949,0.051898130940952227,1.0378536327440686,3559,0.18481611585059865,end,0.18053451506485488,okx
FITFI-USDT-SWAP,733,0,3895,0.0929,0.01319607979202255,1.0556586715942406,3902,-0.5,stop,-0.4208758500291378,okx
FITFI-USDT-SWAP,733,1,3943,0.268,0.013126655900778545,1.050104906084892,4039,0.11791044776119408,end,0.12120735633650638,okx
OPUSDT,17,0,4406,1.3326,0.050436779833000676,1.0516176020839059,4550,0.24118265045775167,end,0.26512799205105414,binance
OPUSDT,17,1,4454,1.3556,0.06711140122101972,1.050015066595694,4550,0.2540572440247859,end,0.2901079568395021,binance
SWEAT-USDT-SWAP,735,0,6942,0.0530427,0.029422725674906346,1.084503485249147,7086,0.18782414922317303,end,0.10430726346864079,okx
SWEAT-USDT-SWAP,735,1,6990,0.0624099,0.032955362720058515,1.083816013103755,7086,0.3097248994149966,end,0.22765211975502914,okx
ETHW-USDT-SWAP,736,0,6966,10.43,0.02189714956246493,1.0814793868128487,7110,0.39031639501438153,end,0.34767340805853486,okx
ETHW-USDT-SWAP,736,1,7014,4.713,0.02401458123797872,1.0989746442355262,7110,-0.3492467642690431,end,-0.31245502692863,okx
APTUSDT,26,0,7754,7.0915,0.07929000075307854,1.095079706138698,7898,-0.23223577522385952,end,-0.20991559633414952,binance
APTUSDT,26,1,7802,7.5079,0.10903497950783003,1.0901208216213338,7898,-0.16389403162002703,end,-0.13937973386753483,binance
CORE-USDT-SWAP,741,0,10453,4.77229,0.028510223884094972,1.0633448694526493,10597,0.35255401494879823,end,0.35559447047654485,okx
CORE-USDT-SWAP,741,1,10501,2.94319,0.02785234428454004,1.0730453643820872,10597,-0.04981329781631483,end,-0.003504764110872373,okx
BLUR-USDT-SWAP,742,0,10610,1.0887,0.03254185220835122,1.0733768651017475,10754,0.07733994672545241,end,0.06626846394438875,okx
BLUR-USDT-SWAP,742,1,10658,1.0253,0.03577736818449765,1.0753682070449337,10754,0.020286745342826595,end,0.004226045071100171,okx
GFT-USDT-SWAP,744,0,10806,0.0791,0.05378764491608053,1.0756399442672868,10950,0.12262958280657399,end,0.1061107176352848,okx
GFT-USDT-SWAP,744,1,10854,0.0823,0.05360080305723373,1.0719034994582544,10950,0.1567436208991494,end,0.16881619180102087,okx
ARBUSDT,52,0,11487,1.3731,0.0783842945825521,1.0903444203545443,11631,0.016240623406889476,end,0.028501744285517116,binance
ARBUSDT,52,1,11535,1.3052,0.10937042719796572,1.0934745940825414,11631,-0.03493717437940558,end,-0.015842015525273326,binance
PEPE-USDT-SWAP,746,0,12459,1.0911e-06,0.026067359493672955,1.118682497956298,12466,-0.5,stop,-0.5130109953669411,okx
BLURUSDT,59,0,12348,0.7066,0.10910104684876817,1.0907813562892994,12492,0.18624398528163044,end,0.1780062056955901,binance
BLURUSDT,59,1,12396,0.6764,0.10925146892666951,1.0922852611819491,12492,0.1499112950916618,end,0.1689675431872342,binance
AIDOGE-USDT-SWAP,747,0,12459,5.54e-10,0.03325496469021781,1.1187372394112347,12495,-0.5,stop,-0.4929747411902846,okx
AIDOGE-USDT-SWAP,747,1,12507,6.47e-10,0.026930732915605486,1.0990678299777727,12603,0.41112828438949,end,0.3467005305058288,okx
PEPE-USDT-SWAP,746,1,12507,3.0063e-06,0.017150827100568915,1.0990318132408616,12603,0.31676812028074375,end,0.25755812681679324,okx
SUIUSDT,62,1,12520,1.3352,0.10976358951695167,1.097405391631531,12616,0.09668963451168366,end,0.0749607983612915,binance
1000PEPEUSDT,63,0,12520,0.0029357999999999997,0.03735672714418369,1.0976358951695167,12664,0.5987465086177532,end,0.5150801695790146,binance
1000PEPEUSDT,63,1,12568,0.0021206000000000003,0.05579558168605072,1.1424633577304784,12664,0.4444968405168349,end,0.38559641214562035,binance
1000FLOKIUSDT,64,0,12544,0.04037,0.11123565849023702,1.1121229900195406,12688,0.11072578647510534,end,0.03314018568307506,binance
1000FLOKIUSDT,64,1,12592,0.034230000000000003,0.11540086066150342,1.153766264807645,12688,-0.04878761320479108,end,-0.07347541347511338,binance
CETUS-USDT-SWAP,748,0,12635,0.12177,0.03633025671937741,1.1458518109515656,12779,0.3180586351318059,end,0.28504894464762437,okx
CETUS-USDT-SWAP,748,1,12683,0.11751,0.0421066916437835,1.1553761147870978,12779,0.29333673729895327,end,0.2806612935098787,okx
ORDI-USDT-SWAP,749,0,12897,9.745,0.039609390270043024,1.179160555155974,13041,0.13966136480246272,end,0.15262965394758518,okx
ORDI-USDT-SWAP,749,1,12945,8.449,0.05598972953991151,1.1842878409276543,13041,0.007693218132323265,end,0.02126022269728699,okx
WLDUSDT,73,0,14436,2.1345,0.0849459630070148,1.1863012700019975,14580,-0.08175216678379016,end,-0.0796674469903296,binance
