sym,stop_bar,sim_fill_vs_stop,px_1s,px_5s,px_30s,px_60s,vwap_5s,vwap_60s,min_after_60s
AIDOGE-USDT-SWAP,60,0.0,-0.0012,0.0048,0.0289,0.0156,0.0037,0.0183,-0.0024
FITFI-USDT-SWAP,31,0.0,0.0075,0.0176,0.1245,0.0836,0.0129,0.0965,-0.0004
GPT-USDT-SWAP,54,0.0,0.0023,0.0105,-0.0057,-0.0095,0.0059,0.0018,-0.0116
GRASS-USDT-SWAP,103,0.0,0.0021,-0.0094,0.0058,-0.0386,-0.0015,-0.001,-0.0407
GRIFFAIN-USDT-SWAP,103,0.0,-0.0016,-0.0025,-0.0065,-0.0039,-0.0014,-0.0055,-0.0086
MEMEFI-USDT-SWAP,98,0.0,-0.0011,0.0009,-0.0131,-0.0029,-0.0012,-0.0054,-0.017
MORPHO-USDT-SWAP,53,0.0,0.0012,0.0055,-0.0163,-0.0231,0.0118,-0.0048,-0.027
PEPE-USDT-SWAP,31,0.0,0.0031,0.0175,0.0109,0.0074,0.0165,0.0161,-0.0075
PYTH-USDT-SWAP,70,0.0,0.001,0.006,0.0017,-0.0004,0.0035,0.0028,-0.0068
ZEREBRO-USDT-SWAP,77,0.0,0.0037,0.0101,0.0048,0.0078,0.0054,0.0066,-0.0003
ZEUS-USDT-SWAP,68,0.0,0.0018,-0.002,-0.0026,0.0039,0.0002,-0.0033,-0.0128
