sym,tr,reason,ke,kx,entry_author,entry_mine,stop,prev_max_high,stop_bar_o,stop_bar_h,stop_bar_c,n_trades_bar,n_above,sz_above,sz_bar,first_cross,mins_above_span,close_vs_stop,next_bars_high_vs_stop,next6_close_max_vs_stop,exit_mine,exit_author,maxhigh_hold_vs_stop
MEMEFI-USDT-SWAP,1,stop,72,98,0.005292,0.005292,0.0098774999999999,0.009637,0.009241,0.013329,0.012393,1274529.0,1091327.0,161058000.0,193381788.0,2024-11-26 17:06:13.328,53.77636666666667,0.2546697038724499,0.3655277145026714,0.30832700582132433,,,
GRASS-USDT-SWAP,1,stop,72,103,0.9865,0.9865,1.5681000000000005,1.3,1.2844,1.6275,1.4438,176198.0,11839.0,603842.0,14948890.0,2024-11-01 21:21:27.629,0.5350833333333334,-0.07926790383266402,0.02034309036413462,-0.011542631209744525,,,
FITFI-USDT-SWAP,0,stop,24,31,0.0929,0.0929,0.13935,0.1221,0.1092,0.1915,0.1791,15962.0,11352.0,759357.0,1112245.0,2022-05-12 14:24:03.274,35.94538333333333,0.28525296017222823,0.6505202726946537,0.5335486185862934,,,
PYTH-USDT-SWAP,0,stop,24,70,0.3232,0.3232,0.4848,0.4821,0.477,0.5072,0.4893,67568.0,56584.0,2316548.0,2727343.0,2023-11-23 12:05:06.753,54.8379,0.009282178217821846,0.05507425742574257,0.017326732673267342,,,
ZEUS-USDT-SWAP,0,stop,24,68,0.685,0.685,1.0275,1.0044,0.9917,1.0971,1.0113,54434.0,28582.0,372512.0,717278.0,2024-04-08 04:18:08.713,26.925,-0.015766423357664205,0.11912408759124071,0.09722627737226275,,,
GPT-USDT-SWAP,0,stop,24,54,0.49367,0.49367,0.740505,0.67266,0.63879,0.75782,0.75108,115877.0,13859.0,159613.0,1403025.0,2024-03-01 18:54:00.375,5.9937,0.014280794862965074,0.033645957826078154,0.014280794862965074,,,
PEPE-USDT-SWAP,0,stop,24,31,1.0911e-06,1.0911e-06,1.63665e-06,1.348e-06,1.2903e-06,1.8306e-06,1.6171e-06,402671.0,153454.0,2279671.0,6392841.0,2023-05-04 10:36:39.843,22.638483333333333,-0.011945131824153021,0.12284239147038156,0.029542052363058735,,,
AIDOGE-USDT-SWAP,0,stop,24,60,5.54e-10,5.54e-10,8.31e-10,7.55e-10,7.37e-10,9.3e-10,7.88e-10,204661.0,93462.0,2480905.0,5801784.0,2023-05-05 15:01:44.673,33.01756666666667,-0.05174488567990376,0.05174488567990365,0.001203369434416457,,,
GRIFFAIN-USDT-SWAP,0,stop,24,103,0.2295,0.2295,0.34425,0.3415,0.3342,0.3546,0.3444,35164.0,16797.0,791626.0,1648520.0,2024-12-31 14:02:26.118,57.54866666666667,0.0004357298474944038,0.1427741466957153,0.12360203340595488,,,
MEMEFI-USDT-SWAP,0,stop,24,98,0.006585,0.006585,0.0098774999999999,0.009637,0.009241,0.013329,0.012393,1274529.0,1091327.0,161058000.0,193381788.0,2024-11-26 17:06:13.328,53.77636666666667,0.2546697038724499,0.3655277145026714,0.30832700582132433,,,
MORPHO-USDT-SWAP,0,stop,24,53,0.9866,0.9866,1.4799,1.4291,1.3833,1.5525,1.4907,332974.0,141485.0,14767928.0,35545421.0,2024-11-27 15:24:22.164,35.63055,0.007297790391242565,0.22569092506250432,0.18724238124197568,,,
ZEREBRO-USDT-SWAP,0,stop,24,77,0.3135,0.3135,0.47025,0.4649,0.4509,0.4885,0.4812,35431.0,23423.0,880175.0,1357118.0,2024-12-30 12:22:26.507,37.55765,0.02328548644338113,0.18958001063264218,0.1532163742690058,,,
AIDOGE-USDT-SWAP,1,end,72,168,6.47e-10,6.47e-10,8.31e-10,,,,,,,,,,,,,,3.81e-10,3.81e-10,-0.16125150421179313
DUCK-USDT-SWAP,0,end,24,168,0.009927,0.009927,0.0148905,,,,,,,,,,,,,,0.005702,0.005702,-0.3195661663476713
NC-USDT-SWAP,0,end,24,168,0.20843,0.20843,0.312645,,,,,,,,,,,,,,0.11637,0.11637,-0.30777719138319826
BUZZ-USDT-SWAP,0,end,24,168,0.08023,0.08023,0.120345,,,,,,,,,,,,,,0.04201,0.0420099999999999,-0.2677718226764717
MSN-USDT-SWAP,0,end,24,168,2.89,2.89,4.335,,,,,,,,,,,,,,1.502,1.502,-0.32664359861591696
CP-USDT-SWAP,1,end,72,168,0.03229,0.03229,0.059895,,,,,,,,,,,,,,0.01606,0.01606,-0.45471241339009927
DOS-USDT-SWAP,0,end,24,168,0.5003,0.5003,0.75045,,,,,,,,,,,,,,0.2378,0.2378,-0.32906922513158776
CP-USDT-SWAP,0,end,24,168,0.03993,0.03993,0.059895,,,,,,,,,,,,,,0.01606,0.01606,-0.32548626763502797
