sym,cls,t0_exact,listTime,first_fund,first_fund_raw,okx_first,d_listTime,d_first_fund,d_first_fund_raw,d_okx_first
LOOKS-USDT-SWAP,okx_only,22-02-17 09:56,,22-02-17 16:00,22-02-18 00:00,22-02-18 00:00,,-6.055167777777778,-14.055167777777777,-14.055167777777777
UMEE-USDT-SWAP,okx_only,22-02-24 07:01,,22-02-24 08:00,22-02-24 16:00,22-02-24 16:00,,-0.9791447222222223,-8.979144722222221,-8.979144722222221
RSS3-USDT-SWAP,okx_only,22-02-24 07:01,,22-02-24 08:00,22-02-24 16:00,22-02-24 16:00,,-0.9805566666666666,-8.980556666666667,-8.980556666666667
DOME-USDT-SWAP,okx_only,22-03-08 06:57,,22-03-08 08:00,22-03-08 16:00,22-03-08 16:00,,-1.0424308333333334,-9.042430833333333,-9.042430833333333
ASTR-USDT-SWAP,okx_first,22-04-14 07:00,,22-04-14 08:00,22-04-14 16:00,22-04-14 16:00,,-0.99857,-8.99857,-8.99857
NYM-USDT-SWAP,okx_only,22-04-21 07:00,,22-04-21 08:00,22-04-21 16:00,22-04-21 16:00,,-1.0007291666666667,-9.000729166666666,-9.000729166666666
FITFI-USDT-SWAP,okx_only,22-05-11 07:02,,22-05-11 08:00,22-05-11 16:00,22-05-11 16:00,,-0.9569994444444444,-8.956999444444444,-8.956999444444444
CEL-USDT-SWAP,okx_only,22-06-17 06:59,,22-06-17 08:00,22-06-17 16:00,22-06-17 16:00,,-1.002115,-9.002115,-9.002115
SWEAT-USDT-SWAP,okx_only,22-09-15 06:57,,22-09-15 08:00,22-09-15 16:00,22-09-15 16:00,,-1.037938888888889,-9.037938888888888,-9.037938888888888
ETHW-USDT-SWAP,okx_first,22-09-16 06:57,22-09-16 06:55,22-09-16 08:00,22-09-16 16:00,22-09-16 16:00,0.03731944444444445,-1.0386152777777777,-9.038615277777778,-9.038615277777778
USTC-USDT-SWAP,okx_first,22-11-03 06:59,,22-11-03 08:00,22-11-03 16:00,22-11-03 16:00,,-1.008236111111111,-9.008236111111112,-9.008236111111112
WEMIX-USDT-SWAP,okx_only,22-11-08 06:57,,22-11-08 08:00,22-11-08 16:00,22-11-08 16:00,,-1.0478841666666667,-9.047884166666666,-9.047884166666666
TON-USDT-SWAP,okx_first,22-12-28 06:57,,22-12-28 08:00,22-12-28 16:00,22-12-28 16:00,,-1.039358611111111,-9.039358611111112,-9.039358611111112
GMX-USDT-SWAP,okx_first,23-02-02 07:07,23-02-02 07:05,23-02-02 08:00,23-02-02 16:00,23-02-02 16:00,0.033509166666666666,-0.8757,-8.8757,-8.8757
CORE-USDT-SWAP,okx_only,23-02-08 13:55,23-02-08 13:55,23-02-08 16:00,23-02-09 00:00,23-02-09 00:00,0.00879111111111111,-2.07629,-10.07629,-10.07629
