base,okx_j,bn_i,okx_t0,bn_t0,dh,okx_new,bn_new,cls
ASTR,4,37,2022-04-14 07:00:00,2023-02-14 02:00:00,7339.0,False,False,okx_first
ETHW,9,120,2022-09-16 06:00:00,2023-11-28 12:00:00,10518.0,True,True,okx_first
USTC,10,118,2022-11-03 06:00:00,2023-11-27 12:00:00,9342.0,False,False,okx_first
TON,12,145,2022-12-28 06:00:00,2024-03-01 12:00:00,10302.0,False,True,okx_first
GMX,13,40,2023-02-02 07:00:00,2023-02-17 14:00:00,367.0,False,False,okx_first
BLUR,15,59,2023-02-15 02:00:00,2023-04-28 12:00:00,1738.0,True,True,okx_first
FLOKI,16,64,2023-02-20 06:00:00,2023-05-06 16:00:00,1810.0,False,True,okx_first
GLMR,18,86,2023-04-17 06:00:00,2023-09-26 01:00:00,3883.0,False,False,okx_first
PEPE,19,63,2023-05-03 03:00:00,2023-05-05 16:00:00,61.0,True,True,okx_first
CETUS,21,214,2023-05-10 11:00:00,2024-11-06 14:00:00,13107.0,True,True,okx_first
ORDI,22,107,2023-05-21 09:00:00,2023-11-07 12:00:00,4083.0,True,True,okx_first
PYTH,26,115,2023-11-20 14:00:00,2023-11-22 14:00:00,48.0,True,True,okx_first
AUCTION,27,123,2023-12-01 07:00:00,2023-12-15 13:00:00,342.0,False,False,okx_first
TURBO,30,162,2023-12-14 09:00:00,2024-05-30 15:00:00,4038.0,False,True,okx_first
METIS,31,148,2023-12-28 09:00:00,2024-03-12 08:00:00,1799.0,False,True,okx_first
ZK,38,164,2024-03-19 10:00:00,2024-06-17 11:00:00,2161.0,True,True,okx_first
MEW,43,165,2024-04-15 08:00:00,2024-06-17 14:00:00,1518.0,True,True,okx_first
MERL,45,353,2024-04-19 10:00:00,2025-05-29 08:00:00,9718.0,True,True,okx_first
ATH,50,311,2024-06-13 03:00:00,2025-04-02 15:00:00,7044.0,True,True,okx_first
UXLINK,51,191,2024-07-18 09:00:00,2024-09-15 15:00:00,1422.0,True,True,okx_first
CAT,53,205,2024-09-06 10:00:00,2024-10-21 12:00:00,1082.0,True,True,okx_first
CAT,53,661,2024-09-06 10:00:00,2026-07-02 09:00:00,15935.0,True,True,okx_first
MOODENG,54,208,2024-10-03 07:00:00,2024-10-25 10:00:00,531.0,True,True,okx_first
PUFFER,55,357,2024-10-14 12:00:00,2025-06-04 08:00:00,5588.0,True,True,okx_first
GRASS,57,217,2024-10-28 14:00:00,2024-11-08 15:00:00,265.0,True,True,okx_first
OL,59,372,2024-11-22 09:00:00,2025-06-25 11:00:00,5162.0,True,True,okx_first
MEMEFI,60,327,2024-11-22 15:00:00,2025-04-25 07:00:00,3688.0,True,True,okx_first
MORPHO,61,231,2024-11-25 10:00:00,2024-11-27 14:00:00,52.0,True,True,okx_first
ZKJ,63,344,2024-12-06 09:00:00,2025-05-13 09:00:00,3792.0,False,True,okx_first
AI16Z,65,260,2024-12-20 09:00:00,2025-01-02 13:00:00,316.0,True,True,okx_first
GRIFFAIN,66,259,2024-12-27 07:00:00,2025-01-02 13:00:00,150.0,True,True,okx_first
ZEREBRO,67,261,2024-12-27 07:00:00,2025-01-02 14:00:00,151.0,True,True,okx_first
ALCH,68,263,2025-01-03 07:00:00,2025-01-07 11:00:00,100.0,True,True,okx_first
HYPE,74,354,2025-02-21 07:00:00,2025-05-30 10:00:00,2355.0,True,True,okx_first
USELESS,76,402,2025-07-25 10:00:00,2025-08-15 12:00:00,506.0,True,True,okx_first
MET,79,455,2025-10-10 08:00:00,2025-10-11 12:00:00,28.0,True,True,okx_first
TRIA,81,521,2026-02-05 07:00:00,2026-02-06 12:00:00,29.0,True,True,okx_first
GRAM,86,653,2026-06-17 10:00:00,2026-07-02 08:00:00,358.0,True,True,okx_first
RE,87,639,2026-06-17 10:00:00,2026-06-18 14:00:00,28.0,True,True,okx_first
O,88,648,2026-06-17 16:00:00,2026-06-24 11:00:00,163.0,True,True,okx_first
DOS,92,702,2026-08-10 12:00:00,2026-08-11 15:00:00,27.0,True,True,okx_first
