base,okx_entry,bn_entry,okx_ret,bn_ret,okx_notional,bn_notional
DOS,2026-08-11 12:00:00,2026-08-12 15:00:00,0.525,0.328,0.315,0.503
DOS,2026-08-11 12:00:00,2026-08-14 15:00:00,0.525,0.174,0.315,0.554
DOS,2026-08-13 12:00:00,2026-08-12 15:00:00,0.14,0.328,0.386,0.503
DOS,2026-08-13 12:00:00,2026-08-14 15:00:00,0.14,0.174,0.386,0.554
MET,2025-10-11 08:00:00,2025-10-12 12:00:00,0.202,0.305,0.194,0.337
MET,2025-10-11 08:00:00,2025-10-14 12:00:00,0.202,0.299,0.194,0.349
MET,2025-10-13 08:00:00,2025-10-12 12:00:00,0.249,0.305,0.263,0.337
MET,2025-10-13 08:00:00,2025-10-14 12:00:00,0.249,0.299,0.263,0.349
MORPHO,2024-11-28 10:00:00,2024-11-28 14:00:00,0.08,-0.231,0.145,0.168
MORPHO,2024-11-28 10:00:00,2024-11-30 14:00:00,0.08,-0.068,0.145,0.209
PEPE,2023-05-06 03:00:00,2023-05-06 16:00:00,0.317,0.599,0.036,0.04
PEPE,2023-05-06 03:00:00,2023-05-08 16:00:00,0.317,0.444,0.036,0.06
PYTH,2023-11-23 14:00:00,2023-11-23 14:00:00,0.196,0.164,0.094,0.122
PYTH,2023-11-23 14:00:00,2023-11-25 14:00:00,0.196,0.139,0.094,0.145
RE,2026-06-20 10:00:00,2026-06-19 14:00:00,0.166,0.268,0.156,0.151
RE,2026-06-20 10:00:00,2026-06-21 14:00:00,0.166,0.434,0.156,0.225
TRIA,2026-02-06 07:00:00,2026-02-07 12:00:00,0.215,0.076,0.14,0.308
TRIA,2026-02-06 07:00:00,2026-02-09 12:00:00,0.215,-0.081,0.14,0.377
TRIA,2026-02-08 07:00:00,2026-02-07 12:00:00,-0.016,0.076,0.199,0.308
TRIA,2026-02-08 07:00:00,2026-02-09 12:00:00,-0.016,-0.081,0.199,0.377
