sym,tr,reason,ret_author,mark,index_entry_vs_okx,index_first_stop_bar,index_max_h_vs_stop,index_h_at_okx_stopbar_vs_stop,index_ret_same_entry,bybit_entry_vs_okx,bybit_first_stop_bar,bybit_max_h_vs_stop,bybit_h_at_okx_stopbar_vs_stop,bybit_ret_same_entry,okx_stop_bar,mark_entry_vs_okx,mark_first_stop_bar,mark_max_h_vs_stop,mark_h_at_okx_stopbar_vs_stop,mark_ret_same_entry,index,bybit,index_exit_vs_okx,bybit_exit_vs_okx,mark_exit_vs_okx
MEMEFI,1,stop,-0.8665,n/a,-0.0017,98.0,0.4591,0.3398,-0.8665,0.0002,98.0,0.4668,0.3422,-0.8665,98.0,,,,,,,,,,
GRASS,1,stop,-0.5896,,-0.0009,103.0,0.2525,0.0349,-0.5896,-0.0021,103.0,0.2428,0.0345,-0.5896,103.0,-0.0008,103.0,0.246,0.037,-0.5896,,,,,
FITFI,0,stop,-0.5,n/a,,,,,,-0.0065,31.0,1.3315,0.3631,-0.5,31.0,,,,,,n/a,,,,
PYTH,0,stop,-0.5,,0.0,70.0,0.1489,0.0429,-0.5,0.0003,53.0,0.1543,0.0495,-0.5,70.0,0.0012,70.0,0.1498,0.0452,-0.5,,,,,
ZEUS,0,stop,-0.5,n/a,0.0434,68.0,0.1118,0.0637,-0.5,,,,,,68.0,,,,,,,n/a,,,
GPT,0,stop,-0.5,n/a,-0.0037,54.0,0.1443,0.0128,-0.5,-0.9439,,-0.9399,-0.9626,0.9214,54.0,,,,,,,,,,
PEPE,0,stop,-0.5,,0.0011,31.0,1.7401,0.1097,-0.5,-0.0055,31.0,1.7373,0.1181,-0.5,31.0,-0.0006,31.0,1.7338,0.1152,-0.5,,,,,
AIDOGE,0,stop,-0.5,n/a,0.0,60.0,0.089,0.089,-0.5,,,,,,60.0,,,,,,,n/a,,,
GRIFFAIN,0,stop,-0.5,n/a,-0.0017,103.0,0.3961,0.0222,-0.5,-0.0009,103.0,0.4069,0.0273,-0.5,103.0,,,,,,,,,,
MEMEFI,0,stop,-0.5,n/a,-0.0018,98.0,0.4591,0.3398,-0.5,0.0009,98.0,0.4668,0.3422,-0.5,98.0,,,,,,,,,,
MORPHO,0,stop,-0.5,,0.0008,53.0,0.2213,0.0455,-0.5,-0.0016,53.0,0.2279,0.048,-0.5,53.0,-0.0006,53.0,0.2231,0.0474,-0.5,,,,,
ZEREBRO,0,stop,-0.5,n/a,0.0029,77.0,0.69,0.0388,-0.5,,,,,,77.0,,,,,,,n/a,,,
AIDOGE,1,end,0.4111,n/a,-0.0015,,-0.16,,0.4111,,,,,,,,,,,,,n/a,0.0,,
DUCK,0,end,0.4256,n/a,-0.0005,,-0.3225,,0.4253,0.0007,,-0.319,,0.4254,,,,,,,,,0.0005,0.0004,
NC,0,end,0.4417,n/a,0.0014,,-0.3084,,0.4415,0.0008,,-0.3081,,0.4419,,,,,,,,,0.0003,-0.0003,
BUZZ,0,end,0.4764,n/a,0.0035,,-0.2688,,0.4775,-0.002,,-0.2713,,0.4778,,,,,,,,,-0.0021,-0.0026,
MSN,0,end,0.4803,n/a,,,,,,,,,,,,,,,,,n/a,n/a,,,
CP,1,end,0.5026,,-0.0028,,-0.4567,,0.5036,-0.0009,,-0.4559,,0.5033,,-0.0003,,-0.455,,0.5026,,,-0.0019,-0.0012,0.0
DOS,0,end,0.5247,,0.0068,,-0.3263,,0.5231,,,,,,,-0.0014,,-0.3343,,0.5251,,n/a,0.0034,,-0.0008
CP,0,end,0.5978,,0.0005,,-0.3277,,0.5985,,,,,,,-0.0013,,-0.3272,,0.5978,,n/a,-0.0019,,0.0
