pair,dir,beta,worst,when,lmax
LTCUSDT/BCHUSDT,long,0.5992353534,-0.5171664666545117,2025-10-10 21:00:00,1.5133923661645814
DOGEUSDT/1000SHIBUSDT,long,1.1449960517,-0.31072730403015497,2025-10-10 21:00:00,3.257473607590087
SOLUSDT/ETHUSDT,short,1.1378220836,-0.293567277033973,2022-12-29 22:00:00,3.525577818900089
SOLUSDT/ETHUSDT,short,0.9010517469,-0.27259431296690456,2022-11-10 03:00:00,3.3808611039415073
BNBUSDT/ETHUSDT,long,0.4848497979,-0.2464993651383255,2025-10-10 21:00:00,2.9037134143075782
SOLUSDT/ETHUSDT,long,0.8975120923,-0.23941721141143799,2025-10-10 21:00:00,3.826307835228174
DOGEUSDT/1000SHIBUSDT,short,0.6791763628,-0.23807061220934767,2022-10-29 15:00:00,3.3142749010801
DOGEUSDT/1000SHIBUSDT,long,0.8198903295,-0.22070829911773565,2024-03-02 00:00:00,3.8402812609210764
LTCUSDT/BCHUSDT,long,0.8315645789,-0.18915286760708314,2023-06-30 02:00:00,4.534163343518544
BNBUSDT/ETHUSDT,short,0.55544676,-0.1889469383176172,2022-11-08 16:00:00,3.919059196812808
LTCUSDT/BCHUSDT,long,0.4395824416,-0.18776907420026073,2023-08-17 21:00:00,3.6381360774596327
ETHUSDT/BTCUSDT,long,1.0108422332,-0.13949942366772747,2024-08-05 01:00:00,6.768315090712369
ETHUSDT/BTCUSDT,long,0.9840594038,-0.12898685775392107,2025-02-03 02:00:00,7.193045007856405
ETHUSDT/BTCUSDT,short,1.5478822356,-0.12661632965977523,2025-10-10 21:00:00,9.225988655880105
BNBUSDT/ETHUSDT,long,0.7848345281,-0.09443005170577101,2022-07-16 16:00:00,8.50230468451188
