method,hedge,Wf,K,Wz,zin,zout,zstop,exec,liq,margin,lev,period,cagr,final,sharpe,worst_day,maxdd_intrabar,trades,liqs,stops,timeouts,forced,fees,funding,exposure,avg_gross_lev,legged,maker_miss,wbars,fbbars,nan_flag,per_year
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,1,IS,0.29239319599115055,2.1590377421756535,0.8999820595570924,-0.1966932490950466,0.37045523610430575,278,0,0,6,30,0.24905462954099183,-0.051593684668976285,0.7198144768856448,0.719414610031384,0,0,0,0,0,"{""2022"": -0.1146, ""2023"": 0.5627, ""2024"": 0.5603}"
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,3,IS,0.5754094958461242,3.911249179667715,1.0091379846656239,-0.5913837532249524,0.8713670120001961,278,0,0,6,30,0.9279403481833264,-0.2543993554506403,0.7198144768856448,2.2514287389851217,0,0,0,0,0,"{""2022"": -0.4848, ""2023"": 2.2239, ""2024"": 1.3548}"
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,5,IS,-1.0,0.0,-0.1241361623121516,-1.0,1.0,45,1,0,0,2,0.18822412096403887,-0.04166649392367589,0.10249391727493917,0.5411346695918351,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,10,IS,-1.0,0.0,-11.223207761080136,-1.0,1.0,2,1,0,0,0,0.005539551318214838,0.0006141607621794243,0.0028132603406326034,0.039889266752176085,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,15,IS,-1.0,0.0,-12.065178609181855,-1.0,1.0,2,1,0,0,0,0.007463990465983386,0.0006540564215650333,0.0021289537712895377,0.03386373668399275,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,20,IS,-1.0,0.0,-14.650986919420767,-1.0,1.0,1,1,0,0,0,0.006666666666666666,0.0006811197650644989,0.0018628345498783454,0.04184163991538906,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,1,IS,0.4498490323366737,3.0484478403299646,1.217897731241077,-0.19908795487556585,0.3649899291213071,278,0,0,6,30,0.13715068338630723,-0.06485111762514013,0.7198144768856448,0.71835068582232,17,0,0,0,0,"{""2022"": -0.003, ""2023"": 0.7326, ""2024"": 0.7647}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,3,IS,1.210530606898021,10.807503691236388,1.2965705597761217,-0.601939573471398,0.8654162794269156,278,0,0,6,30,0.830751240979367,-0.5067122517656576,0.7198144768856448,2.2411395681602753,17,0,0,0,0,"{""2022"": -0.2641, ""2023"": 3.3562, ""2024"": 2.3714}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,5,IS,-1.0,0.0,0.14553826279562723,-1.0,1.0,45,1,0,0,2,0.09349959235744956,-0.0537254192247449,0.10249391727493917,0.5353099734867836,1,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,10,IS,-1.0,0.0,-11.049439486617594,-1.0,1.0,2,1,0,0,0,0.0022258317287339726,0.000616370076198859,0.0028132603406326034,0.039167943155655374,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
