pick,exec,lev,period,variant,when,slots
pick1_3,maker,5,IS,base,2022-09-23 03:00:00,
pick1_3,maker,5,IS,tick5bp,2022-09-23 03:00:00,
pick1_3,maker,5,IS,tick10bp,2022-09-23 03:00:00,
pick1_3,maker,5,IS,lenient_liq,2022-09-23 03:00:00,
pick1_3,maker,5,IS,lenient_liq,2024-03-02 23:00:00,
pick1_3,maker,10,IS,base,2022-01-05 19:00:00,
pick1_3,maker,10,IS,tick5bp,2022-01-05 19:00:00,
pick1_3,maker,10,IS,tick10bp,2022-01-05 19:00:00,
pick1_3,maker,10,IS,lenient_liq,2022-01-05 19:00:00,
pick1_3,maker,15,IS,base,2022-01-05 04:00:00,
pick1_3,maker,15,IS,tick5bp,2022-01-05 04:00:00,
pick1_3,maker,15,IS,tick10bp,2022-01-05 04:00:00,
pick1_3,maker,15,IS,lenient_liq,2022-01-05 04:00:00,
pick1_3,maker,15,IS,lenient_liq,2022-03-25 08:00:00,
pick1_3,maker,15,IS,lenient_liq,2022-04-05 16:00:00,
pick1_3,maker,15,IS,lenient_liq,2022-05-09 16:00:00,
pick1_3,maker,15,IS,lenient_liq,2022-06-13 03:00:00,
pick1_3,maker,15,IS,lenient_liq,2022-07-05 16:00:00,
pick1_3,maker,15,IS,lenient_liq,2022-08-14 08:00:00,
pick1_3,maker,20,IS,base,2022-01-04 20:00:00,
pick1_3,maker,20,IS,tick5bp,2022-01-04 20:00:00,
pick1_3,maker,20,IS,tick10bp,2022-01-04 20:00:00,
pick1_3,maker,20,IS,lenient_liq,2022-01-04 20:00:00,
pick1_3,maker,20,IS,lenient_liq,2022-02-07 16:00:00,
pick1_3,maker,20,IS,lenient_liq,2022-03-24 22:00:00,
pick1_3,maker,20,IS,lenient_liq,2022-04-05 16:00:00,
pick1_3,taker,5,IS,base,2022-09-23 03:00:00,
pick1_3,taker,5,IS,lenient_liq,2022-09-23 03:00:00,
pick1_3,taker,10,IS,base,2022-01-05 19:00:00,
pick1_3,taker,10,IS,lenient_liq,2022-01-05 19:00:00,
pick1_3,taker,15,IS,base,2022-01-05 03:00:00,
pick1_3,taker,15,IS,lenient_liq,2022-01-05 03:00:00,
pick1_3,taker,15,IS,lenient_liq,2022-03-25 08:00:00,
pick1_3,taker,15,IS,lenient_liq,2022-04-05 16:00:00,
pick1_3,taker,15,IS,lenient_liq,2022-05-09 16:00:00,
pick1_3,taker,15,IS,lenient_liq,2022-06-13 03:00:00,
pick1_3,taker,15,IS,lenient_liq,2022-07-05 16:00:00,
pick1_3,taker,15,IS,lenient_liq,2022-08-14 05:00:00,
