pick,method,hedge,Wf,K,Wz,zin,zout,zstop,exec,lev,period,variant,cagr,final,sharpe,worst_day,maxdd,trades,liqs,legged,maker_miss,wbars,fbbars,per_year,cagr_reported,final_reported
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,IS,base,0.4498490323366737,3.0484478403299646,1.217897731241077,-0.19908795487556585,0.32115376543444163,278,0,17,0,27208,1014,"{""2022"": -0.003, ""2023"": 0.7326, ""2024"": 0.7647}",0.4498490323366737,3.0484478403299646
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,IS,tick5bp,0.3785014388314767,2.6200953132402516,1.0779319210016427,-0.19908795487556552,0.3259779553114004,278,0,55,1,27212,1014,"{""2022"": -0.0468, ""2023"": 0.6317, ""2024"": 0.6846}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,IS,tick10bp,0.3504205620126446,2.463181575391449,1.0362188988072911,-0.15346771297673467,0.3324659098044812,277,0,87,4,27229,976,"{""2022"": -0.0792, ""2023"": 0.5746, ""2024"": 0.6989}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,IS,lenient_liq,0.4498490323366737,3.0484478403299646,1.217897731241077,-0.19908795487556585,0.32115376543444163,278,0,17,0,27208,1014,"{""2022"": -0.003, ""2023"": 0.7326, ""2024"": 0.7647}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,IS,base,1.210530606898021,10.807503691236388,1.2965705597761217,-0.601939573471398,0.7927681832328733,278,0,17,0,27208,1014,"{""2022"": -0.2641, ""2023"": 3.3562, ""2024"": 2.3714}",1.210530606898021,10.807503691236388
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,IS,tick5bp,0.910688768226174,6.97850374686864,1.1733543218800493,-0.6019395734713985,0.7950317177379034,278,0,55,1,27212,1014,"{""2022"": -0.3529, ""2023"": 2.6757, ""2024"": 1.9338}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,IS,tick10bp,0.8001261917151019,5.835574233976301,1.1018686404258622,-0.45776941141352445,0.7967334851601735,277,0,87,4,27229,976,"{""2022"": -0.4229, ""2023"": 2.3068, ""2024"": 2.058}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,IS,lenient_liq,1.210530606898021,10.807503691236388,1.2965705597761217,-0.601939573471398,0.7927681832328733,278,0,17,0,27208,1014,"{""2022"": -0.2641, ""2023"": 3.3562, ""2024"": 2.3714}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,IS,base,-1.0,0.0,0.30855692020391123,-1.0,1.0,68,1,3,0,6386,451,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,IS,tick5bp,-1.0,0.0,0.20890584191904873,-1.0,1.0,68,1,14,0,6386,451,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,IS,tick10bp,-1.0,0.0,0.18127712830357479,-1.0,1.0,68,1,20,0,6386,451,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,IS,lenient_liq,-1.0,0.0,0.8017182913112497,-1.0,1.0,203,2,15,0,19469,616,"{""2022"": -0.9989, ""2023"": 7.3797, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,IS,base,-1.0,0.0,-11.049439486617594,-1.0,1.0,2,1,0,0,96,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,IS,tick5bp,-1.0,0.0,-11.049439486617594,-1.0,1.0,2,1,0,0,96,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,IS,tick10bp,-1.0,0.0,-11.049439486617594,-1.0,1.0,2,1,0,0,96,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,IS,lenient_liq,-1.0,0.0,-11.049439486617594,-1.0,1.0,2,1,0,0,96,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,IS,base,-1.0,0.0,-11.79987076408424,-1.0,1.0,2,1,0,0,68,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,IS,tick5bp,-1.0,0.0,-11.79987076408424,-1.0,1.0,2,1,0,0,68,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,IS,tick10bp,-1.0,0.0,-11.79987076408424,-1.0,1.0,2,1,0,0,68,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,IS,lenient_liq,-1.0,0.0,-1.7574446790716254,-1.0,1.0,29,7,2,0,1776,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,IS,base,-1.0,0.0,-14.341124712188025,-1.0,1.0,2,1,0,0,52,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,IS,tick5bp,-1.0,0.0,-14.341124712188025,-1.0,1.0,2,1,0,0,52,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,IS,tick10bp,-1.0,0.0,-14.341124712188025,-1.0,1.0,2,1,0,0,52,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,IS,lenient_liq,-1.0,0.0,-0.8128237833306948,-1.0,1.0,15,4,1,0,702,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,1,IS,base,0.29239319599115055,2.1590377421756535,0.8999820595570924,-0.1966932490950466,0.3309420094796546,278,0,0,0,27227,995,"{""2022"": -0.1146, ""2023"": 0.5627, ""2024"": 0.5603}",0.2923931959911505,2.159037742175653
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,1,IS,lenient_liq,0.29239319599115055,2.1590377421756535,0.8999820595570924,-0.1966932490950466,0.3309420094796546,278,0,0,0,27227,995,"{""2022"": -0.1146, ""2023"": 0.5627, ""2024"": 0.5603}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,3,IS,base,0.5754094958461242,3.911249179667715,1.0091379846656239,-0.5913837532249524,0.7999183858101817,278,0,0,0,27227,995,"{""2022"": -0.4848, ""2023"": 2.2239, ""2024"": 1.3548}",0.5754094958461242,3.911249179667715
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,3,IS,lenient_liq,0.5754094958461242,3.911249179667715,1.0091379846656239,-0.5913837532249524,0.7999183858101817,278,0,0,0,27227,995,"{""2022"": -0.4848, ""2023"": 2.2239, ""2024"": 1.3548}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,5,IS,base,-1.0,0.0,0.09042670253240243,-1.0,1.0,68,1,0,0,6388,449,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,5,IS,lenient_liq,-1.0,0.0,0.09042670253240243,-1.0,1.0,68,1,0,0,6388,449,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,10,IS,base,-1.0,0.0,-11.223207761080136,-1.0,1.0,2,1,0,0,96,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,10,IS,lenient_liq,-1.0,0.0,-11.223207761080136,-1.0,1.0,2,1,0,0,96,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,15,IS,base,-1.0,0.0,-12.065178609181855,-1.0,1.0,2,1,0,0,66,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,15,IS,lenient_liq,-1.0,0.0,-1.803288536220863,-1.0,1.0,48,10,0,0,3528,97,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,20,IS,base,-1.0,0.0,-14.650986919420767,-1.0,1.0,2,1,0,0,52,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,20,IS,lenient_liq,-1.0,0.0,-1.1671968491257505,-1.0,1.0,15,4,0,0,702,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,OOS,base,0.014150501365115309,1.0236657014058528,0.19078204531190884,-0.07454623371650848,0.39074366715767184,151,0,17,0,14720,776,"{""2025"": 0.08, ""2026"": -0.0522}",0.0141505013651153,1.0236657014058528
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,OOS,tick5bp,-0.035518877741578914,0.9415754730802173,0.012705876650016141,-0.07454623371650848,0.4222826564622667,151,0,39,0,14720,776,"{""2025"": 0.0265, ""2026"": -0.0827}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,OOS,tick10bp,-0.0867146326063013,0.8598546731495424,-0.18154407014949034,-0.07454623371650826,0.45185535232326135,151,0,65,0,14714,782,"{""2025"": -0.0225, ""2026"": -0.1204}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,1,OOS,lenient_liq,0.014150501365115309,1.0236657014058528,0.19078204531190884,-0.07454623371650848,0.39074366715767184,151,0,17,0,14720,776,"{""2025"": 0.08, ""2026"": -0.0522}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,OOS,base,-0.24123989806590063,0.631568317659727,0.15187399666951001,-0.22363870114952522,0.8642046423646995,151,0,17,0,14720,776,"{""2025"": -0.1682, ""2026"": -0.2408}",-0.2412398980659006,0.631568317659727
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,OOS,tick5bp,-0.3453498004442025,0.4939996546361358,-0.009280418563072546,-0.22363870114952544,0.8837510850403705,151,0,39,0,14720,776,"{""2025"": -0.2818, ""2026"": -0.3122}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,OOS,tick10bp,-0.4466724782624989,0.37339188668012036,-0.1943995443403632,-0.22363870114952544,0.9014566994619447,151,0,65,0,14714,782,"{""2025"": -0.3785, ""2026"": -0.3992}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,3,OOS,lenient_liq,-0.24123989806590063,0.631568317659727,0.15187399666951001,-0.22363870114952522,0.8642046423646995,151,0,17,0,14720,776,"{""2025"": -0.1682, ""2026"": -0.2408}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,OOS,base,-1.0,0.0,0.8548508690670246,-1.0,1.0,35,1,5,0,2560,24,"{""2025"": -1.0, ""2026"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,OOS,tick5bp,-1.0,0.0,0.774430649897317,-1.0,1.0,35,1,9,0,2560,24,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,OOS,tick10bp,-1.0,0.0,0.6551013551721758,-1.0,1.0,35,1,13,0,2560,24,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,5,OOS,lenient_liq,-0.8681393239795039,0.034303010901697996,-0.032210662708079506,-0.8394296066858813,0.9974230365640778,151,1,16,0,14584,648,"{""2025"": -0.9313, ""2026"": -0.5007}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,OOS,base,-1.0,0.0,0.36109074535146907,-1.0,1.0,11,1,3,0,765,0,"{""2025"": -1.0, ""2026"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,OOS,tick5bp,-1.0,0.0,0.36109074535146907,-1.0,1.0,11,1,3,0,765,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,OOS,tick10bp,-1.0,0.0,0.15587007001162137,-1.0,1.0,11,1,6,0,765,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,10,OOS,lenient_liq,-1.0,0.0,-1.5460704687526776,-1.0,1.0,73,8,7,0,6633,7,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,OOS,base,-1.0,0.0,-4.5533563827911,-1.0,1.0,6,1,2,0,322,0,"{""2025"": -1.0, ""2026"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,OOS,tick5bp,-1.0,0.0,-4.5533563827911,-1.0,1.0,6,1,2,0,322,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,OOS,tick10bp,-1.0,0.0,-4.5533563827911,-1.0,1.0,6,1,2,0,322,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,15,OOS,lenient_liq,-1.0,0.0,-5.15904325872743,-1.0,1.0,8,2,3,0,393,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,OOS,base,-1.0,0.0,-2.267013055406332,-1.0,1.0,6,1,2,0,290,0,"{""2025"": -1.0, ""2026"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,OOS,tick5bp,-1.0,0.0,-2.267013055406332,-1.0,1.0,6,1,2,0,290,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,OOS,tick10bp,-1.0,0.0,-2.267013055406332,-1.0,1.0,6,1,2,0,290,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,maker,20,OOS,lenient_liq,-1.0,0.0,-3.8672739738117787,-1.0,1.0,9,3,3,0,360,0,"{""2025"": -1.0, ""2026"": -1.0}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,1,OOS,base,-0.06859258712956418,0.8884428943981754,-0.11403802406419404,-0.07808701287633046,0.445727975164814,151,0,0,0,14721,775,"{""2025"": -0.01, ""2026"": -0.1026}",-0.0685925871295641,0.8884428943981754
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,1,OOS,lenient_liq,-0.06859258712956418,0.8884428943981754,-0.11403802406419404,-0.07808701287633046,0.445727975164814,151,0,0,0,14721,775,"{""2025"": -0.01, ""2026"": -0.1026}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,3,OOS,base,-0.4149951126440651,0.4096477770645878,-0.13762541978111342,-0.23426103862899172,0.8990422035881862,151,0,0,0,14721,775,"{""2025"": -0.3624, ""2026"": -0.3575}",-0.4149951126440651,0.4096477770645878
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,3,OOS,lenient_liq,-0.4149951126440651,0.4096477770645878,-0.13762541978111342,-0.23426103862899172,0.8990422035881862,151,0,0,0,14721,775,"{""2025"": -0.3624, ""2026"": -0.3575}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,5,OOS,base,-1.0,0.0,0.6465719537931717,-1.0,1.0,35,1,0,0,2560,24,"{""2025"": -1.0, ""2026"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,5,OOS,lenient_liq,-0.9303335944802678,0.011859910026871225,-0.2994569368846029,-0.8775323193102527,0.9988903405572445,151,1,0,0,14585,647,"{""2025"": -0.9683, ""2026"": -0.6259}",,
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,10,OOS,base,-1.0,0.0,0.26302929332810626,-1.0,1.0,11,1,0,0,765,0,"{""2025"": -1.0, ""2026"": -1.0}",-1.0,0.0
pick1_3,coint,lvl,60,3,336,2.5,0.5,101.5,taker,10,OOS,lenient_liq,-1.0,0.0,-1.1758945752496528,-1.0,1.0,12,2,0,0,766,0,"{""2025"": -1.0, ""2026"": -1.0}",,
