coin,cagr_oos,trades
LTCUSDT,-0.03292975117198815,243
FARTCOINUSDT,-0.030554303548136263,259
FILUSDT,-0.020884938224804417,245
1000PEPEUSDT,0.026998734584824824,252
PUMPUSDT,0.030290463093846975,270
ETHUSDT,0.03440367799938571,255
NEIROUSDT,0.036893755036738085,267
BCHUSDT,0.0592221360713554,268
HYPEUSDT,0.0647896720950103,271
XRPUSDT,0.06832342475954767,270
MOODENGUSDT,0.06875260572887498,273
HBARUSDT,0.07408659530101569,269
ONDOUSDT,0.08530511140609875,267
1000SHIBUSDT,0.08797912275997932,271
WIFUSDT,0.08855917890957077,256
1000BONKUSDT,0.09164767637685145,264
BTCUSDT,0.09182176443432843,259
TRXUSDT,0.09484370737590475,272
LINKUSDT,0.10117731750877401,227
ORDIUSDT,0.10145405116854467,276
APTUSDT,0.10145405116854467,276
1000FLOKIUSDT,0.10145405116854467,276
BNBUSDT,0.10215114609754505,242
TAOUSDT,0.1098932111824209,271
ADAUSDT,0.11790755519971752,245
PENGUUSDT,0.11984878334292626,270
DOTUSDT,0.1214764262465109,259
WLDUSDT,0.12198750822767246,262
NEARUSDT,0.13455980509719212,249
ARBUSDT,0.14315722252137864,273
AVAXUSDT,0.14453871802530305,238
ZECUSDT,0.14929712248265892,270
UNIUSDT,0.15419883544154844,271
TRUMPUSDT,0.17273738731834265,264
SOLUSDT,0.18450841119809658,261
SUIUSDT,0.22375797422736832,248
DOGEUSDT,0.28920108397878863,251
