exec,lev,period,tick_bp,cagr,maxdd,worst_day,sharpe,liqs,trades,legged,maker_miss,per_year
maker,1,IS,1.0,0.3335948594648852,0.3467837781883054,-0.18121182893694654,0.9386503805738529,0,486,86,0,"{""2022"": 0.1792, ""2023"": 0.2115, ""2024"": 0.6607}"
maker,1,IS,5.0,0.20736630257533428,0.40050212009035013,-0.18121182893694698,0.684484493164301,0,486,211,5,"{""2022"": 0.0785, ""2023"": 0.0721, ""2024"": 0.5224}"
maker,1,IS,10.0,0.07827227588160102,0.47122666015087655,-0.18121182893694665,0.39015065754732736,0,485,370,21,"{""2022"": -0.0548, ""2023"": -0.0615, ""2024"": 0.4133}"
maker,3,IS,1.0,-1.0,1.0,-1.0,-0.501478625223899,1,63,8,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,3,IS,5.0,-1.0,1.0,-1.0,-0.6745211508926835,1,63,26,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,3,IS,10.0,-0.1093463303598825,0.9654940960384775,-0.5431782835676258,0.5465882710673079,0,485,370,21,"{""2022"": -0.3693, ""2023"": -0.3327, ""2024"": 0.6788}"
maker,5,IS,1.0,-1.0,1.0,-1.0,0.5092197559904744,1,63,8,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,5,IS,5.0,-1.0,1.0,-1.0,0.3329426570079807,1,63,26,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,5,IS,10.0,-1.0,1.0,-1.0,0.17074225828168899,1,62,36,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,10,IS,1.0,-1.0,1.0,-1.0,-1.957000120886056,1,8,3,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,10,IS,5.0,-1.0,1.0,-1.0,-2.362128317321498,1,8,6,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,10,IS,10.0,-1.0,1.0,-1.0,-2.584076276983897,1,8,7,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,15,IS,1.0,-1.0,1.0,-1.0,-10.202087708127854,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,15,IS,5.0,-1.0,1.0,-1.0,-10.360591316708804,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,15,IS,10.0,-1.0,1.0,-1.0,-10.360591316708804,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,20,IS,1.0,-1.0,1.0,-1.0,-10.335058211175316,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,20,IS,5.0,-1.0,1.0,-1.0,-10.511665989557827,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,20,IS,10.0,-1.0,1.0,-1.0,-10.511665989557827,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,1,IS,1.0,0.16216319318052874,0.4137839809232383,-0.1818349446431199,0.5858007041358734,0,486,0,0,"{""2022"": 0.0369, ""2023"": 0.0528, ""2024"": 0.438}"
taker,3,IS,1.0,-1.0,1.0,-1.0,-0.7240012654986065,1,63,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,5,IS,1.0,-1.0,1.0,-1.0,0.2922111306960904,1,63,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,10,IS,1.0,-1.0,1.0,-1.0,-2.213753514759725,1,8,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,15,IS,1.0,-1.0,1.0,-1.0,-10.381622292452125,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,20,IS,1.0,-1.0,1.0,-1.0,-10.551396403124858,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,1,OOS,1.0,0.10145405116854467,0.708983755000544,-0.14000359353945946,0.47525534614652426,0,276,39,0,"{""2025"": 0.3549, ""2026"": -0.1332}"
maker,1,OOS,5.0,0.0005941064953607356,0.7193447008956537,-0.14000359353945957,0.15382560460292208,0,275,130,2,"{""2025"": 0.229, ""2026"": -0.1855}"
maker,1,OOS,10.0,-0.07746966093891328,0.7226969485397658,-0.14000359353945946,-0.12365363121258646,0,275,218,13,"{""2025"": 0.1242, ""2026"": -0.2222}"
maker,3,OOS,1.0,-1.0,1.0,-1.0,-0.40275392357498013,1,124,20,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,3,OOS,5.0,-1.0,1.0,-1.0,-0.6227553977211628,1,123,60,1,"{""2025"": -1.0, ""2026"": -1.0}"
maker,3,OOS,10.0,-1.0,1.0,-1.0,-0.7472323942020099,1,123,93,2,"{""2025"": -1.0, ""2026"": -1.0}"
maker,5,OOS,1.0,-1.0,1.0,-1.0,-0.19030107066729238,1,36,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,5,OOS,5.0,-1.0,1.0,-1.0,-0.2762995823777998,1,36,12,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,5,OOS,10.0,-1.0,1.0,-1.0,-0.3492883221409677,1,36,23,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,10,OOS,1.0,-1.0,1.0,-1.0,-3.305734365938016,1,6,2,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,10,OOS,5.0,-1.0,1.0,-1.0,-3.384208745846036,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,10,OOS,10.0,-1.0,1.0,-1.0,-3.384208745846036,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,15,OOS,1.0,-1.0,1.0,-1.0,-3.1866627784068364,1,6,2,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,15,OOS,5.0,-1.0,1.0,-1.0,-3.300801218853741,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
