exec,lev,period,tick_bp,cagr,cagr_reported,maxdd,worst_day,sharpe,liqs,trades,legged,maker_miss,per_year
maker,1,IS,1.0,0.32654886999779387,0.3265488699977938,0.3467837781883055,-0.18121182893694698,0.9251252674114269,0,486,86,0,"{""2022"": 0.1733, ""2023"": 0.2043, ""2024"": 0.6523}"
maker,1,IS,5.0,0.20099074497689262,,0.40505325303900197,-0.1812118289369471,0.6707818037813019,0,486,211,5,"{""2022"": 0.0732, ""2023"": 0.0657, ""2024"": 0.5147}"
maker,1,IS,10.0,0.07256651338079156,,0.4752583414903071,-0.18121182893694687,0.3761994178462935,0,485,370,21,"{""2022"": -0.0594, ""2023"": -0.0671, ""2024"": 0.4062}"
maker,3,IS,1.0,-1.0,-1.0,1.0,-1.0,-0.5059129378739164,1,63,8,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,3,IS,5.0,-1.0,,1.0,-1.0,-0.678977241375566,1,63,26,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,3,IS,10.0,-0.12466811659692467,,0.9656094319648256,-0.5431782835676258,0.532450676024216,0,485,370,21,"{""2022"": -0.3785, ""2023"": -0.3456, ""2024"": 0.6488}"
maker,5,IS,1.0,-1.0,-1.0,1.0,-1.0,0.5044011105608232,1,63,8,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,5,IS,5.0,-1.0,,1.0,-1.0,0.32810597722641627,1,63,26,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,5,IS,10.0,-1.0,,1.0,-1.0,0.16594038622298848,1,62,36,2,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,10,IS,1.0,-1.0,-1.0,1.0,-1.0,-1.957000120886056,1,8,3,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,10,IS,5.0,-1.0,,1.0,-1.0,-2.362128317321498,1,8,6,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,10,IS,10.0,-1.0,,1.0,-1.0,-2.584076276983897,1,8,7,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,15,IS,1.0,-1.0,-1.0,1.0,-1.0,-10.202087708127854,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,15,IS,5.0,-1.0,,1.0,-1.0,-10.360591316708804,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,15,IS,10.0,-1.0,,1.0,-1.0,-10.360591316708804,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,20,IS,1.0,-1.0,-1.0,1.0,-1.0,-10.335058211175316,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,20,IS,5.0,-1.0,,1.0,-1.0,-10.511665989557827,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,20,IS,10.0,-1.0,,1.0,-1.0,-10.511665989557827,1,2,1,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,1,IS,1.0,0.15600596558466506,0.156005965584665,0.4182462293370586,-0.18183494464311978,0.5719693520522524,0,486,0,0,"{""2022"": 0.0317, ""2023"": 0.0466, ""2024"": 0.4308}"
taker,3,IS,1.0,-1.0,-1.0,1.0,-1.0,-0.7284598081328134,1,63,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,5,IS,1.0,-1.0,-1.0,1.0,-1.0,0.2873927848089428,1,63,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,10,IS,1.0,-1.0,-1.0,1.0,-1.0,-2.213753514759725,1,8,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,15,IS,1.0,-1.0,-1.0,1.0,-1.0,-10.381622292452125,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
taker,20,IS,1.0,-1.0,-1.0,1.0,-1.0,-10.551396403124858,1,2,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
maker,1,OOS,1.0,0.1003015492214312,0.1003015492214312,0.7089837550005441,-0.14000359353945946,0.47175304783596234,0,276,39,0,"{""2025"": 0.3526, ""2026"": -0.1332}"
maker,1,OOS,5.0,-0.00045339722077375466,,0.7193447008956537,-0.14000359353945957,0.15031397572775343,0,275,130,2,"{""2025"": 0.2268, ""2026"": -0.1855}"
maker,1,OOS,10.0,-0.07843544112104217,,0.7226969485397661,-0.14000359353945946,-0.1272028346536111,0,275,218,13,"{""2025"": 0.1223, ""2026"": -0.2222}"
maker,3,OOS,1.0,-1.0,-1.0,1.0,-1.0,-0.40711746438125573,1,124,20,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,3,OOS,5.0,-1.0,,1.0,-1.0,-0.6271332874469389,1,123,60,1,"{""2025"": -1.0, ""2026"": -1.0}"
maker,3,OOS,10.0,-1.0,,1.0,-1.0,-0.7516087588393843,1,123,93,2,"{""2025"": -1.0, ""2026"": -1.0}"
maker,5,OOS,1.0,-1.0,-1.0,1.0,-1.0,-0.19030107066729238,1,36,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,5,OOS,5.0,-1.0,,1.0,-1.0,-0.2762995823777998,1,36,12,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,5,OOS,10.0,-1.0,,1.0,-1.0,-0.3492883221409677,1,36,23,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,10,OOS,1.0,-1.0,-1.0,1.0,-1.0,-3.305734365938016,1,6,2,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,10,OOS,5.0,-1.0,,1.0,-1.0,-3.384208745846036,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,10,OOS,10.0,-1.0,,1.0,-1.0,-3.384208745846036,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,15,OOS,1.0,-1.0,-1.0,1.0,-1.0,-3.1866627784068364,1,6,2,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,15,OOS,5.0,-1.0,,1.0,-1.0,-3.300801218853741,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,15,OOS,10.0,-1.0,,1.0,-1.0,-3.300801218853741,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,20,OOS,1.0,-1.0,-1.0,1.0,-1.0,-2.2736570097428173,1,6,2,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,20,OOS,5.0,-1.0,,1.0,-1.0,-2.4220909715054586,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
maker,20,OOS,10.0,-1.0,,1.0,-1.0,-2.4220909715054586,1,6,4,0,"{""2025"": -1.0, ""2026"": -1.0}"
taker,1,OOS,1.0,-0.06543172631141447,-0.0654317263114144,0.7336078178668237,-0.14279200685400983,-0.07886786413774609,0,276,0,0,"{""2025"": 0.1432, ""2026"": -0.2184}"
taker,3,OOS,1.0,-1.0,-1.0,1.0,-1.0,-0.6834221547352607,1,124,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
taker,5,OOS,1.0,-1.0,-1.0,1.0,-1.0,-0.3045523959186596,1,36,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
taker,10,OOS,1.0,-1.0,-1.0,1.0,-1.0,-3.417556457027997,1,6,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
