when,a,b,beta
2025-04-25 15:00:00,DOTUSDT,NEIROUSDT,0.388269970014406
2025-04-25 15:00:00,TRUMPUSDT,AAVEUSDT,1.216334463616891
2025-04-25 15:00:00,SUIUSDT,DOGEUSDT,0.8718153714171186
2025-02-03 01:00:00,DOTUSDT,1000SHIBUSDT,1.089315337693484
2025-02-03 01:00:00,BNBUSDT,ETHUSDT,0.2918192891414593
2025-01-17 05:00:00,BNBUSDT,TRXUSDT,0.3191482724555224
2025-01-17 05:00:00,LINKUSDT,ONDOUSDT,0.8212582554914124
2025-01-16 13:00:00,BNBUSDT,TRXUSDT,0.3191482724555224
2025-01-16 13:00:00,LINKUSDT,ONDOUSDT,0.8212582554914124
2025-07-14 10:00:00,SUIUSDT,TRUMPUSDT,0.8374504590882206
2025-04-25 07:00:00,DOTUSDT,NEIROUSDT,0.388269970014406
2025-04-25 07:00:00,TRUMPUSDT,AAVEUSDT,1.216334463616891
2025-03-04 17:00:00,SUIUSDT,1000PEPEUSDT,0.560723244944034
2025-03-04 17:00:00,ADAUSDT,DOGEUSDT,0.808559491151952
2025-02-03 02:00:00,SUIUSDT,XLMUSDT,0.5640511054775805
2025-02-03 02:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583
2025-02-03 02:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426
2025-02-03 02:00:00,BNBUSDT,ADAUSDT,0.3702367178886614
2025-02-03 02:00:00,DOTUSDT,1000SHIBUSDT,0.8756834066138105
2025-02-03 01:00:00,HBARUSDT,BTCUSDT,1.472607515677724
2025-02-03 01:00:00,SUIUSDT,XLMUSDT,0.5640511054775805
2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583
2025-02-03 01:00:00,BNBUSDT,ADAUSDT,0.3702367178886614
2025-11-08 11:00:00,LINKUSDT,FARTCOINUSDT,0.3596750905119206
2025-11-08 11:00:00,DOTUSDT,SUIUSDT,0.9432313876004768
2025-11-08 11:00:00,NEARUSDT,AVAXUSDT,0.5896289106644094
2025-11-08 11:00:00,ADAUSDT,PENGUUSDT,0.6588403495030575
2025-11-07 16:00:00,LTCUSDT,ETHUSDT,1.3530063130009882
2025-11-07 16:00:00,DOTUSDT,SUIUSDT,0.9432313876004768
2025-11-07 16:00:00,NEARUSDT,AVAXUSDT,0.5896289106644094
2025-02-03 01:00:00,1000PEPEUSDT,PNUTUSDT,0.3506011568200128
2025-02-03 02:00:00,HBARUSDT,XRPUSDT,0.4869660479075008
2025-02-03 02:00:00,BTCUSDT,SOLUSDT,0.3005008791174108
2025-02-03 02:00:00,1000PEPEUSDT,PNUTUSDT,0.3506011568200128
2025-02-03 01:00:00,ETHUSDT,AVAXUSDT,0.5366652575758201
2025-02-03 01:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426
