coin,cagr_oos,trades,liqs
1000PEPEUSDT,0.05752418662553471,354,0
LTCUSDT,0.06727015658799584,352,0
FILUSDT,0.10547340465796329,363,0
DOTUSDT,0.10621364202774863,364,0
1000BONKUSDT,0.18372300332123914,377,0
ADAUSDT,0.18966208689062114,340,0
CRVUSDT,0.18976688854154022,389,0
XRPUSDT,0.20171300132778636,366,0
HYPEUSDT,0.23077778380187386,387,0
NEIROUSDT,0.254537252929393,383,0
AAVEUSDT,0.2644881875326477,372,0
XLMUSDT,0.270109817298809,389,0
PUMPUSDT,0.2722207163758448,384,0
BNBUSDT,0.2787482349961399,359,0
WLDUSDT,0.2843818179214672,380,0
LINKUSDT,0.2875593449270306,339,0
TAOUSDT,0.2921533720577012,389,0
OPUSDT,0.2923451872444405,391,0
TRXUSDT,0.29757465015576257,390,0
FARTCOINUSDT,0.30188257068250723,367,0
BTCUSDT,0.31087838369085996,359,0
BCHUSDT,0.32368533195682647,384,0
1000SHIBUSDT,0.32744062991048106,387,0
DOGEUSDT,0.3422228281305335,360,0
SOLUSDT,0.38097807394133554,369,0
MOODENGUSDT,0.3848106942419509,384,0
UNIUSDT,0.3853016351221674,385,0
HBARUSDT,0.3889751929760208,389,0
VIRTUALUSDT,0.38940575379769515,392,0
TRUMPUSDT,0.4038110964422237,382,0
ETHUSDT,0.4143909072240439,368,0
ONDOUSDT,0.43064861352794526,385,0
AVAXUSDT,0.44102524929309284,338,0
ARBUSDT,0.44908127099705775,392,0
NEARUSDT,0.44996277070238366,372,0
PENGUUSDT,0.5173300365572675,382,0
ZECUSDT,0.5607814513412104,387,0
WIFUSDT,0.5933401995172758,372,0
SUIUSDT,0.8459940637121881,356,0
