coin,cagr_oos,trades,liqs
LTCUSDT,0.026650242582202166,352,0
1000PEPEUSDT,0.02789264598478658,354,0
FILUSDT,0.03225913734442587,363,0
DOTUSDT,0.03355672554426681,364,0
ADAUSDT,0.03884224522599866,340,0
1000BONKUSDT,0.0394307040389108,377,0
CRVUSDT,0.04052175153686344,389,0
XRPUSDT,0.040774285389420406,366,0
HYPEUSDT,0.04422623237731016,387,0
NEIROUSDT,0.0454255794165237,383,0
AAVEUSDT,0.0460562928460031,372,0
LINKUSDT,0.04677922728422712,339,0
PUMPUSDT,0.04678275950179733,384,0
FARTCOINUSDT,0.04748609204762366,367,0
DOGEUSDT,0.047554855395667284,360,0
XLMUSDT,0.047600625519802264,389,0
BNBUSDT,0.04808882361770195,359,0
WLDUSDT,0.04828325223531338,380,0
OPUSDT,0.04923056153915506,391,0
TAOUSDT,0.049283259426546655,389,0
TRXUSDT,0.049928470276488834,390,0
BTCUSDT,0.05001620034717691,359,0
BCHUSDT,0.05240001047115128,384,0
1000SHIBUSDT,0.05355100499770904,387,0
AVAXUSDT,0.05472462293897373,338,0
TRUMPUSDT,0.054888896521817276,382,0
MOODENGUSDT,0.05547318148649838,384,0
UNIUSDT,0.056306754403184334,385,0
SOLUSDT,0.056356858449994496,369,0
HBARUSDT,0.05651351749516054,389,0
VIRTUALUSDT,0.057205242974400106,392,0
ETHUSDT,0.05879794857897136,368,0
NEARUSDT,0.05999625542367526,372,0
ONDOUSDT,0.060415190601389224,385,0
ARBUSDT,0.06112983998710142,392,0
PENGUUSDT,0.06532714064449618,382,0
ZECUSDT,0.06794304722779176,387,0
WIFUSDT,0.06953810815355643,372,0
SUIUSDT,0.08143253283600305,356,0
