pick,exec,lev,when,a,b,beta,dir
pick1_3,maker,5,2025-04-25 15:00:00,DOTUSDT,NEIROUSDT,0.388269970014406,-1
pick1_3,maker,5,2025-04-25 15:00:00,TRUMPUSDT,AAVEUSDT,1.2163344636168907,-1
pick1_3,maker,5,2025-04-25 15:00:00,SUIUSDT,DOGEUSDT,0.8718153714171186,-1
pick1_3,maker,10,2025-02-03 01:00:00,DOTUSDT,1000SHIBUSDT,1.089315337693484,-1
pick1_3,maker,10,2025-02-03 01:00:00,BNBUSDT,ETHUSDT,0.2918192891414593,1
pick1_3,maker,15,2025-01-17 05:00:00,BNBUSDT,TRXUSDT,0.3191482724555224,-1
pick1_3,maker,15,2025-01-17 05:00:00,LINKUSDT,ONDOUSDT,0.8212582554914124,-1
pick1_3,maker,20,2025-01-16 13:00:00,BNBUSDT,TRXUSDT,0.3191482724555224,-1
pick1_3,maker,20,2025-01-16 13:00:00,LINKUSDT,ONDOUSDT,0.8212582554914124,-1
pick1_3,taker,5,2025-04-25 15:00:00,DOTUSDT,NEIROUSDT,0.388269970014406,-1
pick1_3,taker,5,2025-04-25 15:00:00,TRUMPUSDT,AAVEUSDT,1.2163344636168907,-1
pick1_3,taker,5,2025-04-25 15:00:00,SUIUSDT,DOGEUSDT,0.8718153714171186,-1
pick1_3,taker,10,2025-02-03 01:00:00,DOTUSDT,1000SHIBUSDT,1.089315337693484,-1
pick1_3,taker,10,2025-02-03 01:00:00,BNBUSDT,ETHUSDT,0.2918192891414593,1
pick1_3,taker,15,2025-01-17 05:00:00,BNBUSDT,TRXUSDT,0.3191482724555224,-1
pick1_3,taker,15,2025-01-17 05:00:00,LINKUSDT,ONDOUSDT,0.8212582554914124,-1
pick1_3,taker,20,2025-01-16 13:00:00,BNBUSDT,TRXUSDT,0.3191482724555224,-1
pick1_3,taker,20,2025-01-16 13:00:00,LINKUSDT,ONDOUSDT,0.8212582554914124,-1
pick5,maker,10,2025-07-14 10:00:00,SUIUSDT,TRUMPUSDT,0.8374504590882206,-1
pick5,maker,15,2025-04-25 15:00:00,DOTUSDT,NEIROUSDT,0.388269970014406,-1
pick5,maker,15,2025-04-25 15:00:00,TRUMPUSDT,AAVEUSDT,1.2163344636168907,-1
pick5,maker,20,2025-04-25 07:00:00,DOTUSDT,NEIROUSDT,0.388269970014406,-1
pick5,maker,20,2025-04-25 07:00:00,TRUMPUSDT,AAVEUSDT,1.2163344636168907,-1
pick5,taker,10,2025-07-14 10:00:00,SUIUSDT,TRUMPUSDT,0.8374504590882206,-1
pick5,taker,15,2025-04-25 15:00:00,DOTUSDT,NEIROUSDT,0.388269970014406,-1
pick5,taker,15,2025-04-25 15:00:00,TRUMPUSDT,AAVEUSDT,1.2163344636168907,-1
pick5,taker,20,2025-03-04 17:00:00,SUIUSDT,1000PEPEUSDT,0.560723244944034,1
pick5,taker,20,2025-03-04 17:00:00,ADAUSDT,DOGEUSDT,0.808559491151952,-1
pick10,maker,15,2025-02-03 02:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
