sym,okx,tickSz,px_binance,tick_bp
NEARUSDT,NEAR,0.001,2.117000102996826,4.723665334661059
PUMPUSDT,PUMP,1e-06,0.002795000094920397,3.5778174098004123
TAOUSDT,TAO,0.1,299.54498291015625,3.3383967585927956
DASHUSDT,DASH,0.01,34.97999954223633,2.858776481093311
FARTCOINUSDT,FARTCOIN,0.0001,0.3639500141143799,2.74763006242315
BCHUSDT,BCH,0.1,450.5299987792969,2.2196080232381474
WIFUSDT,WIF,0.0001,0.48785001039505005,2.049810348861574
ONDOUSDT,ONDO,0.0001,0.5539000034332275,1.805380021306589
ADAUSDT,ADA,0.0001,0.562250018119812,1.7785681952382015
UNIUSDT,UNI,0.001,5.870999813079834,1.7032873988040815
TRUMPUSDT,TRUMP,0.001,6.269000053405762,1.5951507281559676
1000PEPEUSDT,PEPE,1e-09,0.006492150016129017,1.5403217693916693
BNBUSDT,BNB,0.1,656.8599853515625,1.5223944558972995
CRVUSDT,CRV,0.0001,0.6729999780654907,1.4858841494682613
WLDUSDT,WLD,0.0001,0.7319499850273132,1.3662135671232842
LTCUSDT,LTC,0.01,83.9800033569336,1.1907596570933425
ZENUSDT,ZEN,0.001,8.487500190734863,1.178203213581805
PENGUUSDT,PENGU,1e-06,0.009448999539017677,1.0583131006311388
1000SHIBUSDT,SHIB,1e-09,0.009932000190019608,1.0068465373217295
XPLUSDT,XPL,1e-05,0.10909999907016754,0.9165902919548616
ETHFIUSDT,ETHFI,0.0001,1.0961499214172363,0.9122839681519824
VIRTUALUSDT,VIRTUAL,0.0001,1.1466500759124756,0.8721056414741218
LINKUSDT,LINK,0.001,13.354999542236328,0.7487832529214354
SOLUSDT,SOL,0.01,136.3699951171875,0.7332991389643044
1000BONKUSDT,BONK,1e-09,0.013868000358343124,0.7210844924721901
MOODENGUSDT,MOODENG,1e-05,0.14570000767707825,0.6863417620514798
DOGEUSDT,DOGE,1e-05,0.15996500849723816,0.625136715456909
FILUSDT,FIL,0.0001,1.6519999504089355,0.6053268946845067
AVAXUSDT,AVAX,0.001,17.243999481201172,0.5799118708453723
AAVEUSDT,AAVE,0.01,174.73001098632812,0.5723115304320823
SUIUSDT,SUI,0.0001,2.103149890899658,0.4754772849652827
HBARUSDT,HBAR,1e-05,0.2103399932384491,0.47542076264420313
XRPUSDT,XRP,0.0001,2.136399984359741,0.46807714253924715
PNUTUSDT,PNUT,1e-05,0.2226399928331375,0.44915560195399046
TRXUSDT,TRX,1e-05,0.23773500323295593,0.4206364171876291
XLMUSDT,XLM,1e-05,0.24901500344276428,0.40158222844988073
ARBUSDT,ARB,1e-05,0.28130000829696655,0.3554923464290505
DOTUSDT,DOT,0.0001,2.9815001487731934,0.3354016267319232
ZECUSDT,ZEC,0.01,335.27001953125,0.2982670509573528
SANDUSDT,SAND,1e-05,0.3838300108909607,0.26053199896453183
NEIROUSDT,NEIRO,1e-08,0.0003865000035148114,0.2587322098075164
HYPEUSDT,HYPE,0.001,41.28350067138672,0.24222752037428175
OPUSDT,OP,1e-05,0.7279999852180481,0.13736264015176916
ETHUSDT,ETH,0.01,2496.794921875,0.040051347078559306
BTCUSDT,BTC,0.1,89659.296875,0.011153333060309033
