exec,lat,margin,L,n_cfg,n_feasible_IS,n_IS_pos,n_OOS_feasible,n_OOS_pos,n_both_pos,OOS_cagr_median,OOS_cagr_q90,OOS_cagr_max,n_OOS_liq,IS_cagr_median
maker,0,mc,1,576,576,49,576,80,36,-0.030716,0.0013193,0.0066579,0,-0.11751
maker,0,mc,3,576,576,46,576,80,33,-0.091154,0.003912,0.019889,0,-0.34168
maker,0,mc,5,576,576,43,576,80,31,-0.1502,0.006465,0.033021,0,-0.62777
maker,0,mc,10,576,0,0,0,0,0,,,,0,
maker,0,mc,15,576,0,0,0,0,0,,,,0,
maker,0,mc,20,576,0,0,0,0,0,,,,0,
maker,0,pm,1,576,576,49,576,80,36,-0.030716,0.0013193,0.0066579,0,-0.11751
maker,0,pm,3,576,576,46,576,80,33,-0.091154,0.003912,0.019889,0,-0.34168
maker,0,pm,5,576,576,43,576,80,31,-0.1502,0.006465,0.033021,0,-0.53219
maker,0,pm,10,576,576,41,576,76,29,-0.2904,0.012675,0.065417,6,-0.99212
maker,0,pm,15,576,576,41,576,78,29,-0.44036,0.022796,0.097183,66,-0.99867
maker,0,pm,20,576,576,41,576,72,29,-0.60358,0.0298,0.12831,183,-0.999
maker,0,sep,1,576,576,48,576,80,35,-0.030729,0.0013153,0.0066552,9,-0.11776
maker,0,sep,3,576,576,48,576,102,31,-0.084599,0.015762,0.040011,215,-0.30989
maker,0,sep,5,576,576,30,576,111,13,-0.13084,0.026606,0.13457,378,-0.51902
maker,0,sep,10,576,0,0,0,0,0,,,,0,
maker,0,sep,15,576,0,0,0,0,0,,,,0,
maker,0,sep,20,576,0,0,0,0,0,,,,0,
taker,0,mc,1,576,576,5,576,48,5,-0.078104,-0.0024251,0.0062586,0,-0.18043
taker,0,mc,3,576,576,4,576,48,4,-0.21935,-0.0078452,0.018689,0,-0.46362
taker,0,mc,5,576,576,3,576,48,3,-0.28387,-0.014008,0.031021,0,-0.7486
taker,0,mc,10,576,0,0,0,0,0,,,,0,
taker,0,mc,15,576,0,0,0,0,0,,,,0,
taker,0,mc,20,576,0,0,0,0,0,,,,0,
taker,0,pm,1,576,576,5,576,48,5,-0.078104,-0.0024251,0.0062586,0,-0.18043
taker,0,pm,3,576,576,4,576,48,4,-0.21935,-0.0078452,0.018689,0,-0.46362
taker,0,pm,5,576,576,3,576,48,3,-0.34236,-0.014008,0.031021,9,-0.69729
taker,0,pm,10,576,576,3,576,54,3,-0.48563,-0.025244,0.061436,0,-0.99888
taker,0,pm,15,576,576,1,576,54,1,-0.72055,-0.043491,0.091291,60,-0.99901
taker,0,pm,20,576,576,0,576,60,0,-0.83212,0.00032106,0.12062,108,-0.99901
taker,0,sep,1,576,576,5,576,48,5,-0.078118,-0.0024295,0.0062559,9,-0.18078
taker,0,sep,3,576,576,4,576,48,4,-0.19702,-0.0078574,0.018687,215,-0.45072
taker,0,sep,5,576,576,3,576,42,0,-0.31468,-0.014349,0.031019,234,-0.66796
taker,0,sep,10,576,0,0,0,0,0,,,,0,
taker,0,sep,15,576,0,0,0,0,0,,,,0,
taker,0,sep,20,576,0,0,0,0,0,,,,0,
taker,1,mc,1,576,576,0,576,0,0,-0.08741,-0.01596,-0.0030069,0,-0.21715
taker,1,mc,3,576,576,0,576,0,0,-0.24535,-0.047627,-0.0090458,0,-0.53786
taker,1,mc,5,576,576,0,576,0,0,-0.37451,-0.078932,-0.015109,0,-0.8293
taker,1,mc,10,576,0,0,0,0,0,,,,0,
taker,1,mc,15,576,0,0,0,0,0,,,,0,
taker,1,mc,20,576,0,0,0,0,0,,,,0,
taker,1,pm,1,576,576,0,576,0,0,-0.08741,-0.01596,-0.0030069,0,-0.21715
taker,1,pm,3,576,576,0,576,0,0,-0.24535,-0.047627,-0.0090458,0,-0.53786
taker,1,pm,5,576,576,0,576,0,0,-0.38007,-0.078932,-0.015109,0,-0.75847
taker,1,pm,10,576,576,0,576,0,0,-0.60732,-0.15561,-0.030378,6,-0.999
taker,1,pm,15,576,576,0,576,0,0,-0.86543,-0.23,-0.045808,174,-0.99901
taker,1,pm,20,576,576,0,576,0,0,-0.89157,-0.22233,-0.061405,141,-0.99902
taker,1,sep,1,576,576,0,576,0,0,-0.087422,-0.015964,-0.0030086,9,-0.21722
taker,1,sep,3,576,576,0,576,0,0,-0.3825,-0.047631,-0.0090475,215,-0.51626
taker,1,sep,5,576,576,0,576,0,0,-0.35115,-0.065819,-0.015111,240,-0.73634
taker,1,sep,10,576,0,0,0,0,0,,,,0,
taker,1,sep,15,576,0,0,0,0,0,,,,0,
taker,1,sep,20,576,0,0,0,0,0,,,,0,
