exec,lat,margin,L,n_cfg,n_feasible_IS,n_IS_pos,n_OOS_feasible,n_OOS_pos,n_both_pos,OOS_cagr_median,OOS_cagr_q90,OOS_cagr_max,n_OOS_liq,IS_cagr_median
maker,0,mc,1,576,576,113,576,249,99,-0.0041618,0.011104,0.024789,0,-0.078381
maker,0,mc,3,576,576,111,576,247,97,-0.012833,0.033409,0.064496,0,-0.22835
maker,0,mc,5,576,576,102,576,245,92,-0.021918,0.055853,0.092944,0,-0.5684
maker,0,mc,10,576,0,0,0,0,0,,,,0,
maker,0,mc,15,576,0,0,0,0,0,,,,0,
maker,0,mc,20,576,0,0,0,0,0,,,,0,
maker,0,pm,1,576,576,113,576,249,99,-0.0041618,0.011104,0.024789,0,-0.078381
maker,0,pm,3,576,576,111,576,247,97,-0.012833,0.033409,0.064496,0,-0.22835
maker,0,pm,5,576,576,106,576,245,96,-0.021918,0.055853,0.092944,0,-0.39289
maker,0,pm,10,576,576,99,576,245,89,-0.046414,0.11256,0.1865,0,-0.98019
maker,0,pm,15,576,576,99,576,213,89,-0.18392,0.13535,0.28596,66,-0.99587
maker,0,pm,20,576,576,98,576,176,88,-0.34513,0.14254,0.37227,168,-0.99884
maker,0,sep,1,576,576,112,576,249,98,-0.0041708,0.011102,0.024776,9,-0.079186
maker,0,sep,3,576,576,109,576,236,93,-0.02943,0.038219,0.10064,215,-0.22138
maker,0,sep,5,576,576,100,576,225,65,-0.051201,0.14882,0.29294,379,-0.39703
maker,0,sep,10,576,0,0,0,0,0,,,,0,
maker,0,sep,15,576,0,0,0,0,0,,,,0,
maker,0,sep,20,576,0,0,0,0,0,,,,0,
maker_upper,0,mc,1,576,576,248,576,510,245,0.021641,0.055805,0.098932,0,-0.014198
maker_upper,0,mc,3,576,576,234,576,510,231,0.064117,0.17393,0.3092,0,-0.059364
maker_upper,0,mc,5,576,576,196,576,509,193,0.10738,0.30032,0.53373,0,-0.39405
maker_upper,0,mc,10,576,0,0,0,0,0,,,,0,
maker_upper,0,mc,15,576,0,0,0,0,0,,,,0,
maker_upper,0,mc,20,576,0,0,0,0,0,,,,0,
maker_upper,0,pm,1,576,576,248,576,510,245,0.021641,0.055805,0.098932,0,-0.014198
maker_upper,0,pm,3,576,576,234,576,510,231,0.064117,0.17393,0.3092,0,-0.059364
maker_upper,0,pm,5,576,576,220,576,509,217,0.10738,0.30032,0.53373,0,-0.14465
maker_upper,0,pm,10,576,576,195,576,503,193,0.21637,0.65943,1.2533,0,-0.90679
maker_upper,0,pm,15,576,576,192,576,437,191,0.29073,1.033,2.2384,81,-0.96096
maker_upper,0,pm,20,576,576,187,576,411,186,0.29298,1.4432,3.5491,108,-0.9839
maker_upper,0,sep,1,576,576,247,576,502,244,0.021308,0.055643,0.098917,9,-0.014577
maker_upper,0,sep,3,576,576,259,576,445,219,0.057191,0.17392,0.38963,215,-0.031145
maker_upper,0,sep,5,576,576,207,576,447,184,0.096019,0.46118,0.95763,376,-0.16398
maker_upper,0,sep,10,576,0,0,0,0,0,,,,0,
maker_upper,0,sep,15,576,0,0,0,0,0,,,,0,
maker_upper,0,sep,20,576,0,0,0,0,0,,,,0,
taker,0,mc,1,576,576,73,576,150,69,-0.034007,0.011335,0.027062,0,-0.11884
taker,0,mc,3,576,576,71,576,150,67,-0.099373,0.03327,0.08209,0,-0.34443
taker,0,mc,5,576,576,69,576,150,65,-0.16825,0.054251,0.13834,0,-0.65852
taker,0,mc,10,576,0,0,0,0,0,,,,0,
taker,0,mc,15,576,0,0,0,0,0,,,,0,
taker,0,mc,20,576,0,0,0,0,0,,,,0,
taker,0,pm,1,576,576,73,576,150,69,-0.034007,0.011335,0.027062,0,-0.11884
taker,0,pm,3,576,576,71,576,150,67,-0.099373,0.03327,0.08209,0,-0.34443
taker,0,pm,5,576,576,69,576,150,65,-0.16825,0.054251,0.13834,0,-0.55117
taker,0,pm,10,576,576,68,576,150,65,-0.31679,0.10247,0.28429,9,-0.99495
taker,0,pm,15,576,576,67,576,156,65,-0.42251,0.12479,0.43784,60,-0.999
taker,0,pm,20,576,576,66,576,138,65,-0.62397,0.16148,0.59898,159,-0.99901
taker,0,sep,1,576,576,73,576,150,69,-0.034021,0.011329,0.02706,9,-0.11908
taker,0,sep,3,576,576,73,576,175,65,-0.086758,0.035088,0.083096,215,-0.31171
taker,0,sep,5,576,576,69,576,162,65,-0.16126,0.058458,0.21443,312,-0.5077
taker,0,sep,10,576,0,0,0,0,0,,,,0,
taker,0,sep,15,576,0,0,0,0,0,,,,0,
taker,0,sep,20,576,0,0,0,0,0,,,,0,
taker,1,mc,1,576,576,10,576,33,5,-0.041144,-0.0045422,0.0054399,0,-0.15999
taker,1,mc,3,576,576,10,576,32,5,-0.11992,-0.014692,0.013498,0,-0.4207
taker,1,mc,5,576,576,10,576,30,5,-0.19368,-0.02465,0.018092,0,-0.74431
taker,1,mc,10,576,0,0,0,0,0,,,,0,
taker,1,mc,15,576,0,0,0,0,0,,,,0,
taker,1,mc,20,576,0,0,0,0,0,,,,0,
taker,1,pm,1,576,576,10,576,33,5,-0.041144,-0.0045422,0.0054399,0,-0.15999
taker,1,pm,3,576,576,10,576,32,5,-0.11992,-0.014692,0.013498,0,-0.4207
taker,1,pm,5,576,576,10,576,30,5,-0.19368,-0.02465,0.018092,0,-0.64872
taker,1,pm,10,576,576,8,576,30,5,-0.36201,-0.049918,0.016142,6,-0.99785
taker,1,pm,15,576,576,5,576,24,5,-0.6163,-0.098566,0.012132,90,-0.999
taker,1,pm,20,576,576,5,576,24,5,-0.761,-0.1329,0.016154,174,-0.99901
taker,1,sep,1,576,576,10,576,33,5,-0.041148,-0.0045506,0.0054317,9,-0.16004
taker,1,sep,3,576,576,10,576,24,5,-0.25114,-0.019157,0.0025588,215,-0.4112
taker,1,sep,5,576,576,5,576,30,5,-0.35302,-0.024934,0.030709,324,-0.65474
taker,1,sep,10,576,0,0,0,0,0,,,,0,
taker,1,sep,15,576,0,0,0,0,0,,,,0,
taker,1,sep,20,576,0,0,0,0,0,,,,0,
