variant,seg,L,trades,cagr,maxdd,liqs,worst_day,sharpe,mean_net_bp,years
binance_1m_model_taker,IS,1,13,0.015749,-0.0074163,0,-0.0033558,1.5022,36.45,2022:+0.0078;2023:+0.0272;2024:+0.0124
binance_1m_model_taker,IS,3,13,0.047343,-0.022249,0,-0.010074,1.503,36.45,2022:+0.0235;2023:+0.0823;2024:+0.0371
binance_1m_model_taker,IS,5,13,0.079474,-0.037082,0,-0.016793,1.5031,36.45,2022:+0.0392;2023:+0.1397;2024:+0.0620
binance_1m_model_taker,IS,10,13,0.16216,-0.074163,0,-0.033589,1.5032,36.45,2022:+0.0787;2023:+0.2938;2024:+0.1247
binance_1m_model_taker,IS,15,13,0.24822,-0.11125,0,-0.050385,1.5033,36.45,2022:+0.1186;2023:+0.4638;2024:+0.1877
binance_1m_model_taker,IS,20,13,0.33766,-0.14833,0,-0.067181,1.5033,36.45,2022:+0.1587;2023:+0.6510;2024:+0.2511
binance_1m_model_taker,OOS,1,5,0.026988,-0.010895,0,0,1.2559,89.486,2025:+0.0318;2026:+0.0131
binance_1m_model_taker,OOS,3,5,0.081856,-0.032685,0,0,1.2554,89.486,2025:+0.0969;2026:+0.0392
binance_1m_model_taker,OOS,5,5,0.13793,-0.054476,0,0,1.2548,89.486,2025:+0.1639;2026:+0.0654
binance_1m_model_taker,OOS,10,5,0.28336,-0.10895,0,0,1.2534,89.486,2025:+0.3396;2026:+0.1308
binance_1m_model_taker,OOS,15,5,0.43629,-0.16343,0,0,1.2521,89.486,2025:+0.5274;2026:+0.1962
binance_1m_model_taker,OOS,20,5,0.59668,-0.2179,0,0,1.2508,89.486,2025:+0.7273;2026:+0.2615
binance_ticks_lat0.5s,IS,1,13,0.025608,-0.0074163,0,-0.002693,1.7667,58.854,2022:+0.0177;2023:+0.0421;2024:+0.0172
binance_ticks_lat0.5s,IS,3,13,0.077825,-0.022249,0,-0.0080859,1.7641,58.854,2022:+0.0538;2023:+0.1296;2024:+0.0519
binance_ticks_lat0.5s,IS,5,13,0.13181,-0.037082,0,-0.013479,1.7636,58.854,2022:+0.0905;2023:+0.2229;2024:+0.0872
binance_ticks_lat0.5s,IS,10,13,0.27473,-0.074163,0,-0.026961,1.7631,58.854,2022:+0.1853;2023:+0.4832;2024:+0.1782
