coin,day,msg
BTCUSDT,2022-01-05,max|dev|=45bp
BTCUSDT,2022-02-04,max|dev|=32bp
BTCUSDT,2022-01-24,max|dev|=40bp
BTCUSDT,2022-01-21,max|dev|=36bp
BTCUSDT,2022-05-05,max|dev|=40bp
BTCUSDT,2022-02-28,max|dev|=51bp
BTCUSDT,2022-02-24,max|dev|=17bp
BTCUSDT,2022-03-09,max|dev|=10bp
BTCUSDT,2022-05-09,max|dev|=37bp
BTCUSDT,2022-05-10,max|dev|=16bp
BTCUSDT,2022-05-30,max|dev|=37bp
BTCUSDT,2022-05-12,max|dev|=39bp
BTCUSDT,2022-05-11,max|dev|=73bp
BTCUSDT,2022-06-16,max|dev|=12bp
BTCUSDT,2022-06-15,max|dev|=29bp
BTCUSDT,2022-06-13,max|dev|=16bp
BTCUSDT,2022-06-14,max|dev|=43bp
BTCUSDT,2022-06-18,max|dev|=51bp
BTCUSDT,2022-07-08,max|dev|=19bp
BTCUSDT,2022-07-01,max|dev|=19bp
BTCUSDT,2022-06-19,max|dev|=19bp
BTCUSDT,2022-08-19,max|dev|=60bp
BTCUSDT,2022-07-27,max|dev|=12bp
BTCUSDT,2022-07-18,max|dev|=19bp
BTCUSDT,2022-07-19,max|dev|=20bp
BTCUSDT,2022-09-09,max|dev|=11bp
BTCUSDT,2022-10-13,max|dev|=52bp
BTCUSDT,2022-09-13,max|dev|=18bp
BTCUSDT,2022-11-08,max|dev|=51bp
BTCUSDT,2023-01-14,max|dev|=46bp
BTCUSDT,2022-11-10,max|dev|=45bp
BTCUSDT,2023-02-15,max|dev|=14bp
BTCUSDT,2022-11-09,max|dev|=66bp
BTCUSDT,2023-03-17,max|dev|=15bp
BTCUSDT,2023-03-13,max|dev|=44bp
BTCUSDT,2023-04-26,max|dev|=16bp
BTCUSDT,2023-03-14,max|dev|=56bp
BTCUSDT,2023-10-01,max|dev|=15bp
BTCUSDT,2023-08-17,max|dev|=125bp
BTCUSDT,2023-10-16,max|dev|=62bp
BTCUSDT,2023-11-15,max|dev|=25bp
BTCUSDT,2023-12-02,max|dev|=28bp
BTCUSDT,2023-10-23,max|dev|=69bp
BTCUSDT,2023-12-11,max|dev|=24bp
BTCUSDT,2024-01-03,max|dev|=21bp
BTCUSDT,2024-01-12,max|dev|=19bp
BTCUSDT,2024-01-09,max|dev|=31bp
BTCUSDT,2024-02-27,max|dev|=60bp
BTCUSDT,2024-03-08,max|dev|=38bp
BTCUSDT,2024-02-28,max|dev|=64bp
BTCUSDT,2024-03-04,max|dev|=25bp
BTCUSDT,2024-03-05,max|dev|=33bp
BTCUSDT,2024-04-12,max|dev|=13bp
BTCUSDT,2024-03-19,max|dev|=13bp
BTCUSDT,2024-03-20,max|dev|=13bp
BTCUSDT,2024-04-13,max|dev|=36bp
BTCUSDT,2024-08-08,max|dev|=25bp
BTCUSDT,2024-11-06,max|dev|=28bp
BTCUSDT,2024-11-10,max|dev|=62bp
BTCUSDT,2024-11-11,max|dev|=25bp
BTCUSDT,2024-08-05,max|dev|=45bp
BTCUSDT,2024-12-05,max|dev|=142bp
BTCUSDT,2025-01-20,max|dev|=32bp
BTCUSDT,2025-03-02,max|dev|=9bp
BTCUSDT,2025-02-03,max|dev|=19bp
BTCUSDT,2025-03-03,max|dev|=7bp
BTCUSDT,2025-04-09,max|dev|=10bp
BTCUSDT,2026-01-31,max|dev|=17bp
BTCUSDT,2025-10-10,max|dev|=32bp
BTCUSDT,2026-08-19,max|dev|=50bp
BTCUSDT,2026-03-04,max|dev|=10bp
ETHUSDT,2022-01-21,max|dev|=49bp
ETHUSDT,2022-01-24,max|dev|=144bp
ETHUSDT,2022-01-26,max|dev|=28bp
BTCUSDT,2026-02-05,max|dev|=11bp
BTCUSDT,2026-02-06,max|dev|=12bp
ETHUSDT,2022-02-28,max|dev|=30bp
ETHUSDT,2022-03-13,max|dev|=19bp
ETHUSDT,2022-02-24,max|dev|=28bp
ETHUSDT,2022-06-11,max|dev|=56bp
ETHUSDT,2022-05-11,max|dev|=49bp
ETHUSDT,2022-05-12,max|dev|=83bp
ETHUSDT,2022-06-13,max|dev|=79bp
ETHUSDT,2022-06-15,max|dev|=43bp
ETHUSDT,2022-06-14,max|dev|=20bp
ETHUSDT,2022-06-16,max|dev|=30bp
ETHUSDT,2022-07-16,max|dev|=59bp
ETHUSDT,2022-06-19,max|dev|=32bp
ETHUSDT,2022-06-18,max|dev|=39bp
ETHUSDT,2022-07-18,max|dev|=34bp
ETHUSDT,2022-08-10,max|dev|=14bp
ETHUSDT,2022-07-27,max|dev|=38bp
ETHUSDT,2022-08-19,max|dev|=22bp
ETHUSDT,2022-08-26,max|dev|=42bp
ETHUSDT,2022-10-13,max|dev|=85bp
ETHUSDT,2022-09-15,max|dev|=116bp
ETHUSDT,2022-09-21,max|dev|=72bp
ETHUSDT,2022-10-25,max|dev|=114bp
ETHUSDT,2023-01-14,max|dev|=124bp
ETHUSDT,2023-04-14,max|dev|=76bp
ETHUSDT,2022-11-08,max|dev|=41bp
ETHUSDT,2022-11-10,max|dev|=51bp
