coin,day,k_bp,lat,t,t_exit,side,dev_bp,b0_bp,hold_s,gross_bp,net_bp,fee_in_bp,worst_bp
BTCUSDT,2022-01-05,40,0.5,2022-01-05 19:45:15.999000+00:00,2022-01-05 19:47:17.999000+00:00,-1,-44.63,-33.6,122,32.2,2.148,14.98,3.215
BTCUSDT,2022-01-05,40,2,2022-01-05 19:45:15.999000+00:00,2022-01-05 19:47:17.999000+00:00,-1,-44.63,-28.27,122,26.67,-3.399,14.99,-2.117
BTCUSDT,2022-01-05,40,10,2022-01-05 19:45:15.999000+00:00,2022-01-05 19:47:17.999000+00:00,-1,-44.63,-4.641,122,2.265,-27.79,15,-25.75
BTCUSDT,2022-01-24,40,0.5,2022-01-24 13:01:43.999000+00:00,2022-01-24 13:01:52.999000+00:00,-1,-40.22,-2.73,9,3.75,-26.24,15,-2.913
BTCUSDT,2022-01-24,40,2,2022-01-24 13:01:43.999000+00:00,2022-01-24 13:01:52.999000+00:00,-1,-40.22,-4.597,9,6.43,-23.58,15,-1.046
BTCUSDT,2022-01-24,40,10,2022-01-24 13:01:43.999000+00:00,2022-01-24 13:01:52.999000+00:00,-1,-40.22,-3.483,9,5.704,-24.25,15,-2.16
BTCUSDT,2022-05-05,40,0.5,2022-05-05 15:08:15.999000+00:00,2022-05-05 15:08:46.999000+00:00,-1,-40.16,-29.74,31,27.35,-2.667,14.99,-4.376
BTCUSDT,2022-05-05,40,2,2022-05-05 15:08:15.999000+00:00,2022-05-05 15:08:46.999000+00:00,-1,-40.16,-33.84,31,28.92,-1.128,14.98,-0.2709
BTCUSDT,2022-05-05,40,10,2022-05-05 15:08:15.999000+00:00,2022-05-05 15:08:46.999000+00:00,-1,-40.16,-31.54,31,25.09,-5.069,14.98,-2.578
BTCUSDT,2022-02-28,40,0.5,2022-02-28 22:34:10.999000+00:00,2022-02-28 22:34:18.999000+00:00,1,51.32,15.51,8,18.36,-11.51,15.01,5.856
