coin,t,side,bn_dev_bp,bn_model_net_bp,fund_bp,okx_b0_0.0,okx_net_0.0,okx_b0_0.2,okx_net_0.2,okx_b0_0.5,okx_net_0.5,okx_b0_1.0,okx_net_1.0,okx_b0_2.0,okx_net_2.0,okx_b0_5.0,okx_net_5.0,okx_b0_10.0,okx_net_10.0,okx_b0_30.0,okx_net_30.0,okx_b0_60.0,okx_net_60.0
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-108.7,53.66,0,-93.91,33.08,-86.79,25.11,-95.79,31.19,-97.63,33.7,-90.49,21.87,-96.89,25.3,-87.22,22.65,-83.63,12.59,-78.03,15.74
ETHUSDT,2022-09-15 06:47:00+00:00,1,81.8,-14.38,-21.81,49.19,-15.35,46.14,-16.39,47.73,-15.11,51.97,-11.06,49.36,-10.99,45.74,-18.77,43.55,-16.07,47.11,-15.98,45.18,-15.58
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-113.4,39.26,0,-2.535,-28,-3.573,-26.56,-7.991,-24.23,-9.158,-25.07,-8.389,-17.7,-17.43,-13.11,-10.49,-21.94,-11.55,-20.64,-34.39,2.982
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-250.8,222.1,0,-17.04,21.57,-6.124,-2.785,-15.84,-7.863,-18.1,-33.19,-14,-18.21,-0.5676,-42.27,-17.39,-20.01,-9.868,-24.16,-4.913,-29.2
BTCUSDT,2023-01-14 00:38:00+00:00,1,149.5,91.73,4.63,7.866,-20.47,10.4,-17.95,9.483,-19.56,16.77,-12.27,15.53,-13.45,8.462,-20.54,8.527,-20.51,9.964,-18.65,22.26,-6.9
ETHUSDT,2023-01-14 00:38:00+00:00,1,238.2,162.5,6.223,93.25,69.32,92.99,69.06,77.39,53.48,81.04,54.97,77.81,51.77,73.44,47.44,47.24,21.28,44.24,20.06,57.4,36.26
BTCUSDT,2023-08-17 21:42:00+00:00,-1,-116.1,55.98,0,-25.66,-10.52,-25.66,-6.988,-25.66,-10.31,-25.66,-14.18,-25.66,-11.63,-18.6,-22.35,-13.6,-23.74,-5.182,-30.27,-9.329,-22.86
ETHUSDT,2023-08-17 21:42:00+00:00,-1,-296.8,233.9,0,-12.09,-25.36,-12.09,-21.58,-12.09,-22.34,-12.09,-23.4,-12.09,-21.97,-31.32,-3.894,-24.23,-11.03,-9.754,-22.72,-36.18,0.755
BTCUSDT,2023-10-01 22:17:00+00:00,1,87.6,38.64,0,4.364,-25.51,3.84,-26.05,0.6342,-29.26,5.078,-24.83,10.97,-18.94,13.76,-15.42,-2.078,-32.71,3.359,-25.85,1.29,-30.03
ETHUSDT,2023-10-01 22:17:00+00:00,1,106.5,62.95,0.9907,35.04,6.065,19.95,-9.019,8.027,-21.45,6.164,-23.94,7.642,-22.47,2.448,-27.59,4.909,-25.74,3.492,-25.83,0.2879,-29.75
BTCUSDT,2023-10-23 22:41:00+00:00,1,133.5,25.48,0.9853,13.45,-17.91,1.149,-30.08,6.413,-26.35,14.07,-14.91,11.72,-17.87,19.69,-12.07,16.04,-16.31,2.609,-27.2,13.07,-17.84
BTCUSDT,2023-11-15 18:11:00+00:00,1,99.8,45.22,0,5.218,-26.09,-0.7254,-31.51,7.009,-24.3,5.508,-21.45,0.3766,-29.15,1.269,-23.96,5.361,-26.59,4.738,-24.72,3.843,-27.3
