coin,t,side,sec,okx_basis_bp
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-30,-61.42
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-5,-80.67
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-1,-90.62
ETHUSDT,2022-05-12 07:16:00+00:00,-1,0,-91.33
ETHUSDT,2022-05-12 07:16:00+00:00,-1,1,-101.8
ETHUSDT,2022-05-12 07:16:00+00:00,-1,2,-94.98
ETHUSDT,2022-05-12 07:16:00+00:00,-1,5,-94.13
ETHUSDT,2022-05-12 07:16:00+00:00,-1,10,-86.49
ETHUSDT,2022-05-12 07:16:00+00:00,-1,30,-77.76
ETHUSDT,2022-05-12 07:16:00+00:00,-1,60,-78.29
ETHUSDT,2022-05-12 07:16:00+00:00,-1,90,-54.74
ETHUSDT,2022-09-15 06:47:00+00:00,1,-30,58.82
ETHUSDT,2022-09-15 06:47:00+00:00,1,-5,51.21
ETHUSDT,2022-09-15 06:47:00+00:00,1,-1,49.78
ETHUSDT,2022-09-15 06:47:00+00:00,1,0,53.37
ETHUSDT,2022-09-15 06:47:00+00:00,1,1,51.62
ETHUSDT,2022-09-15 06:47:00+00:00,1,2,52.98
ETHUSDT,2022-09-15 06:47:00+00:00,1,5,48.27
ETHUSDT,2022-09-15 06:47:00+00:00,1,10,42.82
ETHUSDT,2022-09-15 06:47:00+00:00,1,30,55.28
ETHUSDT,2022-09-15 06:47:00+00:00,1,60,40.48
ETHUSDT,2022-09-15 06:47:00+00:00,1,90,38.8
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-30,-9.811
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-5,-9.625
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-1,-5.362
BTCUSDT,2022-11-08 19:31:00+00:00,-1,0,-6.334
BTCUSDT,2022-11-08 19:31:00+00:00,-1,1,-7.199
BTCUSDT,2022-11-08 19:31:00+00:00,-1,2,-10.74
BTCUSDT,2022-11-08 19:31:00+00:00,-1,5,-8.831
BTCUSDT,2022-11-08 19:31:00+00:00,-1,10,-14.78
BTCUSDT,2022-11-08 19:31:00+00:00,-1,30,-11.55
BTCUSDT,2022-11-08 19:31:00+00:00,-1,60,-37
BTCUSDT,2022-11-08 19:31:00+00:00,-1,90,-11.5
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-30,8.892
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-5,-13.36
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-1,-4.29
ETHUSDT,2022-11-08 19:32:00+00:00,-1,0,-12.16
ETHUSDT,2022-11-08 19:32:00+00:00,-1,1,36.37
ETHUSDT,2022-11-08 19:32:00+00:00,-1,2,7.295
ETHUSDT,2022-11-08 19:32:00+00:00,-1,5,-4.782
ETHUSDT,2022-11-08 19:32:00+00:00,-1,10,-8.412
ETHUSDT,2022-11-08 19:32:00+00:00,-1,30,-11.99
ETHUSDT,2022-11-08 19:32:00+00:00,-1,60,-6.282
ETHUSDT,2022-11-08 19:32:00+00:00,-1,90,-1.267
BTCUSDT,2023-01-14 00:38:00+00:00,1,-30,0.5286
