exec,lat,margin,L,feasible,cfg,cagr_is,maxdd_is,liqs_is,trades_is,sharpe_is,years_is,edge_bp_is,edge_t_is,cagr_oos,maxdd_oos,worst_day_oos,liqs_oos,trades_oos,rejected_oos,sharpe_oos,years_oos,edge_bp_oos,edge_t_oos,n_oos_all
maker,0,mc,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.082261,-0.19499,0,97,0.58572,2022:+0.1704;2023:+0.0541;2024:+0.0275;2025:+0.0000,36.338,2.4722,0.013642,-0.04676,-0.0023691,0,6,0,0.86906,2025:+0.0169;2026:+0.0058,43.381,1.2145,23
maker,0,mc,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.21549,-0.5212,0,97,0.54964,2022:+0.4176;2023:+0.1692;2024:+0.0834;2025:+0.0000,36.338,2.4722,0.041152,-0.13965,-0.0071072,0,6,0,0.86843,2025:+0.0511;2026:+0.0174,43.381,1.2145,23
maker,0,mc,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.098995,-0.035917,0,13,1.3938,2022:+0.0755;2023:+0.1952;2024:+0.0326;2025:+0.0000,64.837,4.2549,0.086802,-0.040411,0,0,5,0,1.0625,2025:+0.1162;2026:+0.0290,44.868,3.6461,7
maker,0,mc,10,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,15,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,20,False,,,,,,,,,,,,,,,,,,,,
maker,0,pm,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.082261,-0.19499,0,97,0.58572,2022:+0.1704;2023:+0.0541;2024:+0.0275;2025:+0.0000,36.338,2.4722,0.013642,-0.04676,-0.0023691,0,6,0,0.86906,2025:+0.0169;2026:+0.0058,43.381,1.2145,23
maker,0,pm,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.21549,-0.5212,0,97,0.54964,2022:+0.4176;2023:+0.1692;2024:+0.0834;2025:+0.0000,36.338,2.4722,0.041152,-0.13965,-0.0071072,0,6,0,0.86843,2025:+0.0511;2026:+0.0174,43.381,1.2145,23
maker,0,pm,5,True,all5 W240 k80 x0.0 H480 both1 conf0,0.25182,-0.84661,0,97,0.53233,2022:+0.3283;2023:+0.2945;2024:+0.1408;2025:+0.0000,36.338,2.4722,0.068976,-0.23169,-0.011845,0,6,0,0.86783,2025:+0.0859;2026:+0.0290,43.381,1.2145,23
maker,0,pm,10,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.2024,-0.071834,0,13,1.3935,2022:+0.1534;2023:+0.4145;2024:+0.0655;2025:+0.0000,64.837,4.2549,0.17772,-0.080823,0,0,5,0,1.0567,2025:+0.2409;2026:+0.0580,44.868,3.6461,7
maker,0,pm,15,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.31041,-0.10775,0,13,1.3935,2022:+0.2336;2023:+0.6602;2024:+0.0987;2025:+0.0000,64.837,4.2549,0.27284,-0.12123,0,0,5,0,1.0509,2025:+0.3745;2026:+0.0871,44.868,3.6461,7
maker,0,pm,20,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.42307,-0.14367,0,13,1.3934,2022:+0.3161;2023:+0.9341;2024:+0.1322;2025:+0.0000,64.837,4.2549,0.37224,-0.16165,0,0,5,0,1.0453,2025:+0.5173;2026:+0.1161,44.868,3.6461,7
maker,0,sep,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.082214,-0.19499,0,97,0.58545,2022:+0.1704;2023:+0.0540;2024:+0.0275;2025:+0.0000,36.338,2.4722,0.01364,-0.04676,-0.0023691,0,6,0,0.86903,2025:+0.0169;2026:+0.0058,43.381,1.2145,23
maker,0,sep,3,True,all5 W240 k80 x0.0 H120 both1 conf0,0.34755,-0.50829,6,104,0.86037,2022:+0.9540;2023:+0.1580;2024:+0.0814;2025:+0.0000,30.986,1.8212,-0.2355,-0.40035,-0.36691,1,6,0,-0.75262,2025:-0.3714;2026:+0.0174,43.381,1.2145,23
maker,0,sep,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.098918,-0.035917,0,13,1.3936,2022:+0.0755;2023:+0.1950;2024:+0.0326;2025:+0.0000,64.837,4.2549,-0.049652,-0.20422,-0.18819,1,5,0,-0.21407,2025:-0.1072;2026:+0.0290,44.868,3.6461,7
maker,0,sep,10,False,,,,,,,,,,,,,,,,,,,,
maker,0,sep,15,False,,,,,,,,,,,,,,,,,,,,
maker,0,sep,20,False,,,,,,,,,,,,,,,,,,,,
maker_upper,0,mc,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.16908,-0.19275,0,97,0.90697,2022:+0.3726;2023:+0.0800;2024:+0.0779;2025:+0.0000,65.963,4.1816,0.044969,-0.042181,0,0,6,0,1.0687,2025:+0.0584;2026:+0.0166,149.24,2.1077,23
maker_upper,0,mc,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.52672,-0.51587,0,97,0.80812,2022:+1.2802;2023:+0.2551;2024:+0.2435;2025:+0.0000,65.963,4.1816,0.13835,-0.12654,0,0,6,0,1.0624,2025:+0.1818;2026:+0.0499,149.24,2.1077,23
maker_upper,0,mc,5,True,btceth W1440 k40 x0.0 H480 both1 conf0,0.22215,-0.086069,0,43,1.8562,2022:+0.1180;2023:+0.2880;2024:+0.2677;2025:+0.0000,36.469,4.8393,0.27731,-0.032302,0,0,8,0,1.3559,2025:+0.3664;2026:+0.1000,89.227,3.9832,12
maker_upper,0,mc,10,False,,,,,,,,,,,,,,,,,,,,
maker_upper,0,mc,15,False,,,,,,,,,,,,,,,,,,,,
maker_upper,0,mc,20,False,,,,,,,,,,,,,,,,,,,,
maker_upper,0,pm,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.16908,-0.19275,0,97,0.90697,2022:+0.3726;2023:+0.0800;2024:+0.0779;2025:+0.0000,65.963,4.1816,0.044969,-0.042181,0,0,6,0,1.0687,2025:+0.0584;2026:+0.0166,149.24,2.1077,23
maker_upper,0,pm,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.52672,-0.51587,0,97,0.80812,2022:+1.2802;2023:+0.2551;2024:+0.2435;2025:+0.0000,65.963,4.1816,0.13835,-0.12654,0,0,6,0,1.0624,2025:+0.1818;2026:+0.0499,149.24,2.1077,23
maker_upper,0,pm,5,True,all5 W240 k80 x0.0 H480 both1 conf0,0.82385,-0.85125,0,97,0.74094,2022:+1.9390;2023:+0.4526;2024:+0.4211;2025:+0.0000,65.963,4.1816,0.23642,-0.2109,0,0,6,0,1.0562,2025:+0.3145;2026:+0.0831,149.24,2.1077,23
maker_upper,0,pm,10,True,btceth W1440 k40 x0.0 H480 both1 conf0,0.47657,-0.17121,0,43,1.8506,2022:+0.2309;2023:+0.6433;2024:+0.5915;2025:+0.0000,36.469,4.8393,0.60069,-0.064605,0,0,8,0,1.3418,2025:+0.8198;2026:+0.2024,89.227,3.9832,12
maker_upper,0,pm,15,True,btceth W1440 k40 x0.0 H480 both1 conf0,0.76491,-0.2579,0,43,1.8463,2022:+0.3338;2023:+1.0800;2024:+0.9816;2025:+0.0000,36.469,4.8393,0.97415,-0.096907,0,0,8,0,1.3276,2025:+1.3729;2026:+0.3074,89.227,3.9832,12
maker_upper,0,pm,20,True,btceth W1440 k60 x0.0 H480 both1 conf0,1.1047,-0.11104,0,23,2.4039,2022:+0.5034;2023:+1.8533;2024:+1.1733;2025:+0.0000,65.022,6.2826,1.5446,-0.026217,0,0,6,0,1.1882,2025:+2.5454;2026:+0.3352,132.16,5.4174,8
maker_upper,0,sep,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.16903,-0.19275,0,97,0.90676,2022:+0.3726;2023:+0.0799;2024:+0.0779;2025:+0.0000,65.963,4.1816,0.044966,-0.042181,0,0,6,0,1.0687,2025:+0.0584;2026:+0.0166,149.24,2.1077,23
maker_upper,0,sep,3,True,all5 W240 k80 x0.0 H120 both1 conf0,0.74422,-0.51075,5,104,0.94752,2022:+2.4653;2023:+0.2334;2024:+0.2415;2025:+0.0000,53.038,2.7771,-0.17398,-0.38957,-0.32111,1,6,0,-0.59652,2025:-0.3071;2026:+0.0499,149.24,2.1077,23
maker_upper,0,sep,5,True,all5 W240 k80 x0.0 H120 both1 conf1,0.74436,-0.85125,16,93,0.98058,2022:+2.7340;2023:+0.0982;2024:+0.2944;2025:+0.0000,60.733,2.7659,-0.12054,-0.36227,-0.2194,1,6,0,-0.64558,2025:-0.1925;2026:+0.0000,141.6,1.6633,19
maker_upper,0,sep,10,False,,,,,,,,,,,,,,,,,,,,
maker_upper,0,sep,15,False,,,,,,,,,,,,,,,,,,,,
maker_upper,0,sep,20,False,,,,,,,,,,,,,,,,,,,,
taker,0,mc,1,True,all5 W240 k80 x0.0 H480 both1 conf1,0.028757,-0.20816,0,86,0.27465,2022:+0.0139;2023:+0.0170;2024:+0.0559;2025:+0.0000,25.322,1.356,0.01186,-0.04998,-0.0017095,0,6,0,0.71166,2025:+0.0198;2026:+0.0000,11.599,0.15608,19
