exec,lat,margin,L,feasible,cfg,cagr_is,maxdd_is,liqs_is,trades_is,sharpe_is,years_is,edge_bp_is,edge_t_is,cagr_oos,maxdd_oos,worst_day_oos,liqs_oos,trades_oos,rejected_oos,sharpe_oos,years_oos,edge_bp_oos,edge_t_oos,n_oos_all
maker,0,mc,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.082261,-0.20338,0,97,0.58572,2022:+0.1704;2023:+0.0541;2024:+0.0275;2025:+0.0000,36.338,2.4722,0.013642,-0.10302,-0.0023691,0,6,0,0.86906,2025:+0.0169;2026:+0.0058,43.381,1.2145,23
maker,0,mc,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.21549,-0.53816,0,97,0.54964,2022:+0.4176;2023:+0.1692;2024:+0.0834;2025:+0.0000,36.338,2.4722,0.041152,-0.30762,-0.0071072,0,6,0,0.86843,2025:+0.0511;2026:+0.0174,43.381,1.2145,23
maker,0,mc,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.098995,-0.12246,0,13,1.3938,2022:+0.0755;2023:+0.1952;2024:+0.0326;2025:+0.0000,64.837,4.2549,0.086802,-0.25892,0,0,5,0,1.0625,2025:+0.1162;2026:+0.0290,44.868,3.6461,7
maker,0,mc,10,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,15,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,20,False,,,,,,,,,,,,,,,,,,,,
maker,0,pm,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.082261,-0.20338,0,97,0.58572,2022:+0.1704;2023:+0.0541;2024:+0.0275;2025:+0.0000,36.338,2.4722,0.013642,-0.10302,-0.0023691,0,6,0,0.86906,2025:+0.0169;2026:+0.0058,43.381,1.2145,23
maker,0,pm,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.21549,-0.53816,0,97,0.54964,2022:+0.4176;2023:+0.1692;2024:+0.0834;2025:+0.0000,36.338,2.4722,0.041152,-0.30762,-0.0071072,0,6,0,0.86843,2025:+0.0511;2026:+0.0174,43.381,1.2145,23
maker,0,pm,5,True,all5 W240 k80 x0.0 H480 both1 conf0,0.25182,-0.84637,0,97,0.53233,2022:+0.3283;2023:+0.2945;2024:+0.1408;2025:+0.0000,36.338,2.4722,0.068976,-0.51031,-0.011845,0,6,0,0.86783,2025:+0.0859;2026:+0.0290,43.381,1.2145,23
maker,0,pm,10,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.2024,-0.24394,0,13,1.3935,2022:+0.1534;2023:+0.4145;2024:+0.0655;2025:+0.0000,64.837,4.2549,0.17772,-0.51783,0,0,5,0,1.0567,2025:+0.2409;2026:+0.0580,44.868,3.6461,7
