coin,t,side,dev_bp,model_b0_bp,model_gross_bp,model_net_bp,fund_bp,hold_min,b0_0.0,net_0.0,wait_ms_0.0,b0_0.2,net_0.2,wait_ms_0.2,b0_0.5,net_0.5,wait_ms_0.5,b0_1.0,net_1.0,wait_ms_1.0,b0_2.0,net_2.0,wait_ms_2.0,b0_5.0,net_5.0,wait_ms_5.0,b0_10.0,net_10.0,wait_ms_10.0,b0_30.0,net_30.0,wait_ms_30.0,b0_60.0,net_60.0,wait_ms_60.0
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-108.7,-116.4,107.7,53.66,0,7,-116.4,77.35,40,-115.7,77.86,30,-113.9,77.59,16,-113.9,76.98,9,-116.2,79.34,41,-121,88.32,52,-95.89,57.67,54,-88.44,59,32,-107.5,71.07,19
ETHUSDT,2022-09-15 06:47:00+00:00,1,81.8,48.4,56.38,-14.38,-21.81,481,48.98,6.127,4,48.34,4.991,21,54.17,12.41,4,52.09,10.09,20,45.22,3.777,5,41.67,-0.8807,90,25.58,-17.66,46,28.88,-12.85,137,28.55,-13.51,5
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-113.4,-120.3,113.9,39.26,0,52,-107.1,70.08,3,-122.7,85.72,17,-118.7,87.07,5,-108,59.32,8,-103.2,49.03,7,-75.79,34.04,15,-90.07,48.32,4,-81.72,42.69,31,-170.2,125,1
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-250.8,-256.2,343.1,222.1,0,2,-216.7,273.2,16,-226.6,144.3,4,-214.1,141.3,7,-208.3,125.3,3,-211,138.2,20,-132.9,58.28,10,-250.1,127.4,36,-182.7,82.04,52,-95.22,-43.68,21
BTCUSDT,2023-01-14 00:38:00+00:00,1,149.5,145.4,135.7,91.73,4.63,481,139.5,103.5,14,121.9,85.92,2,76.5,41.58,14,84.79,49.71,5,73.09,37.94,4,77.97,43.48,19,55,20.48,2,50.5,14.86,9,95.35,60.88,6
ETHUSDT,2023-01-14 00:38:00+00:00,1,238.2,222.4,212.8,162.5,6.223,481,223,189.1,10,189.9,156.1,5,207.7,173.9,15,186.4,152,29,210.7,176.3,7,200.3,165.4,6,172.2,136.2,27,102.5,68.6,6,110.5,76.62,9
BTCUSDT,2023-08-17 21:42:00+00:00,-1,-116.1,-120,143.3,55.98,0,3,-119.6,113.6,4,-122.8,115,7,-115.5,108.5,7,-124,117.5,24,-129.8,117.8,7,-141.3,151.7,4,-184.8,167.6,8,-118.4,135,7,-220.8,250.4,3
ETHUSDT,2023-08-17 21:42:00+00:00,-1,-296.8,-300.2,296.3,233.9,0,21,-300.2,266.7,6,-301,267,23,-300.7,268.1,11,-301.1,267.4,9,-311.6,278.6,7,-374.8,343.1,10,-368.5,335.6,33,-298.8,265.3,1,-319.4,284.4,25
BTCUSDT,2023-10-01 22:17:00+00:00,1,87.6,81.7,86.7,38.64,0,66,72.61,47.56,3,68.04,42.01,2,84.62,58.61,10,79,53,38,55.74,29.71,4,62.42,37.03,8,24.96,-0.4475,12,17.68,-8.921,45,7.182,-18.19,42
ETHUSDT,2023-10-01 22:17:00+00:00,1,106.5,107.7,112.8,62.95,0.9907,175,99.94,76.21,4,107.3,83.6,5,111.9,88.16,2,105,81.23,25,79.13,55.38,13,42.47,17.91,6,35.86,11,38,19.18,-3.762,30,2.421,-22.45,29
