coin,t,side,sec,basis_bp
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-30,-68.94
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-5,-106.7
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-1,-107.8
ETHUSDT,2022-05-12 07:16:00+00:00,-1,0,-115.2
ETHUSDT,2022-05-12 07:16:00+00:00,-1,1,-114.3
ETHUSDT,2022-05-12 07:16:00+00:00,-1,2,-116.2
ETHUSDT,2022-05-12 07:16:00+00:00,-1,5,-118.8
ETHUSDT,2022-05-12 07:16:00+00:00,-1,10,-98.5
ETHUSDT,2022-05-12 07:16:00+00:00,-1,30,-88.27
ETHUSDT,2022-05-12 07:16:00+00:00,-1,60,-112.1
ETHUSDT,2022-05-12 07:16:00+00:00,-1,90,-73.27
ETHUSDT,2022-09-15 06:47:00+00:00,1,-30,43.85
ETHUSDT,2022-09-15 06:47:00+00:00,1,-5,47.5
ETHUSDT,2022-09-15 06:47:00+00:00,1,-1,48.92
ETHUSDT,2022-09-15 06:47:00+00:00,1,0,48.98
ETHUSDT,2022-09-15 06:47:00+00:00,1,1,44.64
ETHUSDT,2022-09-15 06:47:00+00:00,1,2,47.19
ETHUSDT,2022-09-15 06:47:00+00:00,1,5,41.54
ETHUSDT,2022-09-15 06:47:00+00:00,1,10,26.87
ETHUSDT,2022-09-15 06:47:00+00:00,1,30,20.74
ETHUSDT,2022-09-15 06:47:00+00:00,1,60,29.42
ETHUSDT,2022-09-15 06:47:00+00:00,1,90,17.71
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-30,-144.2
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-5,-135.7
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-1,-117.4
BTCUSDT,2022-11-08 19:31:00+00:00,-1,0,-118.4
BTCUSDT,2022-11-08 19:31:00+00:00,-1,1,-113.1
BTCUSDT,2022-11-08 19:31:00+00:00,-1,2,-106.4
BTCUSDT,2022-11-08 19:31:00+00:00,-1,5,-55.9
BTCUSDT,2022-11-08 19:31:00+00:00,-1,10,-90.01
BTCUSDT,2022-11-08 19:31:00+00:00,-1,30,-92.45
BTCUSDT,2022-11-08 19:31:00+00:00,-1,60,-170.2
BTCUSDT,2022-11-08 19:31:00+00:00,-1,90,-76.54
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-30,-81.43
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-5,-147.5
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-1,-221.6
ETHUSDT,2022-11-08 19:32:00+00:00,-1,0,-256.2
ETHUSDT,2022-11-08 19:32:00+00:00,-1,1,-212.4
ETHUSDT,2022-11-08 19:32:00+00:00,-1,2,-211.1
ETHUSDT,2022-11-08 19:32:00+00:00,-1,5,-131.8
ETHUSDT,2022-11-08 19:32:00+00:00,-1,10,-259.3
ETHUSDT,2022-11-08 19:32:00+00:00,-1,30,-156
ETHUSDT,2022-11-08 19:32:00+00:00,-1,60,-107.5
ETHUSDT,2022-11-08 19:32:00+00:00,-1,90,-103.4
BTCUSDT,2023-01-14 00:38:00+00:00,1,-30,8.823
BTCUSDT,2023-01-14 00:38:00+00:00,1,-5,91.71
BTCUSDT,2023-01-14 00:38:00+00:00,1,-1,194.8
BTCUSDT,2023-01-14 00:38:00+00:00,1,0,145.4
BTCUSDT,2023-01-14 00:38:00+00:00,1,1,94.91
BTCUSDT,2023-01-14 00:38:00+00:00,1,2,72.69
BTCUSDT,2023-01-14 00:38:00+00:00,1,5,75.5
BTCUSDT,2023-01-14 00:38:00+00:00,1,10,55.47
BTCUSDT,2023-01-14 00:38:00+00:00,1,30,48.18
BTCUSDT,2023-01-14 00:38:00+00:00,1,60,103.1
BTCUSDT,2023-01-14 00:38:00+00:00,1,90,140.8
ETHUSDT,2023-01-14 00:38:00+00:00,1,-30,44.69
ETHUSDT,2023-01-14 00:38:00+00:00,1,-5,183.4
ETHUSDT,2023-01-14 00:38:00+00:00,1,-1,213.9
ETHUSDT,2023-01-14 00:38:00+00:00,1,0,236.1
ETHUSDT,2023-01-14 00:38:00+00:00,1,1,204.1
ETHUSDT,2023-01-14 00:38:00+00:00,1,2,207.7
ETHUSDT,2023-01-14 00:38:00+00:00,1,5,213.3
ETHUSDT,2023-01-14 00:38:00+00:00,1,10,162.1
ETHUSDT,2023-01-14 00:38:00+00:00,1,30,103.8
ETHUSDT,2023-01-14 00:38:00+00:00,1,60,118.9
ETHUSDT,2023-01-14 00:38:00+00:00,1,90,299.7
BTCUSDT,2023-08-17 21:42:00+00:00,-1,-30,-3.657
BTCUSDT,2023-08-17 21:42:00+00:00,-1,-5,-47.56
BTCUSDT,2023-08-17 21:42:00+00:00,-1,-1,-94
BTCUSDT,2023-08-17 21:42:00+00:00,-1,0,-119.6
BTCUSDT,2023-08-17 21:42:00+00:00,-1,1,-122.8
BTCUSDT,2023-08-17 21:42:00+00:00,-1,2,-129.8
BTCUSDT,2023-08-17 21:42:00+00:00,-1,5,-141.3
BTCUSDT,2023-08-17 21:42:00+00:00,-1,10,-184.8
BTCUSDT,2023-08-17 21:42:00+00:00,-1,30,-118.2
BTCUSDT,2023-08-17 21:42:00+00:00,-1,60,-220.7
BTCUSDT,2023-08-17 21:42:00+00:00,-1,90,-108.5
ETHUSDT,2023-08-17 21:42:00+00:00,-1,-30,-102.9
ETHUSDT,2023-08-17 21:42:00+00:00,-1,-5,-287.9
ETHUSDT,2023-08-17 21:42:00+00:00,-1,-1,-300.1
ETHUSDT,2023-08-17 21:42:00+00:00,-1,0,-300.8
ETHUSDT,2023-08-17 21:42:00+00:00,-1,1,-301.4
ETHUSDT,2023-08-17 21:42:00+00:00,-1,2,-313.3
ETHUSDT,2023-08-17 21:42:00+00:00,-1,5,-390.5
ETHUSDT,2023-08-17 21:42:00+00:00,-1,10,-366.8
ETHUSDT,2023-08-17 21:42:00+00:00,-1,30,-299.9
ETHUSDT,2023-08-17 21:42:00+00:00,-1,60,-319.8
ETHUSDT,2023-08-17 21:42:00+00:00,-1,90,-319.8
BTCUSDT,2023-10-01 22:17:00+00:00,1,-30,-3.836
