coin,exec,lat,t,side,dev_bp,b0_bp,hold_min,gross_bp,fees_bp,slip_bp,fund_bp,net_bp,mk_in,mk_out,pm_ret1,pm_worst1,pm_liq1,pm_rej1,pm_ret3,pm_worst3,pm_liq3,pm_rej3,pm_ret5,pm_worst5,pm_liq5,pm_rej5,pm_ret10,pm_worst10,pm_liq10,pm_rej10,pm_ret15,pm_worst15,pm_liq15,pm_rej15,pm_ret20,pm_worst20,pm_liq20,pm_rej20,mc_ret1,mc_worst1,mc_liq1,mc_rej1,mc_ret3,mc_worst3,mc_liq3,mc_rej3,mc_ret5,mc_worst5,mc_liq5,mc_rej5,mc_ret10,mc_worst10,mc_liq10,mc_rej10,mc_ret15,mc_worst15,mc_liq15,mc_rej15,mc_ret20,mc_worst20,mc_liq20,mc_rej20,sep_ret1,sep_worst1,sep_liq1,sep_rej1,sep_ret3,sep_worst3,sep_liq3,sep_rej3,sep_ret5,sep_worst5,sep_liq5,sep_rej5,sep_ret10,sep_worst10,sep_liq10,sep_rej10,sep_ret15,sep_worst15,sep_liq15,sep_rej15,sep_ret20,sep_worst20,sep_liq20,sep_rej20
ETHUSDT,maker,0,2022-05-12 07:16:00+00:00,-1,-108.7,-114.25,7,106.947,25.2247,11.8985,0,69.824,1,1,0.00695957,-0.00159607,0,0,0.0208787,-0.00478822,0,0,0.0347979,-0.00798037,0,0,0.0695957,-0.0159607,0,0,0.104394,-0.0239411,0,0,0.139191,-0.0319215,0,0,0.00695957,-0.00159607,0,0,0.0208787,-0.00478822,0,0,0.0347979,-0.00798037,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00695957,-0.00159607,0,0,0.0208787,-0.00478822,0,0,0.0347979,-0.00798037,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2022-09-15 06:47:00+00:00,1,81.8,38.9,481,47.6165,24.1017,9.99423,-21.7828,-8.26224,1,1,-0.000826243,-0.00187773,0,0,-0.00249928,-0.0056332,0,0,-0.00417231,-0.00938866,0,0,-0.0083549,-0.0187773,0,0,-0.0125375,-0.028166,0,0,-0.0167201,-0.0375547,0,0,-0.000826243,-0.00187773,0,0,-0.00249928,-0.0056332,0,0,-0.00417231,-0.00938866,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.000831371,-0.00187773,0,0,-0.00250439,-0.0056332,0,0,-0.00417729,-0.00938866,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2022-11-08 19:31:00+00:00,-1,-113.4,-145.25,52,135.09,25.3395,22.0574,0,87.6927,1,1,0.00874644,-0.00296351,0,0,0.0262393,-0.00889053,0,0,0.0437322,-0.0148175,0,0,0.0874644,-0.0296351,0,0,0.131197,-0.0444526,0,0,0.174929,-0.0592702,0,0,0.00874644,-0.00296351,0,0,0.0262393,-0.00889053,0,0,0.0437322,-0.0148175,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00874644,-0.00296351,0,0,0.0262393,-0.00889053,0,0,0.0437322,-0.0148175,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2022-11-08 19:32:00+00:00,-1,-250.8,-181.35,2,168.136,25.8606,45.592,0,96.6836,1,1,0.00964553,-0.00299825,0,0,0.0289366,-0.00899475,0,0,0.0482276,-0.0149913,0,0,0.0964553,-0.0299825,0,0,0.144683,-0.0449738,0,0,0.192911,-0.059965,0,0,0.00964553,-0.00299825,0,0,0.0289366,-0.00899475,0,0,0.0482276,-0.0149913,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00964553,-0.00299825,0,0,0.0289366,-0.00899475,0,0,-0.276987,-0.276987,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2023-01-14 00:38:00+00:00,1,149.5,124.25,481,115.05,24.6768,9.11394,4.62024,85.8799,1,0.5,0.00858726,-0.00203432,0,0,0.0250469,-0.00610296,0,0,0.0415065,-0.0101716,0,0,0.0826555,-0.0203432,0,0,0.123805,-0.0305148,0,0,0.164954,-0.0406864,0,0,0.00858726,-0.00203432,0,0,0.0250469,-0.00610296,0,0,0.0415065,-0.0101716,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0084089,-0.00203432,0,0,0.0248692,-0.00610296,0,0,0.0413337,-0.0101716,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2023-01-14 00:38:00+00:00,1,238.2,166.45,481,156.727,24.6506,13.0026,6.18728,125.261,1,0.5,0.0125253,-0.00242006,0,0,0.0368609,-0.00726019,0,0,0.0611965,-0.0121003,0,0,0.122036,-0.0242006,0,0,0.182875,-0.036301,0,0,0.243714,-0.0484013,0,0,0.0125253,-0.00242006,0,0,0.0368609,-0.00726019,0,0,0.0611965,-0.0121003,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.012347,-0.00242006,0,0,0.0366835,-0.00726019,0,0,0.0610248,-0.0121003,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2023-08-17 21:42:00+00:00,-1,-116.1,-170.35,3,210.279,23.8071,24.7921,0,161.679,0.5,1,0.0161451,-0.00311159,0,0,0.0484353,-0.00933478,0,0,0.0807255,-0.015558,0,0,0.161451,-0.0311159,0,0,0.242177,-0.0466739,0,0,0.322902,-0.0622319,0,0,0.0161451,-0.00311159,0,0,0.0484353,-0.00933478,0,0,0.0807255,-0.015558,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0161451,-0.00311159,0,0,0.0484353,-0.00933478,0,0,0.0807255,-0.015558,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2023-08-17 21:42:00+00:00,-1,-296.8,-310,21,305.64,24.1844,16.3276,0,265.128,0.5,1,0.0264899,-0.0025988,0,0,0.0794698,-0.0077964,0,0,0.13245,-0.012994,0,0,0.264899,-0.025988,0,0,0.397349,-0.038982,0,0,0.529799,-0.051976,0,0,0.0264899,-0.0025988,0,0,0.0794698,-0.0077964,0,0,0.13245,-0.012994,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0264899,-0.0025988,0,0,0.0794698,-0.0077964,0,0,0.13245,-0.012994,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2023-10-01 22:17:00+00:00,1,87.6,45.45,66,50.2777,24.9568,8.99108,0,16.3299,1,1,0.00163297,-0.00202133,0,0,0.00488802,-0.00606399,0,0,0.00814306,-0.0101066,0,0,0.0162807,-0.0202133,0,0,0.0244183,-0.0303199,0,0,0.0325559,-0.0404266,0,0,0.00163297,-0.00202133,0,0,0.00488802,-0.00606399,0,0,0.00814306,-0.0101066,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00163025,-0.00202133,0,0,0.00488531,-0.00606399,0,0,0.00814043,-0.0101066,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2023-10-01 22:17:00+00:00,1,106.5,54.45,175,59.0539,24.2728,10.5023,0.98534,25.2641,1,0.5,0.00252639,-0.0021601,0,0,0.00756315,-0.00648031,0,0,0.0125999,-0.0108005,0,0,0.0251918,-0.021601,0,0,0.0377837,-0.0324016,0,0,0.0503756,-0.0432021,0,0,0.00252639,-0.0021601,0,0,0.00756315,-0.00648031,0,0,0.0125999,-0.0108005,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0025224,-0.0021601,0,0,0.00755917,-0.00648031,0,0,0.012596,-0.0108005,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2023-10-23 22:41:00+00:00,1,133.5,136.75,136,140.869,24.5841,21.5596,0.988403,95.7138,0.5,1,0.00957114,-0.00314273,0,0,0.0285609,-0.0094282,0,0,0.0475506,-0.0157137,0,0,0.095025,-0.0314273,0,0,0.142499,-0.047141,0,0,0.189974,-0.0628547,0,0,0.00957114,-0.00314273,0,0,0.0285609,-0.0094282,0,0,0.0475506,-0.0157137,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00953313,-0.00314273,0,0,0.0285231,-0.0094282,0,0,0.0475148,-0.0157137,0,0,0,0,0,1,0,0,0,1,0,0,0,1
