univ,seg,margin,L,final,cagr,maxdd,liqs,trades,rejected,sharpe,worst_day,years,n_all,edge_bp,edge_t,gross_bp
BTCUSDT,IS,mc,1,1.03674,0.0120987,-0.00665904,0,8,0,1.47046,0,2022:+0.0039;2023:+0.0272;2024:+0.0054;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,mc,3,1.11268,0.0362302,-0.0199771,0,8,0,1.47539,0,2022:+0.0117;2023:+0.0823;2024:+0.0162;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,mc,5,1.19328,0.0606704,-0.0332952,0,8,0,1.47636,0,2022:+0.0195;2023:+0.1397;2024:+0.0269;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,mc,10,1,0,0,0,0,8,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,mc,15,1,0,0,0,0,8,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,mc,20,1,0,0,0,0,8,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,pm,1,1.03674,0.0120987,-0.00665904,0,8,0,1.47046,0,2022:+0.0039;2023:+0.0272;2024:+0.0054;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,pm,3,1.11268,0.0362302,-0.0199771,0,8,0,1.47539,0,2022:+0.0117;2023:+0.0823;2024:+0.0162;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,pm,5,1.19328,0.0606704,-0.0332952,0,8,0,1.47636,0,2022:+0.0195;2023:+0.1397;2024:+0.0269;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,pm,10,1.41674,0.12313,-0.0665904,0,8,0,1.47709,0,2022:+0.0390;2023:+0.2938;2024:+0.0539;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,pm,15,1.67477,0.18755,-0.0998857,0,8,0,1.47733,0,2022:+0.0585;2023:+0.4638;2024:+0.0808;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,pm,20,1.9717,0.253951,-0.133181,0,8,0,1.47745,0,2022:+0.0781;2023:+0.6510;2024:+0.1078;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,sep,1,1.03651,0.0120246,-0.00665904,0,8,0,1.47416,0,2022:+0.0039;2023:+0.0269;2024:+0.0054;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,sep,3,1.11244,0.036156,-0.0199771,0,8,0,1.4766,0,2022:+0.0117;2023:+0.0821;2024:+0.0162;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,sep,5,1.19304,0.060599,-0.0332952,0,8,0,1.47706,0,2022:+0.0195;2023:+0.1395;2024:+0.0269;2025:+0.0000,8,45.5685,5.92012,111.273
