L,variant,all,drop_2025-02-03,drop_2025-10-10,drop_2026-08-19,drop_best_trade
1,1m_model,0.026988,0.021446,0.013306,0.019002,0.014382
1,tick_touch_0.5,0.03529,0.022222,0.01577,0.032246,0.022222
1,tick_touch_2.0,0.028534,0.01302,0.017156,0.026671,0.01302
1,tick_w100k_0.5,0.027218,0.01616,0.013257,0.02481,0.01616
1,tick_touch_10.0,-0.0012851,0.0054409,-0.0068148,-0.0011592,-0.0047808
3,1m_model,0.081856,0.064589,0.039988,0.057131,0.043273
3,tick_touch_0.5,0.10802,0.067424,0.047194,0.098332,0.067424
3,tick_touch_2.0,0.086472,0.039197,0.051171,0.080603,0.039197
3,tick_w100k_0.5,0.082829,0.048831,0.039676,0.075267,0.048831
3,tick_touch_10.0,-0.0041754,0.016313,-0.020534,-0.0037943,-0.014535
5,1m_model,0.13793,0.10808,0.066767,0.095442,0.072345
5,tick_touch_0.5,0.18369,0.11366,0.078484,0.16657,0.11366
5,tick_touch_2.0,0.1456,0.065574,0.084821,0.13534,0.065574
5,tick_w100k_0.5,0.14004,0.081989,0.065983,0.12686,0.081989
5,tick_touch_10.0,-0.0074839,0.027187,-0.034371,-0.0068494,-0.024536
10,1m_model,0.28336,0.21829,0.13413,0.19202,0.1458
10,tick_touch_0.5,0.38601,0.23378,0.1562,0.34668,0.23378
10,tick_touch_2.0,0.29872,0.13241,0.16754,0.27572,0.13241
10,tick_w100k_0.5,0.29021,0.16703,0.13132,0.26081,0.16703
10,tick_touch_10.0,-0.017644,0.05438,-0.069502,-0.016385,-0.050649
15,1m_model,0.43629,0.33057,0.20209,0.28976,0.22033
15,tick_touch_0.5,0.60781,0.36048,0.23334,0.54062,0.36048
15,tick_touch_2.0,0.45958,0.20054,0.24854,0.42126,0.20054
15,tick_w100k_0.5,0.45081,0.25517,0.19614,0.40197,0.25517
15,tick_touch_10.0,-0.03062,0.081584,-0.10546,-0.028753,-0.078413
20,1m_model,0.59668,0.44485,0.27061,0.38867,0.2959
20,tick_touch_0.5,0.84989,0.49384,0.31002,0.74868,0.49384
20,tick_touch_2.0,0.62836,0.27002,0.3281,0.57202,0.27002
20,tick_w100k_0.5,0.62218,0.34645,0.26053,0.55043,0.34645
20,tick_touch_10.0,-0.046576,0.1088,-0.14233,-0.044126,-0.10792
