coin,t,side,dev_bp,model_b0_bp,model_net_bp,fund_bp,hold_min,close_basis_bp,notl_1s_perp_in,notl_1s_spot_in,net_touch_0.0,b0_0.0,net_w20k_0.0,fillms_w20k_0.0,net_w100k_0.0,fillms_w100k_0.0,net_w500k_0.0,fillms_w500k_0.0,net_touch_0.1,b0_0.1,net_w20k_0.1,fillms_w20k_0.1,net_w100k_0.1,fillms_w100k_0.1,net_w500k_0.1,fillms_w500k_0.1,net_touch_0.2,b0_0.2,net_w20k_0.2,fillms_w20k_0.2,net_w100k_0.2,fillms_w100k_0.2,net_w500k_0.2,fillms_w500k_0.2,net_touch_0.5,b0_0.5,net_w20k_0.5,fillms_w20k_0.5,net_w100k_0.5,fillms_w100k_0.5,net_w500k_0.5,fillms_w500k_0.5,net_touch_1.0,b0_1.0,net_w20k_1.0,fillms_w20k_1.0,net_w100k_1.0,fillms_w100k_1.0,net_w500k_1.0,fillms_w500k_1.0,net_touch_2.0,b0_2.0,net_w20k_2.0,fillms_w20k_2.0,net_w100k_2.0,fillms_w100k_2.0,net_w500k_2.0,fillms_w500k_2.0,net_touch_5.0,b0_5.0,net_w20k_5.0,fillms_w20k_5.0,net_w100k_5.0,fillms_w100k_5.0,net_w500k_5.0,fillms_w500k_5.0,net_touch_10.0,b0_10.0,net_w20k_10.0,fillms_w20k_10.0,net_w100k_10.0,fillms_w100k_10.0,net_w500k_10.0,fillms_w500k_10.0
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-108.7,-116.4,53.664,0,7,-115.22,57807,1.1273e+05,77.352,-116.39,81.599,673,75.185,1528,71.298,5321,77.971,-116.33,81.377,651,75.628,1428,71.393,5221,77.859,-115.72,81.035,551,75.924,1328,71.431,5121,77.592,-113.94,82.53,323,92.282,1103,73.679,4821,76.981,-113.94,97.421,528,95.575,2251,73.877,4740,79.342,-116.17,84.059,881,84.607,2118,61.598,4622,88.319,-121.03,82.756,475,61.514,1325,87.107,6159,57.672,-95.888,65.398,126,68.876,1378,16.906,6700
ETHUSDT,2022-09-15 06:47:00+00:00,1,81.8,48.4,-14.377,-21.811,481,46.959,1.4959e+06,74581,6.1269,48.979,11.151,537,7.8217,1308,0.42018,3887,10.072,52.991,10.166,446,6.221,1226,-0.062326,3787,4.9914,48.338,11.145,346,5.1765,1126,-0.23667,3687,12.412,54.17,6.3164,46,3.6931,844,1.7435,3387,10.087,52.09,1.913,308,0.18468,588,5.553,3235,3.7767,45.225,0.51692,268,2.0335,1700,1.9294,4741,-0.88075,41.667,-1.9832,211,3.9621,1741,18.475,4414,-17.661,25.579,-23.432,122,-17.384,1312,-16.684,3563
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-113.4,-120.3,39.256,0,52,-118.39,1.1279e+06,2.997e+05,70.076,-107.07,76.895,149,82.379,430,70.892,1788,76.831,-115.84,77.944,50,81.392,339,69.61,1688,85.715,-122.67,77.63,78,83.268,380,68.869,1622,87.074,-118.7,78.192,80,65.624,168,58.96,1374,59.325,-107.95,52.275,189,50.577,421,57.171,1505,49.035,-103.15,44.254,85,48.377,356,59.463,2405,34.044,-75.793,46.814,192,42.895,454,79.253,1079,48.317,-90.067,50.764,147,49.333,479,50.57,2109
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-250.8,-256.2,222.07,0,2,-256.22,1.4188e+06,1.0292e+05,273.16,-216.71,280.62,543,185.92,794,152.21,3009,207.91,-221.97,144.23,452,142.09,903,138.58,2909,144.31,-226.59,132.85,352,144.51,803,130.11,2809,141.27,-214.09,109.64,220,127.87,770,117.29,2526,125.33,-208.26,116.79,359,142.19,1685,125.03,2767,138.18,-210.97,253.07,363,193.68,706,176.12,2330,58.277,-132.95,115.69,88,145.01,104,205.05,404,127.37,-250.12,68.454,118,22.455,578,47.529,3588
BTCUSDT,2023-01-14 00:38:00+00:00,1,149.5,145.4,91.73,4.6299,481,145.4,3.3711e+06,3.6338e+05,103.53,139.51,98.739,30,70.342,162,50.58,1619,90.22,126.12,67.087,50,58.558,245,40.279,1900,85.92,121.87,64.805,37,59.819,362,38.11,1818,41.584,76.499,55.435,62,51.378,379,28.965,1578,49.706,84.786,47.791,40,40.533,546,30.998,1410,37.944,73.091,38.143,13,37.051,65,42.787,602,43.482,77.971,42.439,124,40.662,313,45.151,1792,20.479,54.996,26.403,100,30.315,288,40.35,1555
ETHUSDT,2023-01-14 00:38:00+00:00,1,238.2,222.4,162.54,6.2234,481,236.07,1.549e+06,5.354e+05,189.15,222.98,180.77,46,174.03,355,135.97,870,179.22,213.03,170.02,182,167.22,255,133.51,881,156.11,189.88,154.62,82,164.12,155,141.16,853,173.87,207.71,179.36,168,151.83,370,138.39,1292,152.04,186.4,161.46,68,135.86,86,,1679,176.34,210.73,170.37,176,159.91,486,,1405,165.45,200.32,160.76,99,148.05,99,,1663,136.19,172.21,131.82,75,130.52,491,,3014
BTCUSDT,2023-08-17 21:42:00+00:00,-1,-116.1,-120,55.983,0,3,-119.56,4.1212e+06,1.295e+06,113.58,-119.56,117.05,50,115.98,90,105.26,217,117.24,-121.3,115.95,8,119.81,41,106.83,358,114.97,-122.81,114.14,42,124.02,98,105.24,302,108.54,-115.52,104.35,14,97.484,162,93.299,849,117.54,-124.04,112.31,84,112.84,234,108.84,933,117.84,-129.8,144.03,21,140.91,159,121.45,805,151.68,-141.26,142.78,42,134.29,265,123.68,818,167.56,-184.76,175.69,45,175.17,166,164.95,1270
ETHUSDT,2023-08-17 21:42:00+00:00,-1,-296.8,-300.2,233.9,0,21,-300.79,7.8035e+05,1.763e+05,266.68,-300.18,265.91,113,262.36,606,248.93,3864,266.38,-300.67,266.6,154,262.6,506,248.32,3781,267.04,-300.97,266.61,186,262.54,600,247.22,3768,268.13,-300.73,268.7,106,262.03,416,255.1,3763,267.4,-301.09,273.5,257,270.79,948,255.24,4429,278.61,-311.55,280.18,287,277.05,1153,267.8,4610,343.09,-374.75,340.61,176,331.38,893,332.53,5183,335.64,-368.49,338.2,183,336.27,479,341.74,2128
BTCUSDT,2023-10-01 22:17:00+00:00,1,87.6,81.7,38.643,0,66,82.573,3.7123e+06,3.6384e+05,47.563,72.607,47.682,47,46.668,291,45.2,1570,40.618,66.072,40.173,51,40.499,496,34.138,1683,42.007,68.037,40.559,110,39.309,396,33.253,1784,58.614,84.622,53.252,96,50.953,309,43.528,1623,52.998,78.999,48.544,38,48.357,215,49.131,1743,29.712,55.74,48.192,106,48.745,438,44.69,2003,37.03,62.417,33.576,100,34.119,195,40.772,3414,-0.44747,24.957,-0.53168,88,4.8903,273,6.874,2007
ETHUSDT,2023-10-01 22:17:00+00:00,1,106.5,107.7,62.954,0.99071,175,101.48,2.0597e+06,5.3273e+05,76.207,99.943,80.736,85,77.315,192,75.295,863,82.619,106.36,79.729,92,74.185,141,75.353,1633,83.601,107.35,79.838,16,75.466,114,76.293,2114,88.155,111.91,76.042,126,73.283,166,78.135,2880,81.226,104.98,75.863,120,70.641,850,78.145,3071,55.377,79.128,50.576,314,43.368,834,52.711,2719,17.91,42.466,2.6995,33,-11.026,314,-3.4364,3275,11.005,35.859,14.22,307,14.139,1222,10.533,5543
