coin,t,side,sec,basis_bp
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-2,-110.5
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-1,-107.8
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-0.5,-122.8
ETHUSDT,2022-05-12 07:16:00+00:00,-1,-0.1,-114.2
ETHUSDT,2022-05-12 07:16:00+00:00,-1,0,-115.2
ETHUSDT,2022-05-12 07:16:00+00:00,-1,0.1,-116.3
ETHUSDT,2022-05-12 07:16:00+00:00,-1,0.2,-115.8
ETHUSDT,2022-05-12 07:16:00+00:00,-1,0.5,-113.9
ETHUSDT,2022-05-12 07:16:00+00:00,-1,1,-114.3
ETHUSDT,2022-05-12 07:16:00+00:00,-1,2,-116.2
ETHUSDT,2022-05-12 07:16:00+00:00,-1,5,-118.8
ETHUSDT,2022-05-12 07:16:00+00:00,-1,10,-98.5
ETHUSDT,2022-05-12 07:16:00+00:00,-1,30,-88.27
ETHUSDT,2022-09-15 06:47:00+00:00,1,-2,46.47
ETHUSDT,2022-09-15 06:47:00+00:00,1,-1,48.92
ETHUSDT,2022-09-15 06:47:00+00:00,1,-0.5,46.22
ETHUSDT,2022-09-15 06:47:00+00:00,1,-0.1,46.34
ETHUSDT,2022-09-15 06:47:00+00:00,1,0,48.98
ETHUSDT,2022-09-15 06:47:00+00:00,1,0.1,48.99
ETHUSDT,2022-09-15 06:47:00+00:00,1,0.2,48.03
ETHUSDT,2022-09-15 06:47:00+00:00,1,0.5,58.83
ETHUSDT,2022-09-15 06:47:00+00:00,1,1,44.64
ETHUSDT,2022-09-15 06:47:00+00:00,1,2,47.19
ETHUSDT,2022-09-15 06:47:00+00:00,1,5,41.54
ETHUSDT,2022-09-15 06:47:00+00:00,1,10,26.87
ETHUSDT,2022-09-15 06:47:00+00:00,1,30,20.74
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-2,-115.6
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-1,-117.4
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-0.5,-115.4
BTCUSDT,2022-11-08 19:31:00+00:00,-1,-0.1,-100.3
BTCUSDT,2022-11-08 19:31:00+00:00,-1,0,-118.4
BTCUSDT,2022-11-08 19:31:00+00:00,-1,0.1,-113.7
BTCUSDT,2022-11-08 19:31:00+00:00,-1,0.2,-122.3
BTCUSDT,2022-11-08 19:31:00+00:00,-1,0.5,-122.2
BTCUSDT,2022-11-08 19:31:00+00:00,-1,1,-113.1
BTCUSDT,2022-11-08 19:31:00+00:00,-1,2,-106.4
BTCUSDT,2022-11-08 19:31:00+00:00,-1,5,-55.9
BTCUSDT,2022-11-08 19:31:00+00:00,-1,10,-90.01
BTCUSDT,2022-11-08 19:31:00+00:00,-1,30,-92.45
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-2,-201.9
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-1,-221.6
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-0.5,-236.6
ETHUSDT,2022-11-08 19:32:00+00:00,-1,-0.1,-274.4
ETHUSDT,2022-11-08 19:32:00+00:00,-1,0,-256.2
