coin,t,side,sec,basis_bp
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-2,-154.8
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-1,-193.1
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-0.5,-174.1
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-0.1,-197.2
ETHUSDT,2025-02-03 02:07:00+00:00,-1,0,-232.8
ETHUSDT,2025-02-03 02:07:00+00:00,-1,0.1,-189.9
ETHUSDT,2025-02-03 02:07:00+00:00,-1,0.2,-281.1
ETHUSDT,2025-02-03 02:07:00+00:00,-1,0.5,-322.9
ETHUSDT,2025-02-03 02:07:00+00:00,-1,1,-222.9
ETHUSDT,2025-02-03 02:07:00+00:00,-1,2,-274.3
ETHUSDT,2025-02-03 02:07:00+00:00,-1,5,-194.1
ETHUSDT,2025-02-03 02:07:00+00:00,-1,10,26.35
ETHUSDT,2025-02-03 02:07:00+00:00,-1,30,-17.86
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-2,-54.68
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-1,-128.4
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-0.5,-121.4
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-0.1,-112.8
ETHUSDT,2025-10-10 21:16:00+00:00,-1,0,-111
ETHUSDT,2025-10-10 21:16:00+00:00,-1,0.1,-112.3
ETHUSDT,2025-10-10 21:16:00+00:00,-1,0.2,-102.3
ETHUSDT,2025-10-10 21:16:00+00:00,-1,0.5,-120.3
ETHUSDT,2025-10-10 21:16:00+00:00,-1,1,-91.39
ETHUSDT,2025-10-10 21:16:00+00:00,-1,2,-122.7
ETHUSDT,2025-10-10 21:16:00+00:00,-1,5,-111.5
ETHUSDT,2025-10-10 21:16:00+00:00,-1,10,-53.69
ETHUSDT,2025-10-10 21:16:00+00:00,-1,30,-164.9
ETHUSDT,2025-10-10 21:22:00+00:00,1,-2,104.4
ETHUSDT,2025-10-10 21:22:00+00:00,1,-1,106.9
ETHUSDT,2025-10-10 21:22:00+00:00,1,-0.5,117.1
ETHUSDT,2025-10-10 21:22:00+00:00,1,-0.1,121.7
ETHUSDT,2025-10-10 21:22:00+00:00,1,0,114.7
ETHUSDT,2025-10-10 21:22:00+00:00,1,0.1,120.2
ETHUSDT,2025-10-10 21:22:00+00:00,1,0.2,110
ETHUSDT,2025-10-10 21:22:00+00:00,1,0.5,112.6
ETHUSDT,2025-10-10 21:22:00+00:00,1,1,99.44
ETHUSDT,2025-10-10 21:22:00+00:00,1,2,70.43
ETHUSDT,2025-10-10 21:22:00+00:00,1,5,109.8
ETHUSDT,2025-10-10 21:22:00+00:00,1,10,72.73
ETHUSDT,2025-10-10 21:22:00+00:00,1,30,54.78
BTCUSDT,2025-10-10 21:27:00+00:00,1,-2,75.78
BTCUSDT,2025-10-10 21:27:00+00:00,1,-1,83.11
BTCUSDT,2025-10-10 21:27:00+00:00,1,-0.5,81.29
BTCUSDT,2025-10-10 21:27:00+00:00,1,-0.1,67.75
BTCUSDT,2025-10-10 21:27:00+00:00,1,0,77.09
BTCUSDT,2025-10-10 21:27:00+00:00,1,0.1,64.37
BTCUSDT,2025-10-10 21:27:00+00:00,1,0.2,69.13
BTCUSDT,2025-10-10 21:27:00+00:00,1,0.5,65.73
BTCUSDT,2025-10-10 21:27:00+00:00,1,1,99.13
BTCUSDT,2025-10-10 21:27:00+00:00,1,2,25.04
BTCUSDT,2025-10-10 21:27:00+00:00,1,5,38.63
BTCUSDT,2025-10-10 21:27:00+00:00,1,10,61.59
BTCUSDT,2025-10-10 21:27:00+00:00,1,30,43.88
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-2,-65.68
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-1,-66.89
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-0.5,-150.6
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-0.1,-240.4
ETHUSDT,2025-10-10 21:56:00+00:00,-1,0,-269.1
ETHUSDT,2025-10-10 21:56:00+00:00,-1,0.1,-128.1
ETHUSDT,2025-10-10 21:56:00+00:00,-1,0.2,-156.8
