name,N,lbs,kind,hl,band,sharpe_is,sharpe_oos,cagr_is,cagr_oos,vol_is,vol_oos,maxdd_close_is,maxdd_close_oos,gross_is,turnover_is,cost_is,fund_is,cost_oos,fund_oos,sharpe_is_precost,sharpe_oos_precost,sum_2022,sum_2023,sum_2024,sum_2025,sum_2026
N30_short_z_hl60_b0.5,30,short,z,60,0.5,0.6764928243382561,0.5797311776485402,0.1255268180772664,0.0945302843706004,0.2059992907311894,0.18524193622929636,0.20924400458987613,0.1692917632600318,0.40309524409048614,46.45974766913195,0.046447381708056006,-0.004033866353520206,0.045441423196162234,-0.016182802504923554,0.9016050255943464,0.8242376034623004,0.060648725497498175,0.3063168380361853,0.05148736257664025,-0.005699463749051294,0.18458559994298093
N30_short_z_hl60_b0.0,30,short,z,60,0.0,0.6046518491638032,0.4891070301215547,0.1108225275863779,0.07861972907637726,0.21014696274236164,0.19238220852157453,0.22679638473046293,0.15748710895788431,0.40855141205310985,61.96383503033048,0.06227583840435787,-0.004237224913571991,0.06184601285978041,-0.019265871532528803,0.9006363708549547,0.8098503696333558,0.07286748883818712,0.2795292596361171,0.0291486257220933,-0.02176123347519146,0.1785011192839408
N40_all_sign_hl20_b0.5,40,all,sign,20,0.5,0.5278503014598752,0.13536227726625066,0.08914135456081063,0.007739165875909171,0.199197759398176,0.1899190930803075,0.21747763611288862,0.1653935116130416,0.43403360782030653,56.501011295144366,0.0603156907542883,-0.012724034364236123,0.06408206573324463,-0.010313012481902768,0.8309425749424646,0.47257579226395036,0.11966605049936704,0.1194369961083164,0.07662481830714112,0.039053933965666005,0.0037690567436501256
N30_all_sign_hl60_b0.5,30,all,sign,60,0.5,0.5095238580259192,0.2221281174599677,0.08608619506904813,0.024393544851289084,0.20187396638832944,0.18674850382224772,0.24539860889701015,0.1690859000084345,0.43462798321310037,56.50285776257708,0.05624284309082173,-0.011017467008199788,0.058349431267846384,-0.00799576732265814,0.7884651750589959,0.5342062429436742,0.09165689908856775,0.17478044807567492,0.04242326653257183,0.053411887726589904,0.015687051737083783
N30_short_z_hl20_b0.5,30,short,z,20,0.5,0.4973916393727107,0.6406006421325435,0.08496648155513364,0.10599032914010542,0.2067313098214137,0.18333669599037922,0.23187173800909455,0.1326660114517153,0.40955459563896557,48.97593384908956,0.04900161711026349,-0.008328113910376665,0.04908724313410996,-0.016314592182736013,0.7341188942704323,0.9072193711774335,0.060847552070645614,0.24776711849378208,0.00014632097394987607,0.06816444247234044,0.1274709765637162
N30_all_z_hl60_b0.5,30,all,z,60,0.5,0.49007105399556433,0.224754804392654,0.08187819771057758,0.0248347885761937,0.2020476614946523,0.18588626915092205,0.23701004955451244,0.18537194777635446,0.40916594968665365,35.711985274626066,0.03554702698950686,-0.0066011392735179,0.03384102329184986,-0.0017152511637015457,0.6658637077477154,0.4066398691001204,0.08502101486514292,0.1938370177944214,0.01846638001693287,0.00917620048516066,0.06041703210080049
N40_short_z_hl60_b0.5,40,short,z,60,0.5,0.4499284579422376,0.3792877624540997,0.07422171041106962,0.05416661031765191,0.20617552770065556,0.18305957566489067,0.24314409889671107,0.17502788860972107,0.41373817341590235,48.59890906212351,0.052153415410742796,-0.006285727747568472,0.04989995270556589,-0.01233567599731107,0.7029471769191877,0.6511907824283624,0.09594960216908761,0.20750346854396437,-0.024906210386514294,-0.018797360098172424,0.1344543797273173
N30_all_z_hl20_b0.5,30,all,z,20,0.5,0.43863685500604005,0.2616849685226703,0.07032982528672993,0.031801189238194416,0.2006270552496791,0.18464247039558981,0.221448726646842,0.15217719789107242,0.4127992823901187,37.88955130046571,0.03771005708820164,-0.011392448502310666,0.037027868305739356,-0.009576971391905434,0.6264938546567647,0.46194483282860316,0.1174657554661783,0.17424123563612404,-0.027458626948737585,0.04831240786082323,0.032173731055555314
N40_all_sign_hl60_b0.5,40,all,sign,60,0.5,0.4347495257015913,0.1758026348292679,0.06933626317812136,0.015530962396895998,0.20005687882770676,0.18840840683685758,0.22749988621390915,0.16769952042111635,0.43472765149406606,56.29813036644349,0.06007776739166055,-0.011274373622751094,0.06320945049413779,-0.00608145223117325,0.7354561326242373,0.5110303869340435,0.1105003578880495,0.11076389458743961,0.03989793374182635,0.02702788324450824,0.02814635829606655
N30_all_sign_hl20_b0.5,30,all,sign,20,0.5,0.43256978857672423,0.15883594569992465,0.068786377295881,0.012324968048799345,0.1996953384377198,0.18758130309238638,0.2601940733099358,0.16805840953319884,0.43448714069221017,57.74220629092196,0.05748229322106236,-0.011499607625704211,0.06003892216477367,-0.009009251999114162,0.7206250577802313,0.4786466452705236,0.08261958837748648,0.14681033976678665,0.029953246319362532,0.036432152739938474,0.013198393651186066
N30_all_sign_hl60_b0.0,30,all,sign,60,0.0,0.4001622504028902,0.20829213179275358,0.06273624053205018,0.021839346453858433,0.20369029883141723,0.1908384704510418,0.2571450189307246,0.19996576583912806,0.44081704643627434,73.09571437112851,0.07333239428405548,-0.011137800381069218,0.07629231255101543,-0.0009437384657590006,0.7602521693091144,0.6075932851398176,0.08900077369708731,0.14637645900353818,0.009373585186268695,0.02720434247051689,0.03900960908481483
N40_all_z_hl60_b0.5,40,all,z,60,0.5,0.38869183973135973,0.43158233297140497,0.05964920945637808,0.06538942212551069,0.20068616363966996,0.18727001591623665,0.23654613751931397,0.18163181757641755,0.4117677837790875,36.40946896028917,0.03883985678749649,-0.008905686677685664,0.03964684087491372,-0.0019278439670939855,0.5822431430792602,0.6425694867622547,0.10870259719024883,0.15059079152700344,-0.02506445372412805,0.02642971031242788,0.10820052985675219
