price,model,L,sharpe,cagr,daily_maxdd,ib_maxdd,liq,liq_time,maxdd_time,im_use_max,y2025,y2026,part_list,part_book
hybrid2,close,1,2.248,0.2994,0.0764,0.0806,False,,2026-01-12 14:00:00,0.067,0.4673,0.0542,-0.0021,0.0
hybrid2,close,2,2.241,0.6603,0.1485,0.1571,False,,2026-01-12 14:00:00,0.137,1.1063,0.1047,-0.0038,0.0
hybrid2,close,3,2.235,1.087,0.2165,0.2304,False,,2025-06-03 01:00:00,0.215,1.9596,0.1508,-0.0444,0.0
hybrid2,close,4,2.228,1.5819,0.2806,0.3017,False,,2025-06-03 01:00:00,0.301,3.0729,0.192,-0.0573,0.0
hybrid2,close,5,2.222,2.1448,0.3408,0.3698,False,,2025-06-03 01:00:00,0.396,4.4921,0.2278,-0.0693,0.0
hybrid2,close,8,2.21,4.1991,0.5002,0.5659,False,,2025-06-03 01:00:00,0.748,10.9976,0.2986,-0.0956,0.0
hybrid2,S1,1,2.248,0.2994,0.0764,0.0856,False,,2026-01-12 14:00:00,0.067,0.4673,0.0542,-0.0021,-0.005
hybrid2,S1,2,2.241,0.6603,0.1485,0.1663,False,,2026-01-12 14:00:00,0.137,1.1063,0.1047,-0.0038,-0.0092
hybrid2,S1,3,2.235,1.087,0.2165,0.2423,False,,2026-01-12 14:00:00,0.215,1.9596,0.1508,-0.0053,-0.0128
hybrid2,S1,4,2.228,1.5819,0.2806,0.3135,False,,2026-01-12 14:00:00,0.301,3.0729,0.192,-0.0065,-0.0157
hybrid2,S1,5,2.222,2.1448,0.3408,0.3801,False,,2026-01-12 14:00:00,0.396,4.4921,0.2278,-0.0074,-0.0181
hybrid2,S1,8,2.21,4.1991,0.5002,0.5764,False,,2025-06-03 01:00:00,0.748,10.9976,0.2986,-0.0956,-0.0105
hybrid2,S3,1,2.248,0.2994,0.0764,0.0955,False,,2026-01-12 14:00:00,0.067,0.4673,0.0542,-0.0021,-0.015
