instId,groups,listTime,age_days,state,lever_inst,t1_mmr,t1_imr,t1_maxLever,t1_maxSz,ctVal,last,t1_cap_usdt,n_tiers,min_order_usdt,lot_usdt,max_mmr
BTC-USDT-SWAP,book|btc,2019-11-12 11:16:48+00:00,2508,live,100.0,0.004,0.01,100.0,1000.0,0.01,84289.3,842893.0,99,8.428930000000001,8.428930000000001,0.4875
ETH-USDT-SWAP,book,2019-11-12 11:16:48+00:00,2508,live,100.0,0.004,0.01,100.0,5000.0,0.1,2677.67,1338835.0,99,2.67767,2.67767,0.4875
SOL-USDT-SWAP,book,2021-01-22 07:00:00+00:00,2071,live,100.0,0.004,0.01,100.0,5000.0,1.0,117.24,586200.0,99,1.1723999999999999,1.1723999999999999,0.4875
DOGE-USDT-SWAP,book,2020-04-21 10:12:51+00:00,2347,live,50.0,0.01,0.02,50.0,3000.0,1000.0,0.09532,285960.0,93,0.9532,0.9532,0.48
XRP-USDT-SWAP,book,2019-11-12 11:16:48+00:00,2508,live,100.0,0.004,0.01,100.0,2500.0,100.0,1.532,383000.0,99,1.532,1.532,0.4875
BCH-USDT-SWAP,book,2019-11-12 11:16:48+00:00,2508,live,50.0,0.0065,0.02,50.0,2000.0,0.1,340.3,68060.0,93,3.403000000000001,3.403000000000001,0.465
ZEC-USDT-SWAP,book,2025-11-06 03:15:00.578000+00:00,322,live,50.0,0.01,0.02,50.0,15000.0,0.01,1541.48,231222.0,93,15.414800000000001,15.414800000000001,0.48
LTC-USDT-SWAP,book,2019-11-12 11:16:48+00:00,2508,live,50.0,0.0065,0.02,50.0,500.0,1.0,71.06,35530.0,93,7.106000000000001,7.106000000000001,0.465
UNI-USDT-SWAP,book,2020-09-17 04:30:00+00:00,2198,live,50.0,0.01,0.02,50.0,6200.0,1.0,9.101,56426.200000000004,93,9.101,9.101,0.48
2Z-USDT-SWAP,oos_traded,2025-10-02 13:10:00.649000+00:00,357,live,20.0,0.02,0.05,20.0,18000.0,10.0,0.05521,9937.800000000001,87,0.5521,0.5521,0.46
A-USDT-SWAP,oos_traded,2025-05-29 10:30:00.412000+00:00,483,live,10.0,0.02,0.1,10.0,4800.0,10.0,0.0983,4718.4,87,0.983,0.983,0.46
AAOI-USDT-SWAP,new180,2026-05-26 09:00:00+00:00,121,live,20.0,0.02,0.05,20.0,630.0,1.0,102.32,64461.6,87,1.0231999999999999,1.0231999999999999,0.46
AAVE-USDT-SWAP,book,2020-12-10 06:00:00+00:00,2114,live,50.0,0.01,0.02,50.0,4500.0,0.1,145.33,65398.50000000001,93,1.4533000000000005,1.4533000000000005,0.48
ACH-USDT-SWAP,book,2024-02-22 08:25:01.084000+00:00,945,live,10.0,0.02,0.1,10.0,8800.0,100.0,0.006009,5287.92,87,0.6009,0.6009,0.46
ACT-USDT-SWAP,book,2024-11-14 11:00:00.644000+00:00,679,live,10.0,0.05,0.1,10.0,580000.0,1.0,0.010821,6276.18,81,0.010821,0.010821,0.45
ACU-USDT-SWAP,oos_traded,2026-01-23 07:00:00+00:00,244,live,10.0,0.05,0.1,10.0,15000.0,10.0,0.12569,18853.5,81,1.2569,1.2569,0.45
ADA-USDT-SWAP,book,2020-02-28 11:16:48+00:00,2400,live,50.0,0.01,0.02,50.0,2200.0,100.0,0.248,54560.0,93,2.48,2.48,0.48
ADBE-USDT-SWAP,new180,2026-06-03 09:30:00+00:00,113,live,20.0,0.02,0.05,20.0,30.0,1.0,238.64,7159.2,87,2.3864,2.3864,0.46
AEHR-USDT-SWAP,new180,2026-07-27 09:15:00+00:00,59,live,10.0,0.02,0.1,10.0,30.0,1.0,98.04,2941.2000000000003,87,9.804000000000002,9.804000000000002,0.46
