sym,other,lag,year,cc,n
BTCUSDT,bin,-2,2022,-0.023893462954248372,70682
BTCUSDT,bin,-2,2023,-0.03303559045448656,55387
BTCUSDT,bin,-2,2024,-0.010304421336535476,43954
BTCUSDT,bin,-2,2025,-0.01720659334867847,33461
BTCUSDT,bin,-2,2026,-0.030144108486336543,25185
BTCUSDT,bin,-1,2022,-0.01631118607930915,70913
BTCUSDT,bin,-1,2023,0.02217079556845826,55572
BTCUSDT,bin,-1,2024,-0.05971153475320094,44104
BTCUSDT,bin,-1,2025,-0.043861648739169354,33581
BTCUSDT,bin,-1,2026,-0.05362155377074098,25274
BTCUSDT,bin,0,2022,0.9930182166408217,71144
BTCUSDT,bin,0,2023,0.9922300945294095,55757
BTCUSDT,bin,0,2024,0.9962095558169018,44254
BTCUSDT,bin,0,2025,0.9958325276268577,33701
BTCUSDT,bin,0,2026,0.993897645065307,25363
BTCUSDT,bin,1,2022,-0.016326482029059917,70913
BTCUSDT,bin,1,2023,0.018744842599048454,55572
BTCUSDT,bin,1,2024,-0.06388125900869733,44104
BTCUSDT,bin,1,2025,-0.04549121297409437,33581
BTCUSDT,bin,1,2026,-0.06257419327424413,25274
BTCUSDT,bin,2,2022,-0.027803562116522587,70682
BTCUSDT,bin,2,2023,-0.03809093046402902,55387
BTCUSDT,bin,2,2024,-0.008926199504597929,43954
BTCUSDT,bin,2,2025,-0.00736924579527826,33461
BTCUSDT,bin,2,2026,-0.03314622372248081,25185
BTCUSDT,spot,-2,2022,-0.025356349070337538,70682
BTCUSDT,spot,-2,2023,-0.02963197885451761,55387
BTCUSDT,spot,-2,2024,-0.010310902144245066,43954
BTCUSDT,spot,-2,2025,-0.016860513891590174,33461
BTCUSDT,spot,-2,2026,-0.03132154619448362,25185
BTCUSDT,spot,-1,2022,-0.020519238360516133,70913
BTCUSDT,spot,-1,2023,0.022117144127329035,55572
BTCUSDT,spot,-1,2024,-0.05980830931503494,44104
BTCUSDT,spot,-1,2025,-0.04220431743531123,33581
BTCUSDT,spot,-1,2026,-0.053364841527853146,25274
BTCUSDT,spot,0,2022,0.9936806507125177,71144
BTCUSDT,spot,0,2023,0.9936540214451967,55757
BTCUSDT,spot,0,2024,0.9967023427367351,44254
BTCUSDT,spot,0,2025,0.9980169606113954,33701
BTCUSDT,spot,0,2026,0.9973991559442428,25363
BTCUSDT,spot,1,2022,-0.0038742418249069406,70913
BTCUSDT,spot,1,2023,0.03659834166033981,55572
BTCUSDT,spot,1,2024,-0.05162851519643075,44104
BTCUSDT,spot,1,2025,-0.03008195536675009,33581
BTCUSDT,spot,1,2026,-0.04489280078590922,25274
BTCUSDT,spot,2,2022,-0.023864283775104033,70682
BTCUSDT,spot,2,2023,-0.02496968887335916,55387
BTCUSDT,spot,2,2024,-0.00757392695633348,43954
BTCUSDT,spot,2,2025,-0.016612780596199826,33461
BTCUSDT,spot,2,2026,-0.03100665674762387,25185
ETHUSDT,bin,-2,2022,-0.02691470090641806,82584
ETHUSDT,bin,-2,2023,0.0069927657434262075,62675
ETHUSDT,bin,-2,2024,0.010433045887900906,54904
ETHUSDT,bin,-2,2025,-0.016315969397496504,67969
ETHUSDT,bin,-2,2026,-0.03342520038477829,42739
ETHUSDT,bin,-1,2022,-0.022247468653336305,82849
ETHUSDT,bin,-1,2023,-0.02283391110764561,62890
ETHUSDT,bin,-1,2024,-0.08999889706449761,55093
ETHUSDT,bin,-1,2025,-0.06823229957512586,68193
ETHUSDT,bin,-1,2026,-0.061916828691363446,42883
ETHUSDT,bin,0,2022,0.9922056560776932,83114
ETHUSDT,bin,0,2023,0.9907068252623686,63105
ETHUSDT,bin,0,2024,0.9953697140063053,55282
ETHUSDT,bin,0,2025,0.9961690664499199,68417
ETHUSDT,bin,0,2026,0.9975054500987401,43027
ETHUSDT,bin,1,2022,-0.018893509652233055,82849
ETHUSDT,bin,1,2023,-0.007481022918220751,62890
ETHUSDT,bin,1,2024,-0.10131517084822891,55093
ETHUSDT,bin,1,2025,-0.06839826609133014,68193
ETHUSDT,bin,1,2026,-0.060321630536178804,42883
ETHUSDT,bin,2,2022,-0.027384556744948593,82584
ETHUSDT,bin,2,2023,-0.00016544079579769685,62675
ETHUSDT,bin,2,2024,0.013724792889770906,54904
ETHUSDT,bin,2,2025,-0.019527862874384756,67969
ETHUSDT,bin,2,2026,-0.03438556612045598,42739
ETHUSDT,spot,-2,2022,-0.026957355573479055,82584
ETHUSDT,spot,-2,2023,0.0007372273353421843,62675
ETHUSDT,spot,-2,2024,0.010641698700724046,54904
ETHUSDT,spot,-2,2025,-0.017446292204975747,67969
ETHUSDT,spot,-2,2026,-0.032786265189971936,42739
ETHUSDT,spot,-1,2022,-0.022696615512832415,82849
ETHUSDT,spot,-1,2023,-0.017922788093886664,62890
ETHUSDT,spot,-1,2024,-0.09749960187397103,55093
ETHUSDT,spot,-1,2025,-0.07001151436722798,68193
ETHUSDT,spot,-1,2026,-0.062074397715198217,42883
ETHUSDT,spot,0,2022,0.9934619845931325,83114
ETHUSDT,spot,0,2023,0.9926923900888427,63105
ETHUSDT,spot,0,2024,0.9975412596213681,55282
ETHUSDT,spot,0,2025,0.99735004284681,68417
ETHUSDT,spot,0,2026,0.996862545261412,43027
ETHUSDT,spot,1,2022,-0.008228448252472723,82849
ETHUSDT,spot,1,2023,-0.0017292521654084102,62890
ETHUSDT,spot,1,2024,-0.09102828175698673,55093
ETHUSDT,spot,1,2025,-0.05864939775876177,68193
ETHUSDT,spot,1,2026,-0.04984196197234295,42883
ETHUSDT,spot,2,2022,-0.025050718678523442,82584
ETHUSDT,spot,2,2023,0.007605515486048262,62675
ETHUSDT,spot,2,2024,0.012605833629790746,54904
ETHUSDT,spot,2,2025,-0.01490932499831771,67969
ETHUSDT,spot,2,2026,-0.033249869398224025,42739
SOLUSDT,bin,-2,2022,-0.019546354215541833,91858
SOLUSDT,bin,-2,2023,-0.013751270327014231,78391
SOLUSDT,bin,-2,2024,-0.015344680197077356,41990
SOLUSDT,bin,-2,2025,0.026791198301250662,60346
SOLUSDT,bin,-2,2026,-0.056795467345767174,36611
SOLUSDT,bin,-1,2022,-0.0006391678079516269,92107
SOLUSDT,bin,-1,2023,-0.006917423532668199,78642
SOLUSDT,bin,-1,2024,-0.04875731595683886,42134
SOLUSDT,bin,-1,2025,0.037789886130616124,60549
SOLUSDT,bin,-1,2026,-0.012385591362311743,36736
SOLUSDT,bin,0,2022,0.9653427440681425,92356
SOLUSDT,bin,0,2023,0.9897754246924894,78893
SOLUSDT,bin,0,2024,0.9922729746063328,42278
SOLUSDT,bin,0,2025,0.9754492574234293,60752
SOLUSDT,bin,0,2026,0.9957138892545373,36861
SOLUSDT,bin,1,2022,-0.0057406318184424696,92108
SOLUSDT,bin,1,2023,-0.01708754849247174,78643
SOLUSDT,bin,1,2024,-0.04354850972965606,42133
SOLUSDT,bin,1,2025,-0.0061206085537371556,60549
SOLUSDT,bin,1,2026,-0.014087248137223883,36736
SOLUSDT,bin,2,2022,-0.02580419253008696,91860
SOLUSDT,bin,2,2023,-0.009219255293542656,78393
SOLUSDT,bin,2,2024,-0.03196866907471358,41988
SOLUSDT,bin,2,2025,0.022573119250894714,60346
SOLUSDT,bin,2,2026,-0.05612687149294129,36611
SOLUSDT,spot,-2,2022,-0.023191619072780372,92743
SOLUSDT,spot,-2,2023,-0.014191590326738595,78391
SOLUSDT,spot,-2,2024,-0.022965596272521732,41990
SOLUSDT,spot,-2,2025,0.025071964427754743,60346
SOLUSDT,spot,-2,2026,-0.05907183073568806,36611
SOLUSDT,spot,-1,2022,-0.012596851109284981,92995
SOLUSDT,spot,-1,2023,-0.010201193930720467,78642
SOLUSDT,spot,-1,2024,-0.03955422611889753,42134
SOLUSDT,spot,-1,2025,0.020733803413344597,60549
SOLUSDT,spot,-1,2026,-0.012308815797084616,36736
SOLUSDT,spot,0,2022,0.9298182468684327,93247
SOLUSDT,spot,0,2023,0.9821649159731378,78893
SOLUSDT,spot,0,2024,0.9968849459300483,42278
SOLUSDT,spot,0,2025,0.9921016422962742,60752
SOLUSDT,spot,0,2026,0.9948790913824601,36861
SOLUSDT,spot,1,2022,-0.008718113789181857,92995
SOLUSDT,spot,1,2023,0.0010114248957470995,78643
SOLUSDT,spot,1,2024,-0.03482986588070415,42133
SOLUSDT,spot,1,2025,0.03111277788184891,60549
SOLUSDT,spot,1,2026,-0.0034914783430438404,36736
SOLUSDT,spot,2,2022,-0.017153803124613738,92743
SOLUSDT,spot,2,2023,-0.007264546892789556,78393
SOLUSDT,spot,2,2024,-0.02225237425033201,41988
SOLUSDT,spot,2,2025,0.022717824842373762,60346
SOLUSDT,spot,2,2026,-0.05715091666908255,36611
DOGEUSDT,bin,-2,2022,-0.01933471433567717,101941
DOGEUSDT,bin,-2,2023,-0.014308691656632322,77958
DOGEUSDT,bin,-2,2024,-0.012801667506065682,61460
DOGEUSDT,bin,-2,2025,0.07917651749459949,66967
DOGEUSDT,bin,-2,2026,-0.03596247634238956,43465
DOGEUSDT,bin,-1,2022,0.020298536647131667,102258
DOGEUSDT,bin,-1,2023,0.03993359006637733,78221
DOGEUSDT,bin,-1,2024,-0.021370688604263176,61659
DOGEUSDT,bin,-1,2025,0.11960287924241159,67194
DOGEUSDT,bin,-1,2026,-0.07441714067334831,43611
DOGEUSDT,bin,0,2022,0.9906348659712114,102575
DOGEUSDT,bin,0,2023,0.9874488087342906,78484
DOGEUSDT,bin,0,2024,0.9915667218081657,61858
DOGEUSDT,bin,0,2025,0.9670743771773591,67421
DOGEUSDT,bin,0,2026,0.9954814443368825,43757
DOGEUSDT,bin,1,2022,0.02281886140300128,102258
DOGEUSDT,bin,1,2023,0.034344994362963815,78222
DOGEUSDT,bin,1,2024,-0.013012306305696929,61658
DOGEUSDT,bin,1,2025,0.07847853494712374,67194
DOGEUSDT,bin,1,2026,-0.08268340336655772,43611
DOGEUSDT,bin,2,2022,-0.019514603955044032,101941
DOGEUSDT,bin,2,2023,-0.009165348148870265,77960
DOGEUSDT,bin,2,2024,-0.017654828262349865,61458
DOGEUSDT,bin,2,2025,0.14790218460246835,66967
