L,universe,n,is_pos,oos_pos,both_pos,both_pos_min30trOOS,median_cagr_oos,q75_cagr_oos,max_cagr_oos
1,all,168,90,25,21,21,-0.7839900901863422,-0.47455602751217263,2.33780983763393
1,okx,168,66,11,5,3,-0.6573027759222303,-0.24588502831208212,1.023241000224084
1,any,336,156,36,26,24,-0.7333812611818805,-0.38094808158320315,2.33780983763393
3,all,168,41,7,5,5,-0.9998978549735698,-0.9465258434063037,3.216302819783918
3,okx,168,37,11,5,0,-0.9995271717018643,-0.6574496298357657,4.99255732370585
3,any,336,78,18,10,5,-0.9997906950358961,-0.8904454942912563,4.99255732370585
5,all,168,29,2,0,0,-1.0,-0.9998847727808672,0.1199805669295324
5,okx,168,20,7,0,0,-0.9999940467772723,-0.9512866623703533,1.0166502364867558
5,any,336,49,9,0,0,-1.0,-0.997774725611805,1.0166502364867558
10,all,168,9,2,2,2,-1.0,-0.9999919190617452,2.280183950754097
10,okx,168,14,8,1,1,-1.0,-0.9999850549763895,2.8098764373908014
10,any,336,23,10,3,3,-1.0,-0.999987264545567,2.8098764373908014
15,all,168,5,0,0,0,-1.0,-1.0,-0.2464217421366005
15,okx,168,10,15,3,3,-1.0,-0.9999860982329771,4.842064776217368
15,any,336,15,15,3,3,-1.0,-0.9999986300827441,4.842064776217368
20,all,168,7,4,0,0,-1.0,-0.9999893119157559,1.4365659544134672
20,okx,168,11,16,3,2,-1.0,-0.886643936270908,3.4397160993378657
20,any,336,18,20,3,2,-1.0,-0.9997273250349229,3.4397160993378657
