sym,t,mb,fund_bp,n_pre60s,vwap_pre_10s,first_after,first_after_ms,n_0_250,mv_0_250,usd_0_250,n_250_1000,mv_250_1000,usd_250_1000,n_1000_3000,mv_1000_3000,usd_1000_3000,n_3000_10000,mv_3000_10000,usd_3000_10000,n_10000_30000,mv_10000_30000,usd_10000_30000,n_30000_60000,mv_30000_60000,usd_30000_60000,mv_first
ENAUSDT,1740182400000,3.739869,30.728499999999997,0,,0.4611,29,1,,204.7284,1,,1383.3,0,,0.0,223,,339320.1829,183,,264510.70249999996,187,,288717.6017,
ZROUSDT,1742097600000,10.830504,107.82440000000001,1569,2.4936111436535833,2.4885,1,162,7.249579029615998,148595.97843000002,12,1.2786128682521842,12399.54166,1298,-84.00460045850205,1119886.70858,3287,-143.33883246726293,2051045.08972,2226,-154.7875270883727,1036731.3681000001,1565,-142.33833083053355,607429.6637299999,-0.4018404292183047
1000XUSDT,1742529600000,15.785989,26.2046,427,0.13315739501216545,0.13335,34,5,4.690202439940565,223.96608999999998,0,,0.0,122,7.77913075760973,34049.626749999996,983,-9.044277189874816,397006.17313999997,535,-38.951945085208024,113652.25325,630,-59.25044090900872,174880.2198,1.4999250065610026
EDUUSDT,1744041600000,4.484762,87.14339999999999,810,0.13992668158417176,0.1399,20,14,-6.1591513554548065,65944.13269999999,0,,0.0,8,-46.608827739413535,34106.8989,354,-83.44004827297519,466100.2295,499,6.168231445739686,833835.2685,474,31.91311723822341,751604.7907,7.150518717255868
ALPACAUSDT,1745661600000,98.812776,191.94119999999998,7727,0.20993806196031395,0.21044,0,786,-37.17773650901402,399602.63370999997,821,-126.71797698184413,336633.37959,1074,-204.66246900444415,466540.06917000003,2412,-199.305395182109,878164.8601500001,8788,-173.55520471703989,3584072.5324999997,7134,-174.4412879010891,1785025.37414,0.9504348246477518
HAEDALUSDT,1747944000000,29.625758,35.7244,809,0.17168869905389603,0.171793,4,282,-30.987852360196293,55961.818327,0,,0.0,178,-49.8085090429491,93470.16136999999,522,-65.01855842992232,121945.50919100002,628,-60.87852890346251,120674.197898,664,-71.67101500675902,123024.26717199999,-1.5133348107527436
BROCCOLIF3BUSDT,1748566800000,1.256847,8.4565,655,0.011196281691722825,0.011213,981,0,,0.0,1,5.352364088529786,71.53894000000001,7,24.79679503152676,529.879251,94,74.53826158169824,15115.079638000001,141,89.76247867173085,15245.851786,137,174.35371934164974,21182.133692,5.352364088527567
AXLUSDT,1749952800000,2.258274,21.110999999999997,144,0.44559510528721336,0.4455,16,19,-7.077276253124038,34754.42133,19,-8.578663946498926,17712.001300000004,5,-10.931094415073703,8595.921129999999,54,-8.404021032905504,80182.50588000001,79,-2.4539240542547973,46793.05778,145,-18.37691896647175,102786.79073000001,0.0
DMCUSDT,1751212800000,12.906147,19.6161,794,0.0071090490207575095,0.007104,9,18,-11.987748517189669,21688.690538000003,0,,0.0,0,,0.0,276,-24.000563610292,154564.484004,446,5.945890189552638,270436.563651,1880,112.95650652256275,1207214.948702,-1.4075585919502906
NMRUSDT,1757289600000,5.206549,26.833199999999998,0,,20.438,10,118,,61125.822700000004,57,,41227.0266,188,,82409.0966,311,,118990.882,454,,138507.8836,357,,187312.91609999997,
