name,L,cagr_is,cagr_oos,maxdd_oos,worst_day_oos,sharpe_oos,liq_oos,trades_is,trades_oos
i_ruleB_1x,1,2.09596322522473,-0.994837638562639,-0.9999705246152721,-0.6369698341579807,-0.9237185698819149,0,2653,24077
i_ruleB_1x,3,7.62103025741685,-1.0,-1.0,-1.0,-0.6006219842608962,34,2653,24077
i_ruleB_1x,5,-1.0,-1.0,-1.0,-1.0,-0.5220462722182976,183,2653,24077
i_ruleB_1x,10,-1.0,-1.0,-1.0,-1.0,-6.098323071164005,1050,2653,24077
i_ruleB_1x,15,-1.0,-1.0,-1.0,-1.0,-11.741616290070096,2512,2513,22818
i_ruleB_1x,20,-1.0,-1.0,-1.0,-1.0,-14.857317961366867,5182,2513,22818
ii_ruleB_1x,1,8.976933479096667,0.03285670154950027,-0.9832314692920165,-0.4698519381470807,1.102896444727041,0,1971,3535
ii_ruleB_1x,3,-1.0,-1.0,-1.0,-1.0,1.1230800331553754,6,1971,3535
ii_ruleB_1x,5,-1.0,-1.0,-1.0,-1.0,1.0007201397414505,29,1971,3535
ii_ruleB_1x,10,-1.0,-1.0,-1.0,-1.0,-1.1007765066666122,264,1971,3535
ii_ruleB_1x,15,-1.0,-1.0,-1.0,-1.0,-5.758636588861128,679,1899,3507
ii_ruleB_1x,20,-1.0,-1.0,-1.0,-1.0,-8.225425953240887,1257,1899,3507
ii_pay_pre_maker,1,-0.9884825933651131,-1.0,-1.0,-1.0,-2.918361212685404,1,1976,3532
ii_pay_pre_maker,3,-1.0,-1.0,-1.0,-1.0,-3.0331372218797266,20,1976,3532
ii_pay_pre_maker,5,-1.0,-1.0,-1.0,-1.0,-3.1843022177959353,70,1976,3532
ii_pay_pre_maker,10,-1.0,-1.0,-1.0,-1.0,-5.4024361847628395,403,1976,3532
ii_pay_pre_maker,15,-1.0,-1.0,-1.0,-1.0,-8.800240060564072,837,1903,3503
ii_pay_pre_maker,20,-1.0,-1.0,-1.0,-1.0,-13.51833339981627,1429,1903,3503
