change,cagr_is,cagr_oos,maxdd_oos,trades_oos,liq_oos
thr_in=0.5,0.6542177030604086,1.4021671537839633,-0.5188128231107493,1219,12
thr_in=1.0,0.988384820734584,1.0727279190299615,-0.5081342746450868,1174,12
thr_in=4.0,0.8045916499270929,0.20978924603837656,-0.6304425027306022,1145,10
thr_out_f=0.5,0.2589135587600886,-0.8875359308185922,-0.9878968307951653,5870,23
K=1,-1.0,-1.0,-1.0,98,1
K=3,0.6586370073892747,0.8341502238135481,-0.7254773039623681,280,2
hedge=none,0.5924841703434032,0.7496502562175575,-0.679265253443867,1073,11
side=pos,0.32843319956831274,-0.5249199996769509,-0.8781851275019054,343,35
side=neg,0.49689271086071707,0.0009938237650100046,-0.7869933843350669,1979,0
universe=okx,0.4142929814406284,-0.5755191739348184,-0.8731382131257637,1203,14
