sym,month,notional,coin,hedge,fund,cost,ret,reason,net
GRIFFAINUSDT,2025-01,0.1757091516413989,0.016376474090426776,-0.007805851294724861,0.000893513016189393,0.0007134137257582352,0.09320216925211255,end,0.008750722086133072
AI16ZUSDT,2025-01,0.1563469805056963,0.036312956203562306,-0.00694568990178408,0.0015522043200349271,0.000602187883818581,0.23225876244050192,end,0.030317282737994573
ZEREBROUSDT,2025-01,0.2003437437241844,0.07956349233455473,-0.011750701308480513,0.001985149031217475,0.0007220984851397424,0.39713489852765627,end,0.06907584157215196
BIOUSDT,2025-01,0.1938862078787052,0.05895046434552161,-0.008185221801239397,0.00027708125833307513,0.0007258963765722795,0.30404671374253134,end,0.05031642742604302
ALCHUSDT,2025-01,0.1765288125554451,0.04350621444185614,0.0027607206688210688,0.001402846699982661,0.0006761616910700853,0.2464539007092198,end,0.04699362011958979
SONICUSDT,2025-01,0.19098256854002987,0.010210851056124076,0.005881669488140467,-0.0007673463913180909,0.0007868105112839394,0.05346483259797552,end,0.014538363641662512
SOLVUSDT,2025-01,0.15312995205880495,0.023149757312483504,-0.004092607846459688,-0.0002183664263009338,0.0006084211626782556,0.15117719950433695,end,0.01823036187704463
TRUMPUSDT,2025-01,0.06224083430848194,0.018156963155543045,0.0001232988337184226,0.00021104629354422422,0.00023417605936230959,0.29172107599895525,end,0.01825713222344338
ANIMEUSDT,2025-01,0.21224365739713336,0.041623690471859466,0.0015524185214341494,0.00042021006689239404,0.000828987825360171,0.1961127648397829,end,0.04276733123482584
VINEUSDT,2025-01,0.06423378779862163,0.02273627620823073,0.0031390977543614726,-0.00020911987013375605,0.00023567749444186473,0.3539613182942113,end,0.02543057659801658
BERAUSDT,2025-02,0.16583351527574955,-0.009069258130330955,-0.0004513469932338591,-0.002244365463724616,0.0007101046513536444,-0.05468893374931172,end,-0.012475075238643074
LAYERUSDT,2025-02,0.13949063838806167,0.03198508169159938,-0.00251657148286892,-0.00033099325282391276,0.0005378830586924599,0.22929912760609195,end,0.028599633897214087
IPUSDT,2025-02,0.16939351526059512,-0.08469675763029755,-0.003074849919824973,-0.012187024335859824,0.0008384979005399459,-0.5,stop,-0.10079712978652228
KAITOUSDT,2025-02,0.09620154488214838,-0.048100772441074184,-0.008145586569895115,-0.005327238273609682,0.00047619764716663455,-0.5,stop,-0.06204979493174562
BRUSDT,2025-03,0.23570048131403287,0.12283142277892684,-0.00653393846670579,-0.0016543441027086158,0.0008056948873505479,0.5211335254562921,end,0.11383744532216188
PARTIUSDT,2025-03,0.1806515412241178,0.056621272952393324,-0.003034610083352992,-0.0001641678721297893,0.000673804563712705,0.3134281200631912,end,0.05274869043319784
JELLYJELLYUSDT,2025-03,0.23803054043714816,0.048716095063561435,0.012517961954104014,0.001352498538696337,0.0009266541272406802,0.20466321243523322,end,0.061659901429121096
GUNUSDT,2025-04,0.18809820136941896,-0.0940491006847095,0.0035586326188153427,-0.003609944435126411,0.0009310860967786239,-0.5,stop,-0.09503149859779919
ATHUSDT,2025-04,0.28015252518057,0.02774879062136179,-0.02037190773578092,-0.0006495900649619257,0.0011350174198263513,0.09904886848146932,end,0.005592275400792593
PROMPTUSDT,2025-04,0.09652209647299448,0.047739072050072745,0.00019558763140316496,0.00011121683091875195,0.00033378419711146767,0.4945921586300135,end,0.04771209231528319
WCTUSDT,2025-04,0.12052814135027143,-0.06026407067513573,0.0008967426102260833,-0.00227466999390363,0.0005966142996838437,-0.5,stop,-0.06223861235849712
MEMEFIUSDT,2025-04,0.14376470002537178,-0.0718823500126859,-0.000763077590395696,2.9322686879429977e-05,0.0007116352651255904,-0.5,stop,-0.07332774018132776
