sym,bn_ret,bn_reason,okx_ret,okx_reason,okx_hours,n,med_logdiff,max_high_ratio
GRIFFAINUSDT,0.09320216925211255,end,0.09240090886139873,end,96,96,-0.00036949925122955416,1.0047984644913626
AI16ZUSDT,0.23225876244050192,end,0.231935047361299,end,96,96,-0.0005887911280755608,1.0010276114735055
ZEREBROUSDT,0.39713489852765627,end,0.3965757515429027,end,96,96,-0.000819960593381667,1.000343053173242
ALCHUSDT,0.2464539007092198,end,0.24641638225255968,end,96,96,-0.001001023453221252,1.0008368200836821
SONICUSDT,0.05346483259797552,end,0.053682572614107915,end,96,96,0.0006828362137028263,1.001877300613497
SOLVUSDT,0.15117719950433695,end,0.1499075028245782,end,96,96,-0.0003865527345271722,1.0108154506437768
VINEUSDT,0.3539613182942113,end,0.35308876381636944,end,96,96,0.00011345774900227979,1.0035789473684211
IPUSDT,-0.5,stop,-0.5000000000000002,stop,96,96,0.000997189922344157,1.013016523129576
BRUSDT,0.5211335254562921,end,0.5208833413346136,end,96,96,0.0,1.0033003300330032
GUNUSDT,-0.5,stop,-0.5000000000000002,stop,96,96,0.0007920395732388598,1.0105855855855856
PROMPTUSDT,0.4945921586300135,end,0.4946171171171171,end,96,96,0.0,1.0041349652662916
MEMEFIUSDT,-0.5,stop,-0.5,stop,96,96,0.00038311598955102327,1.0066044684507733
OLUSDT,0.031958762886597936,end,0.0299071845995188,end,96,96,0.0010040681337243642,1.0023947998631544
TREEUSDT,0.2064128256513027,end,0.20503465888361916,end,96,96,0.00010021044226342519,1.0021805494984737
XANUSDT,-0.014992229637078358,end,-0.015906389980802738,end,96,96,-0.0001429755420054169,1.0021386138613861
BLUAIUSDT,-0.5,stop,-0.5,stop,96,96,-0.001716536078851169,1.0062649164677804
TURTLEUSDT,0.17510180337405457,end,0.1741409435061152,end,96,96,-0.0005718207580499644,1.0034602076124568
KITEUSDT,0.35856627899068216,end,0.3588471212018217,end,96,96,0.0,1.0341726618705034
