shift_h,is_sharpe,oos_sharpe,y2025,y2026,lomo_min,oos_trades,oos_stops
-6,2.124,1.483,0.47,0.213,0.969,83,9
-5,2.239,1.575,0.508,0.229,1.019,83,9
-4,2.327,1.461,0.543,0.139,0.881,83,9
-3,2.27,1.64,0.539,0.231,1.1,83,8
-2,2.253,1.478,0.463,0.215,0.929,83,9
-1,2.247,1.387,0.362,0.261,0.799,83,11
0,2.34,1.393,0.368,0.269,0.8,83,11
1,2.281,1.76,0.519,0.374,1.246,83,9
2,2.071,1.513,0.323,0.386,0.973,83,11
3,1.993,1.858,0.553,0.39,1.391,84,9
4,1.997,1.375,0.298,0.359,0.899,85,12
5,2.008,1.267,0.252,0.343,0.775,86,13
6,2.006,1.142,0.22,0.302,0.525,87,12
