sym,inst,entry,oos,ret,reason,n_hours,n_okx,n_bn,med_logdiff,max_abs_logdiff,okx_first,listTime,t0,mixed,entry_before_listTime
APEUSDT,APE-USDT-SWAP,2022-03-20 15:00:00,False,-0.2158400580288331,end,97,97,97,0.00021105506504972584,0.0019559554192960424,2022-03-17,2022-03-17 13:00:59.555,2022-03-17 15:00:00,False,False
OPUSDT,OP-USDT-SWAP,2022-06-04 14:00:00,False,0.2540572440247859,end,97,97,97,0.00033973161529402256,0.0019562425801012673,2022-06-01,2022-06-01 03:55:17.137,2022-06-01 14:00:00,False,False
APTUSDT,APT-USDT-SWAP,2022-10-22 02:00:00,False,-0.163894031620027,end,97,97,97,0.0006428801250023521,0.008524563486938627,2022-10-19,2022-10-19 01:18:48.522,2022-10-19 02:00:00,False,False
ARBUSDT,ARB-USDT-SWAP,2023-03-26 15:00:00,False,-0.0349371743794055,end,97,97,97,0.0002636319712971852,0.0010502626621825804,2023-03-23,2023-03-23 14:01:34.937,2023-03-23 15:00:00,False,False
BLURUSDT,BLUR-USDT-SWAP,2023-05-01 12:00:00,False,0.1499112950916618,end,97,97,97,0.0,0.0012870014646474486,2023-04-28,2023-02-15 02:55:00.181,2023-04-28 12:00:00,False,False
SUIUSDT,SUI-USDT-SWAP,2023-05-06 16:00:00,False,0.0966896345116836,end,97,97,97,0.0006001629193737222,0.003719166235855074,2023-05-05,2023-05-05 03:55:00.891,2023-05-03 16:00:00,False,False
1000PEPEUSDT,PEPE-USDT-SWAP,2023-05-08 16:00:00,False,0.4444968405168349,end,97,97,97,7.541762513476493e-05,0.0025094116054259186,2023-05-05,2023-05-03 03:55:01.049,2023-05-05 16:00:00,False,False
1000FLOKIUSDT,FLOKI-USDT-SWAP,2023-05-09 16:00:00,False,-0.048787613204791,end,97,97,97,0.0005699629678378127,0.002305476525498792,2023-05-06,2023-02-20 06:55:00.607,2023-05-06 16:00:00,False,False
WLDUSDT,WLD-USDT-SWAP,2023-07-27 12:00:00,False,-0.029608490145367,end,97,97,97,0.0005379124987467305,0.0013284168601117804,2023-07-24,2023-07-24 11:55:21.595,2023-07-24 12:00:00,False,False
BIGTIMEUSDT,BIGTIME-USDT-SWAP,2023-10-15 14:00:00,False,0.3976901730329742,end,97,97,97,-0.00026273153367400374,0.002218818597445431,2023-10-12,2023-10-12 12:55:00.862,2023-10-12 14:00:00,False,False
ORBSUSDT,ORBS-USDT-SWAP,2023-10-20 06:00:00,False,-0.0686878256750356,end,97,0,97,,,2023-10-17,,2023-10-17 06:00:00,False,False
BSVUSDT,BSV-USDT-SWAP,2023-10-23 12:00:00,False,0.1187319884726224,end,97,0,97,,,2023-10-20,,2023-10-20 12:00:00,False,False
TIAUSDT,TIA-USDT-SWAP,2023-11-03 18:00:00,False,0.0372093023255813,end,97,97,97,-0.0007077877764931042,0.003373582745030078,2023-11-01,2023-10-31 18:25:00.675,2023-10-31 18:00:00,False,False
MEMEUSDT,MEME-USDT-SWAP,2023-11-06 12:00:00,False,0.0076223981237173,end,97,97,97,-0.0006121536225819594,0.0030840425369613334,2023-11-03,2023-11-03 08:55:00.715,2023-11-03 12:00:00,False,False
ORDIUSDT,ORDI-USDT-SWAP,2023-11-10 12:00:00,False,-0.01736163379999,end,97,97,97,-0.0012811555444419496,0.005585166606623104,2023-11-07,2023-05-21 09:55:00.862,2023-11-07 12:00:00,False,False
PYTHUSDT,PYTH-USDT-SWAP,2023-11-25 14:00:00,False,0.1387959866220736,end,97,97,97,-0.0009291522155109936,0.0022805026987252177,2023-11-22,2023-11-20 14:55:00.712,2023-11-22 14:00:00,False,False
ETHWUSDT,ETHW-USDT-SWAP,2023-12-01 12:00:00,False,-0.085820895522388,end,97,97,97,-0.0011314351574717603,0.0036049065715417915,2023-11-28,2022-09-16 06:55:31.635,2023-11-28 12:00:00,False,False
ACEUSDT,ACE-USDT-SWAP,2023-12-21 10:00:00,False,0.230812872132605,end,97,0,97,,,2023-12-18,,2023-12-18 10:00:00,False,False
JUPUSDT,JUP-USDT-SWAP,2024-02-03 18:00:00,False,0.0115876859218264,end,97,97,97,-0.0005422503521931271,0.0014508526302711112,2024-02-01,2024-01-31 16:05:00.211,2024-01-31 18:00:00,False,False
ZETAUSDT,ZETA-USDT-SWAP,2024-02-05 08:00:00,False,0.1762001352265044,end,97,97,97,-0.0006613756854836983,0.0015218874337958412,2024-02-02,2024-02-01 03:25:00.607,2024-02-02 08:00:00,False,False
STRKUSDT,STRK-USDT-SWAP,2024-02-23 17:00:00,False,0.010354110581901,end,97,97,97,-0.00046976538693054677,0.0016505909766957464,2024-02-20,2024-02-20 12:55:00.141,2024-02-20 17:00:00,False,False
TONUSDT,TON-USDT-SWAP,2024-03-04 12:00:00,False,-0.0087387552781348,end,97,0,97,,,2024-03-01,,2024-03-01 12:00:00,False,False
METISUSDT,METIS-USDT-SWAP,2024-03-15 08:00:00,False,0.2390140246493838,end,97,97,97,-0.0013350451276892574,0.003068159321177556,2024-03-12,2023-12-28 09:55:00.614,2024-03-12 08:00:00,False,False
AEVOUSDT,AEVO-USDT-SWAP,2024-03-16 13:00:00,False,0.1886861313868614,end,97,97,97,0.0004689331856152564,0.008922341416347351,2024-03-13,2024-03-13 10:25:20.298,2024-03-13 13:00:00,False,False
ETHFIUSDT,ETHFI-USDT-SWAP,2024-03-21 15:00:00,False,-0.1370988849918861,end,97,97,97,-0.0005225450814024297,0.0017296352717285106,2024-03-18,2024-03-18 12:25:00.945,2024-03-18 15:00:00,False,False
WUSDT,W-USDT-SWAP,2024-04-06 15:00:00,False,0.2223615666602353,end,97,97,97,-0.0004024954773596532,0.002354254231540204,2024-04-03,2024-04-03 12:25:00.572,2024-04-03 15:00:00,False,False
TNSRUSDT,TNSR-USDT-SWAP,2024-04-11 17:00:00,False,0.3709219858156027,end,97,0,97,,,2024-04-09,,2024-04-08 17:00:00,False,False
NOTUSDT,NOT-USDT-SWAP,2024-05-19 14:00:00,False,0.1229364243062873,end,97,97,97,-0.00017814197962855358,0.00157573402704179,2024-05-16,2024-05-16 12:27:45.350,2024-05-16 14:00:00,False,False
TURBOUSDT,TURBO-USDT-SWAP,2024-06-02 15:00:00,False,0.109555427251732,end,97,97,97,-0.0005902858271476809,0.001845740462370165,2024-05-30,2023-12-14 09:55:00.612,2024-05-30 15:00:00,False,False
ZKUSDT,ZK-USDT-SWAP,2024-06-20 11:00:00,False,0.2405123339658443,end,97,97,97,0.0,0.001972387227204354,2024-06-18,2024-06-18 08:25:00.579,2024-06-17 11:00:00,False,False
MEWUSDT,MEW-USDT-SWAP,2024-06-20 14:00:00,False,0.1150159744408945,end,97,97,97,0.00026592208639614374,0.0014126291372981883,2024-06-17,2024-04-15 08:25:00.531,2024-06-17 14:00:00,False,False
ZROUSDT,ZRO-USDT-SWAP,2024-06-23 14:00:00,False,0.1192504258943781,end,97,97,97,-0.00034728251781568516,0.0017179183060246272,2024-06-20,2024-06-20 12:25:00.653,2024-06-20 14:00:00,False,False
DOGSUSDT,DOGS-USDT-SWAP,2024-08-29 12:00:00,False,0.2133802816901409,end,97,0,97,,,2024-08-26,,2024-08-26 12:00:00,False,False
NEIROETHUSDT,NEIROETH-USDT-SWAP,2024-09-09 14:00:00,False,0.0256111757857975,end,97,0,97,,,2024-09-06,,2024-09-06 14:00:00,False,False
UXLINKUSDT,UXLINK-USDT-SWAP,2024-09-18 15:00:00,False,0.1736995550099739,end,97,0,97,,,2024-09-15,,2024-09-15 15:00:00,False,False
CATIUSDT,CATI-USDT-SWAP,2024-09-23 11:00:00,False,0.1150059078377313,end,97,0,97,,,2024-09-20,,2024-09-20 11:00:00,False,False
HMSTRUSDT,HMSTR-USDT-SWAP,2024-09-29 12:00:00,False,0.224254407645411,end,97,97,97,0.0,0.0012481057160912915,2024-09-26,2024-09-26 12:30:00.176,2024-09-26 12:00:00,False,False
EIGENUSDT,EIGEN-USDT-SWAP,2024-10-04 06:00:00,False,0.0061493411420204,end,97,97,97,0.0,0.001393728448603803,2024-10-01,2024-10-01 06:30:00.682,2024-10-01 06:00:00,False,False
1000CATUSDT,CAT-USDT-SWAP,2024-10-24 12:00:00,False,0.1794201520912548,end,97,0,97,,,2024-10-21,,2024-10-21 12:00:00,False,False
SCRUSDT,SCR-USDT-SWAP,2024-10-25 10:00:00,False,0.1126436781609194,end,97,0,97,,,2024-10-22,,2024-10-22 10:00:00,False,False
GOATUSDT,GOAT-USDT-SWAP,2024-10-27 13:00:00,False,0.2150632538982053,end,97,0,97,,,2024-10-24,,2024-10-24 13:00:00,False,False
MOODENGUSDT,MOODENG-USDT-SWAP,2024-10-28 10:00:00,False,0.10715704887633,end,97,97,97,-0.0009495964928776903,0.013090058814151215,2024-10-25,2024-10-03 07:00:02.849,2024-10-25 10:00:00,False,False
CETUSUSDT,CETUS-USDT-SWAP,2024-11-09 14:00:00,False,0.004379055298924,end,97,0,97,,,2024-11-06,,2024-11-06 14:00:00,False,False
GRASSUSDT,GRASS-USDT-SWAP,2024-11-11 15:00:00,False,0.1500064283877604,end,97,97,97,-0.0007637086059296473,0.0016560086937241212,2024-11-08,2024-10-28 14:30:00.597,2024-11-08 15:00:00,False,False
PNUTUSDT,PNUT-USDT-SWAP,2024-11-14 12:00:00,False,0.1504528502930208,end,97,97,97,-0.0004109616850543521,0.004244060492535953,2024-11-12,2024-11-12 03:30:00.304,2024-11-11 12:00:00,False,False
SLERFUSDT,SLERF-USDT-SWAP,2024-11-24 11:00:00,False,0.1541139240506329,end,97,0,97,,,2024-11-21,,2024-11-21 11:00:00,False,False
MORPHOUSDT,MORPHO-USDT-SWAP,2024-11-30 14:00:00,False,-0.0676888055704338,end,97,97,97,-0.0010683381237622392,0.0028725563144118317,2024-11-27,2024-11-25 10:00:00.980,2024-11-27 14:00:00,False,False
MOVEUSDT,MOVE-USDT-SWAP,2024-12-12 14:00:00,False,0.1186296881399567,end,97,97,97,6.216779088756102e-05,0.001404320581044258,2024-12-09,2024-12-09 13:00:02.646,2024-12-09 14:00:00,False,False
VIRTUALUSDT,VIRTUAL-USDT-SWAP,2024-12-13 12:00:00,False,-0.1691929006347972,end,97,97,97,-0.0004300767036400578,0.0020519303229872567,2024-12-11,2024-12-11 10:00:00.140,2024-12-10 12:00:00,False,False
MEUSDT,ME-USDT-SWAP,2024-12-13 17:00:00,False,0.2663518299881936,end,97,97,97,-0.00025716857541755654,0.0013489817235207262,2024-12-10,2024-12-10 15:30:00.107,2024-12-10 17:00:00,False,False
VANAUSDT,VANA-USDT-SWAP,2024-12-19 13:00:00,False,-0.0115500399336485,end,97,97,97,0.00018079368476637197,0.0016529980240452017,2024-12-17,2024-12-17 04:00:00.582,2024-12-16 13:00:00,False,False
PENGUUSDT,PENGU-USDT-SWAP,2024-12-20 16:00:00,False,-0.3866237749682051,end,97,97,97,-0.00023224565058516903,0.0013851788105775206,2024-12-17,2024-12-17 15:55:02.264,2024-12-17 16:00:00,False,False
FARTCOINUSDT,FARTCOIN-USDT-SWAP,2024-12-23 18:00:00,False,-0.5,stop,26,26,26,0.00016046558156073044,0.0031286294884690312,2024-12-20,2024-12-20 09:00:00.393,2024-12-20 18:00:00,False,False
GRIFFAINUSDT,GRIFFAIN-USDT-SWAP,2025-01-05 13:00:00,True,0.0932021692521125,end,97,0,97,,,2025-01-02,,2025-01-02 13:00:00,False,False
AI16ZUSDT,AI16Z-USDT-SWAP,2025-01-05 13:00:00,True,0.2322587624405019,end,97,0,97,,,2025-01-02,,2025-01-02 13:00:00,False,False
ZEREBROUSDT,ZEREBRO-USDT-SWAP,2025-01-05 14:00:00,True,0.3971348985276562,end,97,0,97,,,2025-01-02,,2025-01-02 14:00:00,False,False
BIOUSDT,BIO-USDT-SWAP,2025-01-06 12:00:00,True,0.3040467137425313,end,97,97,97,0.00027793218633613245,0.0015006255421270065,2025-01-03,2025-01-03 10:45:00.474,2025-01-03 12:00:00,False,False
ALCHUSDT,ALCH-USDT-SWAP,2025-01-10 11:00:00,True,0.2464539007092198,end,97,0,97,,,2025-01-07,,2025-01-07 11:00:00,False,False
SONICUSDT,SONIC-USDT-SWAP,2025-01-11 07:00:00,True,0.0534648325979755,end,97,0,97,,,2025-01-08,,2025-01-08 07:00:00,False,False
SOLVUSDT,SOLV-USDT-SWAP,2025-01-20 12:00:00,True,0.1511771995043369,end,97,0,97,,,2025-01-17,,2025-01-17 12:00:00,False,False
TRUMPUSDT,TRUMP-USDT-SWAP,2025-01-21 13:00:00,True,0.2917210759989552,end,97,97,97,-0.00024300352474693578,0.0023616828118862812,2025-01-19,2025-01-19 05:30:04.112,2025-01-18 13:00:00,False,False
