coin,yr,days,mean,meanabs,cap7,fb,fo
BTC,2022,362,-0.025370480517479744,0.047404678335644886,0.022092884891430645,0.041893580801104974,0.01613146700671892
BTC,2023,365,-0.0183751712420727,0.04303184067111371,0.0184253504666683,0.07865712,0.06028194875792729
BTC,2024,366,-0.004442179804373381,0.05972694604501452,0.02742701878908942,0.1192421392076503,0.11479995940327689
BTC,2025,365,-0.0026599633940632,0.0262739144045844,0.0107686181528152,0.05126428,0.04860431660593681
BTC,2026,244,0.005228627863875864,0.026355843692225493,0.01594272471527962,0.02607085799180328,0.03129948585567914
ETH,2022,362,-0.04987966760805171,0.08381468056541759,0.04486014924239691,0.007836973480662986,-0.04287627930699569
ETH,2023,365,-0.0168366944871267,0.052718538188690295,0.013595474728017497,0.08259507000000002,0.0657583755128733
ETH,2024,366,-0.007721695775181195,0.05208937032864359,0.024103571596796727,0.12961408292349727,0.12189238714831607
ETH,2025,365,-0.015073268836251902,0.0331917202770569,0.0181241136075059,0.04928718999999999,0.03421392116374811
ETH,2026,244,0.008066762076045985,0.03216125810696675,0.020914149769834352,0.015614460655737704,0.02368122273178369
SOL,2022,362,-0.0066273562209848945,0.1633472550596375,0.07820565454759804,-0.383225165883978,-0.3899802419712888
SOL,2023,365,-0.014179035221915801,0.0969960716856758,0.0289173565801518,0.01296501000000001,-0.0012140252219157988
SOL,2024,366,0.013164198978782795,0.0632547441230579,0.02367355866070455,0.13619708729508195,0.14936128627386477
SOL,2025,365,0.0003675660285399006,0.0333571630862149,0.0183321968248757,0.0035070300000000004,0.0038745960285398963
SOL,2026,244,0.011851973492326449,0.02839500676248689,0.018547514818475587,-0.016644179508196723,-0.004792206015870271
XRP,2022,362,-0.01926907593089238,0.06372468884886558,0.021453875721381247,4.6411464088400264e-05,-0.020078442697480776
XRP,2023,365,-0.0190141590265741,0.06328451916174752,0.023846211426249504,0.08198266,0.06296850097342589
XRP,2024,366,-0.003946351762900419,0.06099962382088957,0.020526764448627142,0.14190375259562843,0.137957400832728
XRP,2025,365,-0.0044059941685312,0.03625234414764621,0.005459359011630999,0.03528308,0.0308770858314688
XRP,2026,244,0.023231308143256885,0.033031691583524314,0.024290469255605972,-0.008101967827868851,0.015129340315388035
DOGE,2022,362,-0.012801706307458721,0.06558838324294683,0.029990412878436422,0.03466174102209946,0.021584864938561796
DOGE,2023,365,-0.0038718403230124016,0.0555081207538338,0.0099468507683728,0.09997127000000001,0.09609942967698759
DOGE,2024,366,0.002872250977528746,0.06028381100625496,0.02055961901783417,0.13997332144808744,0.14284557242561619
DOGE,2025,365,0.0060899708924274975,0.0341782370076881,0.006418530084299899,0.04340107,0.04949104089242751
DOGE,2026,244,0.013619567196733623,0.0372578713609058,0.013559177486053663,0.024462045696721307,0.038081612893454936
ADA,2022,362,-0.04045853841974095,0.07408969423278954,0.04577471909860795,-0.009769023342541431,-0.05068654613714371
ADA,2023,365,-0.0379951117892392,0.07876023057025419,0.0375485503996112,0.07182699000000001,0.033831878210760793
ADA,2024,366,-0.012140469622828711,0.06908360201200715,0.03287059773901272,0.13954607199453553,0.12740560237170678
