L,period,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,fees,slip,y2022,y2023,y2024,y2025,y2026
1.0,IS,0.017991425548218976,-0.01972124358037397,-0.0010098494156025595,2.8726781096693523,0,0,19,0.08418076163431672,0.014765202210457207,0.013415402682109539,0.03517079494656694,0.005646546411880893,0.013394439439819772,,
1.0,OOS,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.004456789925432485,0.00533158622728256,,,,-0.0005605154845220728,0.026740701732690386
3.0,IS,0.049509934490818974,-0.0786088089751309,-0.013898974109404438,1.8479960932082515,0,2,58,0.2087785581321826,0.056138690632872676,0.03624679356811072,0.08297710988376372,0.028001076357522692,0.03838018710933744,,
3.0,OOS,0.008104701905575773,-0.015400763908977932,-0.004284691442266508,1.387526547818047,0,0,16,0.03749407823498576,0.011791853391530055,0.0068402043240648235,,,,0.008494528011459668,0.004990576720349971
5.0,IS,0.06388648438928546,-0.04339589767107932,-0.021684806943919166,1.9884458788249668,0,0,33,0.34413458945360903,0.061492226691729074,0.05355170538555968,0.14716265913614213,-0.0009140187587269866,0.05067955730619489,,
5.0,OOS,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.011553333834378132,0.014272773155248834,,,,-0.002837188500687815,0.07568013460574985
10.0,IS,-0.016517296125316494,-0.2746740266862989,-0.09943606684253359,-0.19942084413535086,0,3,62,0.3016156971668628,0.12243298875080404,0.12510912146942693,-0.1269646385831208,0.009966683793463993,0.0788423739793731,,
10.0,OOS,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.047115076033369126,0.07639593761054159,,,,0.0026485939435350048,0.04199255397457624
15.0,IS,-0.11156850681806973,-0.3337876037749513,-0.12228063969224778,-1.1948039906497427,0,23,62,0.33853195686206455,0.2267332926730984,0.28936385114847835,-0.2142785886521933,-0.03163011884104472,-0.07840836009707552,,
15.0,OOS,0.038699070335000973,-0.17760644752331645,-0.038371429472727425,0.5114029601043086,0,7,12,0.2533016856131282,0.06985071101930136,0.11364704518543818,,,,0.003972890915302951,0.06102852577493745
20.0,IS,-0.24813294072568393,-0.5870783679772726,-0.13095300189975778,-2.1275558932400833,0,41,62,0.35888615554915043,0.3343658919918801,0.46167457255827926,-0.287313042512386,-0.11520177792649411,-0.3260563370752799,,
20.0,OOS,-0.01321693678990421,-0.2776383349506327,-0.05131380464151025,-0.09029207308550032,0,12,12,0.2868469782754531,0.1154959903697166,0.19680586371415087,,,,0.005167187887070268,-0.026932339066356503
