mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2025,y2026,period
exBTC,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exETH,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exSOL,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exXRP,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exDOGE,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exADA,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exLINK,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exAVAX,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exLTC,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exDOT,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exBCH,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exTRX,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exATOM,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exETC,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exFIL,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exNEAR,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exUNI,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exAAVE,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exCRV,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
