mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2022,y2023,y2024,y2025,y2026,period
base,1.0,2022-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.017991425548218976,-0.01972124358037397,-0.0010098494156025595,2.8726781096693523,0,0,19,0.08418076163431672,0.028180604892566748,0.03517079494656694,0.005646546411880893,0.013394439439819772,,,IS
base,1.0,2025-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,,,,-0.0005605154845220728,0.026740701732690386,OOS
exAXS,1.0,2022-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.018593932795821555,-0.01972124358037397,-0.0010098494156025595,2.985056810404374,0,0,18,0.08375082582687597,0.026919904919727428,0.03517079494656694,0.0074686622639015265,0.013359048180431987,,,IS
exAXS,1.0,2025-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.005532860680206975,-0.019250525400561158,-0.0005978318081024669,2.2964142279804145,0,0,3,0.014622907005175,0.004573439146330897,,,,0.001463403644292649,0.007752248722775912,OOS
lag8,1.0,2022-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.015006075368546812,-0.020187131349214016,-0.0023109580567249877,2.5587660099690033,0,0,19,0.07914306317256609,0.02819194597064783,0.028362687096898487,0.004571178372748674,0.012236173172969655,,,IS
lag8,1.0,2025-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.016544521111571564,-0.020218168246374124,-0.003173430768329988,1.3140791712066264,0,1,5,0.04123180628637527,0.010096676943016913,,,,-0.00046602625776925866,0.028170518956178725,OOS
lag24,1.0,2022-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.014214360967029549,-0.018110952641954503,-0.0009748156958088172,2.681751320375452,0,0,19,0.07507292102459776,0.02747367627543315,0.025304696790772407,0.0053896861894930925,0.012056345522408973,,,IS
lag24,1.0,2025-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.016177729272996322,-0.020037790031711578,-0.002778412123283447,1.3609763102865242,0,1,5,0.03993396084319805,0.009497341046335836,,,,-0.0003093038974045781,0.02739195313082865,OOS
exAXS+lag8,1.0,2022-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.015730990683116897,-0.020187131349214016,-0.0023109580567249877,2.699261871081479,0,0,18,0.07925406497447715,0.02698103407595883,0.028362687096898487,0.006727694800242601,0.012233898183776848,,,IS
exAXS+lag8,1.0,2025-01-01,,3.0,,720.0,0.1,0.05,2,all,False,4,0.25,0.005460375381817428,-0.019160283121665844,-0.0005987179824676891,2.3465932661834787,0,0,3,0.014204842635592244,0.00428741746138619,,,,0.0014570284566393088,0.007637739798534993,OOS
base,1.0,2022-01-01,,3.0,hourly,720.0,0.1,0.05,2,all,False,4,0.25,0.017991425548218976,-0.01972124358037397,-0.0010098494156025595,2.8726781096693523,0,0,19,0.08418076163431672,0.028180604892566748,0.03517079494656694,0.005646546411880893,0.013394439439819772,,,IS
base,1.0,2025-01-01,,3.0,hourly,720.0,0.1,0.05,2,all,False,4,0.25,0.01685618413331902,-0.020254035838537465,-0.002537515881228636,1.5670815755906053,0,0,5,0.04050673516566485,0.007431310033997974,,,,-0.0005605154845220728,0.028792559365208303,OOS
exAXS,1.0,2022-01-01,,3.0,hourly,720.0,0.1,0.05,2,all,False,4,0.25,0.018593932795821555,-0.01972124358037397,-0.0010098494156025595,2.985056810404374,0,0,18,0.08375082582687597,0.026919904919727428,0.03517079494656694,0.0074686622639015265,0.013359048180431987,,,IS
exAXS,1.0,2025-01-01,,3.0,hourly,720.0,0.1,0.05,2,all,False,4,0.25,0.005532860680206975,-0.019250525400561158,-0.0005978318081024669,2.2964142279804145,0,0,3,0.014622907005175,0.004573439146330897,,,,0.001463403644292649,0.007752248722775912,OOS
